           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         936.9212       -1017.9024        18442.137        20384.621        3133.4546       -2992.8931
              -17              -18                7        2676.7007       -2928.9866         18288.58        20367.504        3119.8457       -3181.8335
              -16              -18                7        4482.4624       -4875.5156        18108.859         20244.57        3112.6709         -3357.47
              -15              -18                7        6354.2056       -6857.4897        17902.973         20015.82        3111.9297       -3519.8013
              -14              -18                7        8291.9316       -8874.9082         17670.92        19681.256         3117.623       -3668.8284
              -13              -18                7         10116.62       -10983.469        17507.838        19062.732        3122.1555       -3797.6201
              -12              -18                7        11726.941       -12829.681        17209.389        18372.152        3125.8708       -3817.4531
              -11              -18                7        13290.781       -14345.679        16731.943        17734.129        3145.7871       -3714.7026
              -10              -18                7        14884.568       -15833.747        16235.906        17027.813        3186.4541        -3592.103
               -9              -18                7        16508.307       -17293.889        15721.273        16253.206        3247.8713       -3449.6531
               -8              -18                7            18158       -19178.223          14461.4        15357.851         3078.645       -3298.1455
               -7              -18                7        19994.113       -20987.111        12966.339        14134.438        2924.9902       -2992.6733
               -6              -18                7        21658.623       -22688.473         11366.21        12711.718        2704.7153       -2661.2024
               -5              -18                7         23151.52       -24282.301        9661.0068        11089.693        2417.8208       -2303.7334
               -4              -18                7        24472.809       -25768.594        7850.7329        9268.3613        2064.3062       -1920.2656
               -3              -18                7        25622.492       -27147.361        5935.3877        7247.7227        1644.1719       -1510.7996
               -2              -18                7        26600.568       -28418.598        3914.9707        5027.7778        1157.4178       -1075.3351
               -1              -18                7        27389.861       -29604.855        1960.5948        2465.2083        629.88611       -503.68964
                0              -18                7        27406.354       -29374.193        107.86485        -445.4079         36.81139       -51.019913
                1              -18                7        26786.955       -27908.184       -2146.4529       -2638.3999       -534.78595        283.17184
                2              -18                7        26004.881       -26685.697       -4235.4102       -4757.1294       -1056.6741        597.69165
                3              -18                7        25083.803        -25474.26       -6228.9482         -6813.71       -1526.7051        974.43921
                4              -18                7        24023.709       -24273.873       -8127.0679       -8808.1377       -1944.8789        1413.4144
                5              -18                7        22824.611       -23084.523       -9929.7705       -10740.419       -2311.1963        1914.6182
                6              -18                7          21486.5       -21906.227       -11637.052       -12610.548       -2625.6563        2478.0491
                7              -18                7        20009.379       -20738.973       -13248.917       -14418.529        -2888.259        3103.7087
                8              -18                7         18452.01       -19197.422       -14673.479       -15921.906       -3131.3965        3655.8779
                9              -18                7        16855.254       -17259.508       -15489.651       -16569.164       -3241.9956        3761.3184
               10              -18                7         15176.32       -15788.095       -16117.604       -17253.898       -3238.2729         3889.304
               11              -18                7        13515.903       -14298.618        -16708.01       -17888.348       -3243.2402        4018.7407
               12              -18                7        11870.595       -12775.559       -17251.238       -18481.021       -3255.2349        4140.3745
               13              -18                7         10145.75       -10773.855       -17441.221       -19317.443       -3219.5376        3980.6448
               14              -18                7        8145.1201       -8803.3467       -17743.244       -19596.672       -3188.9685        3855.5679
               15              -18                7        6219.4727       -6840.5991        -17996.93       -19829.984       -3166.3269        3708.5159
               16              -18                7        4369.0107       -4885.6162       -18202.186       -20017.695       -3151.6128        3539.4717
               17              -18                7        2593.7351       -2938.3999       -18359.006       -20159.809       -3144.8262        3348.4355
               18              -18                7        893.64594       -998.94879       -18467.396       -20256.316       -3145.9675        3135.4077
              -18              -17                7        838.28717       -959.51312        16460.676        22698.539        3292.2517       -3529.4519
              -17              -17                7        2543.3977       -2844.3721        16296.397        22693.633        3275.9497       -3706.7473
              -16              -17                7        4314.4912       -4764.6758        16105.951        22582.908        3266.0818       -3870.7378
