           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         11533.97       -14431.891        695.78772       -68.883049        49440.668       -27593.598
              -17              -18                7        12685.361        -14530.48        484.55579        23.233055        50765.102       -27384.078
              -16              -18                7         13858.32       -14587.986        334.34064       -51.845398        52076.516       -26985.406
              -15              -18                7        15052.845       -14604.408        245.14206       -294.11819        53374.902       -26397.584
              -14              -18                7        16268.937       -14579.749        216.96013       -703.58557        54660.262       -25620.602
              -13              -18                7         17725.92       -14068.943        401.42664       -1178.9415        55786.504       -24244.014
              -12              -18                7        19211.898       -12915.165          605.005       -1511.3678        56613.703       -22466.336
              -11              -18                7        20546.707       -11632.049        685.78418       -1721.3262        57255.289       -20749.816
              -10              -18                7        21876.836       -10321.432        783.02649       -1860.9086         57836.25       -19008.137
               -9              -18                7        23202.285       -8983.3115        896.73181       -1930.1141        58356.598       -17241.293
               -8              -18                7         24381.59       -7356.4624        977.72186       -1282.1476            58725       -16201.092
               -7              -18                7        25540.705       -4878.3555        924.86218       -830.46313        58989.844       -13396.794
               -6              -18                7        26558.533       -2599.5632         863.2392       -502.78436        59120.605       -10701.396
               -5              -18                7        27435.078       -520.08923        792.85242       -299.11224        59117.289       -8114.9004
               -4              -18                7        28170.336        1360.0673        713.70233       -219.44495        58979.891       -5637.3066
               -3              -18                7        28764.313        3040.9084        625.78821       -263.78326        58708.414       -3268.6118
               -2              -18                7        29217.002        4522.4316        529.11066       -432.12921        58302.859       -1008.8206
               -1              -18                7        29427.752        5932.7554        684.51294       -409.08533        57662.969        1173.2393
                0              -18                7        29020.701        6328.7456        1059.9231        82.421127        56431.504        4140.4712
                1              -18                7        28168.152        5215.2266        1060.0691        8.6645508        55162.262        6694.4546
                2              -18                7        27309.428        4122.2041        1053.7578        6.5073242        53927.281        9166.9961
                3              -18                7        26392.664        3075.7676        1059.1056        82.170654        52677.391        11684.417
                4              -18                7        25417.869        2075.9185         1076.113        235.65356        51412.598        14246.718
                5              -18                7        24385.035        1122.6547        1104.7781         466.9566        50132.887        16853.902
                6              -18                7        23294.164        215.97797        1145.1024        776.07874        48838.266        19505.965
                7              -18                7        22145.254       -644.11273        1197.0858        1163.0219        47528.746         22202.91
                8              -18                7         20943.32       -1472.2141        1065.9795        1108.0483        46227.848        24691.018
                9              -18                7        20284.475       -1419.7441        797.53625        562.22473        45373.031        26394.639
               10              -18                7        19920.043       -1058.0352        793.31763        815.90234        44724.223         28105.84
               11              -18                7        19573.004        -703.4425        769.27942        976.30597        44113.727        29875.848
               12              -18                7        19236.656       -355.01541        725.60889        1041.1287        43539.242        31720.508
               13              -18                7        18764.885        137.72008        682.00629        912.22717        42945.133        34100.793
