           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -1177.3225        734.87024       -390.17419       -562.45721        552.37396        376.83374
              -17              -18                7       -1559.7358        989.99731       -82.312408       -72.690674        903.72253          1075.95
              -16              -18                7       -1954.8206        1372.6627         280.8638        735.93701        1184.9227        1514.4546
              -15              -18                7       -2362.5764        1882.8669        699.35431        1863.4258        1395.9745        1692.3481
              -14              -18                7       -2783.0049        2520.6099        1173.1597        3309.7761        1536.8778        1609.6305
              -13              -18                7       -3093.2063        3390.1313        1618.5115        4490.3496        1686.9628        494.14423
              -12              -18                7       -3282.5679        4096.6016        2046.7965        5496.5547        2023.6648       -1264.5276
              -11              -18                7       -3454.8774        4479.2271        2526.8298        6697.6514        2487.1089       -2800.9966
              -10              -18                7       -3629.2502        4897.3628        3039.4131        7895.3213        2975.0247       -4374.5811
               -9              -18                7        -3805.686        5351.0112        3584.5461        9089.5635        3487.4136       -5985.2808
               -8              -18                7       -4108.0405        5069.3081        4419.3555        13467.566        4331.3052       -4293.9341
               -7              -18                7       -4501.0298        3232.8381        6537.5171        19135.096        4987.3818       -4811.7334
               -6              -18                7       -4620.2754        1846.3009        8412.1328        23793.855        5572.4424       -5240.8013
               -5              -18                7       -4465.7783          909.698        10043.201        27443.846        6086.4854       -5581.1387
               -4              -18                7       -4037.5381        423.02722        11430.723        30085.061        6529.5127       -5832.7441
               -3              -18                7       -3335.5542        386.28918        12574.698        31717.506        6901.5229       -5995.6191
               -2              -18                7       -2359.8276         799.4845        13475.131        32341.186        7202.5181       -6069.7632
               -1              -18                7       -1212.7826        1268.3221        14266.454        33213.957        7311.8784        -7449.395
                0              -18                7        53.080257       -48.494171         14585.22        33727.598        7355.0986       -7537.0776
                1              -18                7        1074.3683        304.07886        14200.166        32506.082        7402.3682        -6204.519
                2              -18                7        2029.0923        460.44434        13342.553        30824.053        7320.8711       -5015.5928
                3              -18                7        2813.2813        242.08789         12295.43         28752.02        7104.5674       -3876.8384
                4              -18                7        3426.9353       -350.98901        11058.802        26289.984        6753.4551       -2788.2556
                5              -18                7        3870.0554       -1318.7869        9632.6621        23437.934        6267.5347       -1749.8419
                6              -18                7        4142.6401        -2661.304        8017.0156        20195.883        5646.8066       -761.59839
                7              -18                7        4244.6899       -4378.5439        6211.8604        16563.824         4891.271         176.4754
                8              -18                7        4161.2778       -6086.5605        4599.3701        11856.001        4032.5364        810.48364
                9              -18                7        4008.1382       -5865.4629        4043.0354        8495.8115        3428.3296        153.46161
               10              -18                7        3879.7305         -5353.04        3429.7561        7290.6626        2929.7212       -383.03885
               11              -18                7        3744.3445       -4926.4341        2863.2319        6176.1782        2432.1365       -761.91858
               12              -18                7        3598.7375       -4563.2642        2344.2756        5174.5186        1944.1425       -926.10461
               13              -18                7        3355.2471       -3574.7395        1892.3163        4861.1157        1732.2139        771.16058
               14              -18                7        2897.7083       -3100.1406        1247.4136        3475.5115        1570.8951        743.42694
               15              -18                7        2454.4226       -2604.9204        690.45905        2217.0015        1362.5343        653.60297
