           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -14965.837        1544.2162       -15776.757        1207.9287       -12530.768        2975.1306
              -17              -18                7       -15170.461        1891.0737       -14467.049        2016.5654       -13620.016        4165.5981
              -16              -18                7       -15577.564        2270.7102       -13094.059        3067.9077       -14679.263        5060.0381
              -15              -18                7       -16187.148        2683.1277        -11657.79        4361.9561       -15708.507        5658.4497
              -14              -18                7       -16999.215        3128.3252       -10158.236        5898.7109        -16707.75         5960.834
              -13              -18                7       -18005.434        3504.8491       -8827.0693        7234.0322       -17875.121        5233.6748
              -12              -18                7       -19184.518        3439.0522       -7705.8931        8262.8242       -18863.559        3836.7915
              -11              -18                7        -20479.98        3064.7234       -6603.5684        9249.4316       -19427.672        2594.2363
              -10              -18                7        -21898.09        2682.8843       -5520.6709        10157.207       -19859.574        1310.6357
               -9              -18                7        -23438.85        2293.5339       -4457.1968        10986.152       -20159.264       -14.008789
               -8              -18                7       -25230.268        1280.0076       -2055.1575        13327.587       -19801.723        1631.8145
               -7              -18                7       -27927.029       -1533.9786        357.02368        16840.229       -19530.129        650.22974
               -6              -18                7       -30193.813       -3905.7935        2566.5342        19654.027       -19191.424       -164.98318
               -5              -18                7       -32030.613       -5835.4346        4573.3716        21768.982       -18785.607        -813.8244
               -4              -18                7       -33437.426       -7322.9028        6377.5371        23185.096       -18312.676       -1296.2941
               -3              -18                7       -34414.266       -8368.2002        7979.0313        23902.363       -17772.635       -1612.3921
               -2              -18                7       -34961.125       -8971.3252        9377.8535        23920.789        -17165.48       -1762.1184
               -1              -18                7        -35187.27       -9489.9473        10438.322        23870.887       -16422.186        -2724.022
                0              -18                7       -35517.324       -10147.023        10051.069        23514.998       -15282.679       -3323.8862
                1              -18                7       -33962.895       -8742.7539        9340.5342        22340.105       -14180.668       -2765.7949
                2              -18                7       -32497.395       -7520.6553        8556.7061        20720.605        -13227.82       -2239.4231
                3              -18                7       -31088.238       -6618.2158        7516.3228        18786.695       -12324.549       -1792.3236
                4              -18                7       -29735.424       -6035.4355        6219.3853        16538.373       -11470.857       -1424.4957
                5              -18                7       -28438.947       -5772.3135        4665.8921        13975.639       -10666.742       -1135.9397
                6              -18                7       -27198.813       -5828.8516        2855.8452        11098.493       -9912.2041       -926.65533
                7              -18                7       -26015.018       -6205.0493        789.24176         7906.936       -9207.2441       -796.64307
                8              -18                7       -24645.275       -6563.8999       -1526.0905        4415.3203       -8484.4063       -875.45752
                9              -18                7       -23265.789       -5933.5752       -3466.1968         2535.665       -8771.7002       -1511.7461
               10              -18                7       -22398.803       -5236.0083       -5047.8662        1533.8779       -9630.1484       -1978.2595
               11              -18                7         -21596.6       -4551.9229       -6489.3423        669.22412       -10475.416       -2415.0442
               12              -18                7       -20838.389       -3860.5024       -7793.3633       -37.418411        -11285.89       -2795.8325
               13              -18                7       -19482.604       -2558.2834       -9082.5674        10.936282       -11415.338       -2330.5774
               14              -18                7       -18473.121       -2579.3621       -10820.572       -574.69751       -11707.904       -2160.4292
