           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        37813.047       -39425.461        -37736.43        39954.766       -150.13474       -101.02348
              -17              -18                7        36460.578       -40791.371       -38956.301         40045.75       -1582.6641        2194.0093
              -16              -18                7        35086.148       -42041.469       -40390.578        39898.316       -2992.2498        4584.6016
              -15              -18                7        33689.746       -43175.742       -42039.254        39512.461       -4378.8896        7070.7515
              -14              -18                7        32271.373       -44194.195        -43902.32        38888.188       -5742.5859        9652.4629
              -13              -18                7        30575.703       -45423.602       -45477.633        37778.512       -7110.9243        12610.088
              -12              -18                7        28888.131       -46134.586       -46529.609        36423.898       -8735.9766        15872.797
              -11              -18                7         27340.74       -45886.148       -47546.539        35119.375       -10576.052        19098.279
              -10              -18                7         25741.23       -45440.859       -48673.613        33758.367       -12435.333        22342.859
               -9              -18                7        24089.598       -44798.719        -49910.82        32340.879       -14313.823        25606.541
               -8              -18                7        21311.426       -43158.043        -50314.34        26550.863       -15822.135        29401.658
               -7              -18                7        18453.432       -38918.473        -51122.34        21643.539       -17297.719        33371.445
               -6              -18                7        15429.898       -34765.371       -51678.016        16554.359       -18403.006        36917.398
               -5              -18                7        12240.829        -30698.73       -51981.359        11283.325           -19138        40039.516
               -4              -18                7        8886.2197       -26718.557       -52032.363        5830.4331       -19502.701        42737.797
               -3              -18                7        5366.0723       -22824.844       -51831.043        195.68591       -19497.107        45012.254
               -2              -18                7        1680.3853       -19017.602       -51377.395       -5620.9189       -19121.219        46862.863
               -1              -18                7       -1845.3362       -14650.762       -50931.383       -12211.639       -18406.719        49213.926
                0              -18                7       -4504.3799       -4997.4878        -48324.66       -20119.893       -17698.863        50472.906
                1              -18                7       -6710.9028        3494.7361       -44081.641       -26632.383       -16569.879        49333.609
                2              -18                7       -8540.1289        11112.884       -39980.289       -33395.125       -15278.399        48036.195
                3              -18                7       -9986.6094        18346.906       -35916.262       -39704.883       -13917.382         46327.82
                4              -18                7       -11050.341        25196.809       -31889.559       -45561.641       -12486.824        44208.492
                5              -18                7       -11731.328        31662.598       -27900.162        -50965.43       -10986.724        41678.188
                6              -18                7        -12029.57        37744.262       -23948.094       -55916.215        -9417.084        38736.918
                7              -18                7       -11945.064        43441.813       -20033.346        -60414.02       -7777.9014        35384.691
                8              -18                7       -11700.536        48601.719       -16497.195       -61918.434        -6316.458        31866.541
                9              -18                7       -11101.659        51041.156        -14272.88       -59561.961       -5309.6724         30027.24
               10              -18                7       -9945.1777        52592.496       -12259.692       -60266.148       -4190.5693        28516.156
               11              -18                7       -8792.0811        54118.602       -10414.473        -60882.73       -3157.6262        26776.824
               12              -18                7        -7648.769        55627.805       -8734.2578       -61416.324       -2224.1914        24731.125
               13              -18                7       -6701.9258        57165.496       -7118.4253       -61948.254       -1786.3501        20074.299
               14              -18                7       -5335.3711        57095.797       -5244.3994       -60853.188        -1263.349        16620.064
