           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -5732.3203       -8039.8037        5802.7334        8021.1396       -3.7028217        3.6873188
              -17              -18                7       -3733.7693       -10308.832        5708.0996        8026.5913       -238.62752       -48.721428
              -16              -18                7       -1751.7312        -12599.47        5573.6729        8029.3569       -479.12817       -117.04516
              -15              -18                7        213.79395       -14911.715        5399.4536         8029.436       -725.20465       -201.28377
              -14              -18                7        2162.8076        -17245.57        5185.4419        8026.8281       -976.85712       -301.43738
              -13              -18                7        3944.0681       -19426.133        5077.9199        7859.7593       -1234.1027       -446.52423
              -12              -18                7        5424.4531       -21222.777        4906.3267         7700.667       -1482.7302       -607.77246
              -11              -18                7        6774.0073       -22817.992        4574.4473        7653.9038       -1711.6799       -744.72705
              -10              -18                7        8116.2329       -24400.648         4216.334        7590.1719        -1926.219       -888.03094
               -9              -18                7        9451.1289       -25970.748        3831.9868        7509.4717       -2126.3469       -1037.6841
               -8              -18                7        10567.362       -27707.021        3372.9307        7614.3101        -2514.729       -1298.4353
               -7              -18                7        11539.987       -29582.801        2763.4446        7671.5684       -2942.2104       -1405.1843
               -6              -18                7        12407.354       -31275.398        2099.7871        7674.5869       -3321.2146       -1500.1105
               -5              -18                7        13169.464       -32784.824        1381.9587        7623.3647       -3651.7402       -1583.2133
               -4              -18                7        13826.316        -34111.07        609.95935        7517.9033       -3933.7878        -1654.493
               -3              -18                7        14377.914       -35254.148       -216.21133        7358.2007       -4167.3569       -1713.9496
               -2              -18                7        14824.254       -36214.043       -1096.5531        7144.2588       -4352.4487        -1761.583
               -1              -18                7        15125.498       -37240.402       -1917.2397        6756.0435       -4508.0093       -1881.0989
                0              -18                7        14807.139       -37374.828       -2461.3225        5871.7617       -4612.5083       -2103.1548
                1              -18                7        14402.906       -36376.578       -3140.7385        5304.4146       -4533.7383       -2079.0039
                2              -18                7        13983.732       -35408.055       -3736.9783        4788.9683       -4414.0381       -2090.4614
                3              -18                7        13548.974       -34387.285       -4314.7178        4272.7534       -4249.5205        -2021.455
                4              -18                7        13098.628       -33314.277       -4873.9556        3755.7729       -4040.1848       -1871.9845
                5              -18                7        12632.694        -32189.02       -5414.6934        3238.0247       -3786.0315       -1642.0498
                6              -18                7        12151.171       -31011.516       -5936.9292        2719.5103       -3487.0613       -1331.6509
                7              -18                7        11654.062        -29781.77       -6440.6655        2200.2288       -3143.2729        -940.7879
                8              -18                7        11198.413       -28154.721       -7006.6284        1607.9382       -2788.8699       -485.93985
                9              -18                7        10927.173       -25865.164       -7519.4614        1107.8535        -2535.762       -430.55188
               10              -18                7        10666.047       -23868.191       -7825.2402        778.30963       -2276.6521       -543.52051
               11              -18                7        10429.469       -21841.916       -8121.0718        477.35925       -2017.6512       -615.22949
               12              -18                7        10217.263       -19768.535       -8405.7871        191.74976        -1756.269       -644.76514
               13              -18                7        10037.509       -17108.564       -8650.3936       -514.41498       -1417.2255        -609.3551
               14              -18                7        9843.5488       -14091.046       -8873.1582       -804.66089       -1142.9253       -511.66476
               15              -18                7        9702.1045        -11045.67       -9090.3965       -1060.7153        -876.8324       -399.39929
               16              -18                7        9613.2129       -7972.6484        -9302.125       -1282.8225       -618.91199       -272.58292
               17              -18                7         9576.873       -4871.9849       -9508.3398       -1470.9811       -369.16431       -131.21568
               18              -18                7        9593.0879        -1743.678       -9709.0449       -1625.1926       -127.58925        24.702415
              -18              -17                7       -5653.2334       -8026.3945        3821.1758        10316.152        260.66196        38.697445
              -17              -17                7       -3679.4463       -10300.857        3751.0764        10326.846        24.424183       -11.548143
              -16              -17                7       -1722.1715       -12596.928        3641.1848        10334.853        -217.3895       -77.708664
              -15              -17                7        218.59027       -14914.611        3491.4995        10340.172       -464.77899       -159.78412
              -14              -17                7        1985.9067       -17078.668        3444.7786        10180.066       -719.51801       -272.00595
              -13              -17                7        3599.1052       -19099.336        3494.7854        9872.7988       -978.04871       -435.26495
              -12              -17                7        5206.3154       -21138.422        3510.3701        9571.4082       -1237.6393       -643.30396
              -11              -17                7        6600.6572       -22844.367        3261.7925        9469.8418       -1476.2751       -807.86145
              -10              -17                7        7933.3765        -24448.48        2925.6812        9404.7168       -1696.3195       -959.54828
               -9              -17                7        9258.7666       -26040.041        2563.3354         9322.624       -1901.9529       -1117.5844
               -8              -17                7        10349.729       -27852.875        2197.1763        9507.5723       -2356.3411       -1567.3848
               -7              -17                7        11345.568       -29761.434        1836.6489         9558.542       -2856.7625       -1796.3674
               -6              -17                7        12183.479       -31506.729        1295.5339        9444.2559       -3281.1331        -1880.662
               -5              -17                7        12916.137       -33068.852        700.24756        9275.7305       -3657.0259       -1953.1331
               -4              -17                7        13543.533       -34447.797        50.790268        9052.9639       -3984.4399       -2013.7814
               -3              -17                7        14065.676       -35643.566        -652.8382         8775.958       -4263.3765       -2062.6064
               -2              -17                7        14420.499       -37262.707       -1276.2559        8279.4521       -4548.1035       -2119.8792
               -1              -17                7         14581.03       -38420.215       -1859.7906        7141.1401       -4793.2383       -2521.3472
                0              -17                7        14250.556       -39078.586       -2166.6934        5461.2339       -5006.1099       -2516.5293
                1              -17                7        13845.863       -38077.105       -2797.1145        4673.3418       -4925.4033       -2517.1975
                2              -17                7        13423.521       -37094.211       -3370.0608        3937.3459       -4801.6001       -2479.8269
                3              -17                7        12985.592       -36059.066       -3924.5059        3200.5833       -4632.9795       -2361.9922
                4              -17                7        12532.074        -34971.68       -4460.4502        2463.0542        -4419.541       -2163.6929
                5              -17                7        12062.969       -33832.051       -4977.8936        1724.7578       -4161.2856       -1884.9302
                6              -17                7        11578.276       -32640.172       -5476.8369        985.69519       -3858.2119        -1525.703
                7              -17                7        11077.997       -31396.051       -5957.2788        245.86482       -3510.3206       -1086.0112
                8              -17                7        10782.539       -28673.504       -6704.6318       -722.05615       -3186.5703        -551.1767
                9              -17                7        10538.643       -25998.936       -7405.2949       -1366.1293       -2909.3877       -239.09613
               10              -17                7        10293.413       -23934.314       -7710.5664       -1682.4818       -2648.4705       -340.34186
               11              -17                7         10072.73       -21840.391       -8005.8916       -1970.2411       -2387.6628       -400.32785
               12              -17                7        9866.4326       -19256.258       -8270.3682       -2549.0361       -2060.9751       -398.83511
               13              -17                7        9705.7646       -16566.375       -8533.5625       -3210.4175       -1723.6639       -361.59836
               14              -17                7        9595.8389       -13888.876       -8802.1689        -3878.863       -1392.6656       -294.77631
