           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        990.77148       -5037.5679       -6911.3867         29793.16        3138.5161        1522.1511
              -17              -18                7        959.09491       -4873.8174       -6837.2148         29182.16        3152.7451        983.68866
              -16              -18                7        925.99255       -4633.7549       -6762.3359         28368.75        3126.7175        582.54199
              -15              -18                7        891.46405       -4317.3789       -6686.7485        27352.924        3060.4319        318.71063
              -14              -18                7        855.50946       -3924.6907       -6610.4526        26134.676        2953.8887        192.19478
              -13              -18                7        893.57068       -3473.4084       -6612.4995        24917.021        2838.7427        275.02838
              -12              -18                7        1037.9717       -2960.4976       -6623.7295        23870.637        2718.6245        442.33063
              -11              -18                7        1214.7582       -2431.6514        -6582.001        22852.979        2560.3396        636.58044
              -10              -18                7        1404.1768       -1929.7927       -6531.8086        21787.066        2372.5474        863.41809
               -9              -18                7        1606.2271       -1454.9209       -6473.1519        20672.896        2155.2471        1122.8434
               -8              -18                7        1748.1206       -1429.7211       -5807.2832        19132.895         2050.957        827.75531
               -7              -18                7        1992.4351       -498.21591       -4876.9448        16387.922        1721.6136        1545.7904
               -6              -18                7        2217.3979        254.18111       -4062.7437        13747.612        1405.3788        2047.6631
               -5              -18                7        2423.0098        827.47009       -3364.6787        11211.969        1102.2523        2333.3721
               -4              -18                7          2609.27         1221.651         -2782.75        8780.9854        812.23444         2402.918
               -3              -18                7         2776.179        1436.7244       -2316.9583         6454.668        535.32483         2256.302
               -2              -18                7        2923.7368        1472.6897       -1967.3026        4233.0122         271.5238        1893.5226
               -1              -18                7        3046.8667        1837.2472       -1574.0186        2029.4415       -68.592896        1640.5603
                0              -18                7        2998.9126        2294.4351       -943.75519       -749.59021       -410.09863        2079.6467
                1              -18                7        2715.3787        2382.2002       -436.97223       -2915.8838       -644.38947        2026.7521
                2              -18                7        2453.4646        2277.7986          50.2925       -5113.5864       -876.77844        1936.7006
                3              -18                7        2177.4375        2201.5657        573.97589       -7442.7773       -1128.2444        1939.1171
                4              -18                7        1887.2971        2153.5015        1134.0776        -9903.457       -1398.7876        2034.0012
                5              -18                7        1583.0431        2133.6052        1730.5992       -12495.627       -1688.4082        2221.3533
                6              -18                7        1264.6755         2141.877        2363.5386       -15219.286       -1997.1053        2501.1731
                7              -18                7        932.19458        2178.3179        3032.8979       -18074.436       -2324.8804        2873.4609
                8              -18                7        554.11737        2304.4304        3693.6462       -21113.066         -2630.05        3040.7683
                9              -18                7        225.14246        2829.4355        4060.8496       -22719.611       -2750.0837        2589.3589
               10              -18                7       -20.063583        3268.2751        4335.6313       -23359.484       -2847.0464        2388.8682
               11              -18                7       -258.97482        3608.1467        4602.2529       -24013.121       -2932.7734         2219.813
               12              -18                7       -489.43015        3848.3701        4859.8882         -24673.4       -3006.2468         2093.134
               13              -18                7       -636.43091        4014.8696        5077.7954       -25144.936       -3036.8752        2340.8342
               14              -18                7        -698.9682        4208.5908        5447.4707       -26137.764       -3077.8701         1703.998
               15              -18                7        -765.4408        4379.8535        5797.4746       -27058.859       -3112.2012        970.16138
               16              -18                7       -835.89502        4528.6309        6127.7051         -27907.9       -3139.8574        139.83179
               17              -18                7       -910.33087        4654.9243        6438.1616       -28684.883       -3160.8391       -786.99005
               18              -18                7       -988.74847        4758.7334        6728.8447       -29389.816       -3175.1453       -1810.3049
              -18              -17                7        945.82184       -4768.0366       -6605.2021         29193.83        3299.0505        28.526733
              -17              -17                7         907.2804       -4586.2549       -6537.6064        28568.188        3322.3633       -438.05029
              -16              -17                7        867.31281       -4328.1592       -6469.3008        27740.133        3305.4185       -767.31183
              -15              -17                7        825.91913       -3993.7507       -6400.2871         26709.66        3248.2161        -959.2583
              -14              -17                7        847.46436       -3575.7461       -6408.0283         25593.27        3177.3755       -838.79187
              -13              -17                7        942.84851        -3110.468       -6477.6182        24459.117        3112.6523       -549.43872
              -12              -17                7         1057.285       -2616.0159       -6534.2402        23223.387        3036.2212       -295.11438
              -11              -17                7        1218.8044       -1999.1451       -6503.2378        22158.623        2908.6826       -97.108414
              -10              -17                7        1400.9993       -1378.8787       -6443.6587        21111.758         2743.124        120.84142
               -9              -17                7        1595.8263       -785.59949       -6375.6147        20016.639        2548.0576        371.37921
               -8              -17                7        1713.2677       -1045.1152       -5797.9312        18650.375        2669.8682       -697.47998
               -7              -17                7        1961.9419        -872.8349       -5176.1196        16711.869         2619.864       -1188.4572
               -6              -17                7        2236.1499       -221.50668       -4454.8125        14099.918         2299.825       -611.72723
               -5              -17                7        2491.0066        250.71356       -3849.6421         11592.63        1992.8936       -251.15973
               -4              -17                7         2726.512        543.82593       -3360.6089        9190.0059        1699.0713       -106.75612
               -3              -17                7         2942.666        657.83063       -2987.7114        6892.0444        1418.3572       -178.51483
               -2              -17                7         3202.002        2220.1138       -2308.2629        4532.0117        883.25085        243.75613
               -1              -17                7        3374.7185        3786.1321       -1588.9779        2533.5879        337.06805        675.64691
                0              -17                7        3439.8884        3885.7319       -851.57587        891.34979       -281.15167         1561.434
                1              -17                7        3147.1277        3693.0869       -365.45032       -1231.2178       -578.23303        1545.3293
                2              -17                7        2861.3555        3434.0745        134.04965       -3405.4392       -881.47552        1557.5188
                3              -17                7        2561.4695        3203.2305        669.96851       -5711.1494        -1203.795        1662.1757
                4              -17                7        2247.4697        3000.5549         1242.306       -8148.3486       -1545.1917        1859.3011
                5              -17                7        1919.3572        2826.0474        1851.0624       -10717.037       -1905.6654        2148.8931
                6              -17                7        1577.1309        2679.7085        2496.2378       -13417.217       -2285.2166        2530.9536
                7              -17                7        1220.7908        2561.5374        3177.8328       -16248.885       -2683.8447        3005.4819
                8              -17                7        680.53046        2438.9236        3681.0295       -19720.221       -2895.7305        2587.8501
                9              -17                7        257.91962        2846.9653        4098.6831       -22529.852       -3009.8074        2107.6401
               10              -17                7        11.077484         3188.106        4371.4487       -23079.125       -3103.3071        1965.4939
               11              -17                7       -229.46985        3430.2783        4636.0537       -23642.176        -3185.571        1854.7834
               12              -17                7       -410.13098        3604.0737        4865.3486       -24139.158       -3221.3579        2124.8367
               13              -17                7       -559.15839        3769.3374        5071.5757       -24681.689       -3239.7661        2490.5696
               14              -17                7       -688.47693        3927.6248        5260.5488       -25295.191       -3249.7952        2863.1418
               15              -17                7        -753.2619        4110.1475        5583.9233       -26237.957       -3274.9343        2332.2627
               16              -17                7       -815.70923        4274.5347        5904.9336        -27145.41       -3295.9883        1606.4519
               17              -17                7       -882.13818        4416.4385        6206.1694       -27980.813       -3310.3672        784.14941
               18              -17                7       -952.54877        4535.8564        6487.6323       -28744.156        -3318.071        -134.6467
              -18              -16                7        922.53748       -4517.8926       -6298.1128        28470.594        3432.6392       -1641.2626
              -17              -16                7         877.1308       -4318.0771       -6237.0903        27830.311        3465.0347       -2035.9546
              -16              -16                7        830.29816       -4041.9497       -6175.3594        26987.609        3457.1736       -2293.3308
              -15              -16                7        835.38879       -3657.3643       -6188.8027        25972.969        3430.6655       -2135.8169
              -14              -16                7        904.37585       -3202.2292       -6263.0518        24860.852        3405.7268       -1712.6968
              -13              -16                7        992.41528       -2717.9209        -6324.334        23647.152        3369.0798       -1324.6053
              -12              -16                7        1099.5072       -2204.4382        -6372.647        22331.879        3320.7251       -971.54382
              -11              -16                7        1226.6722       -1655.7434        -6405.105        20929.311        3258.7388        -656.8667
              -10              -16                7        1401.6436       -917.06946       -6336.1377        19901.494        3115.4141       -447.80441
               -9              -16                7        1578.7412       -261.68936       -6208.5967        18758.426        2975.9316       -307.14008
               -8              -16                7        1735.5459       -203.68723       -5706.4443        17028.203        3185.4583       -1441.1005
               -7              -16                7        2029.6587        -224.5575       -5408.2886        15443.544        3470.5728       -3155.0767
               -6              -16                7        2371.3669        100.57158       -4946.1152        13232.344        3365.2659       -3433.3555
               -5              -16                7        2675.4688        471.72287       -4433.8403        10753.414        3054.5305       -2997.9307
               -4              -16                7        3025.4839         1356.688         -3860.49        8234.4805        2592.6208        -2309.937
               -3              -16                7        3365.8782        3131.0535       -3094.5413         5937.395        1963.7584       -1414.5096
               -2              -16                7        3604.8882        5158.9565       -2286.1738        4114.2046        1344.3838       -846.67932
               -1              -16                7        3767.0444        6361.6611       -1600.5709        2954.9812        720.80359       -364.61935
                0              -16                7        3857.9692        6447.4121       -823.20679        3203.7021       -36.588394        199.76978
                1              -16                7        3644.5928        5429.8818       -207.54076        1681.4814       -585.43005        490.64709
                2              -16                7        3334.9614        5016.2578        304.19495       -469.25977         -959.526        605.07666
                3              -16                7        3011.2168        4630.8027        852.34949       -2751.4902       -1352.6993        811.97461
                4              -16                7        2673.3582        4273.5156        1436.9229       -5165.2109       -1764.9495        1111.3403
                5              -16                7        2321.3865        3944.3975        2057.9146        -7710.418       -2196.2766        1503.1735
                6              -16                7        1955.3014        3643.4473         2715.325       -10387.116       -2646.6809        1987.4742
                7              -16                7        1399.0764        2965.6609        3262.9448       -13770.529       -2987.4143        2114.3655
                8              -16                7        809.84094         2572.354        3707.2756       -17546.664       -3180.2559        1903.1125
                9              -16                7        309.96255        2813.0496         4121.835       -21360.877       -3279.9768        1579.7671
               10              -16                7        33.744087        3100.8452        4409.8848        -22294.16       -3363.2466        1455.2914
               11              -16                7       -177.13824        3275.7883         4652.127       -22773.117       -3410.3599        1699.5817
               12              -16                7       -347.90103        3446.7937        4863.9272       -23315.682       -3424.9275        2176.5068
               13              -16                7       -498.95493         3610.822        5058.4736       -23929.213       -3431.1155         2660.272
               14              -16                7       -630.30017        3767.8735        5235.7661       -24613.715       -3428.9248        3150.8774
               15              -16                7       -741.93665         3917.948        5395.8042       -25369.182        -3418.355        3648.3245
               16              -16                7       -805.94672        4089.1597         5672.917           -26295       -3426.1318        3248.2324
               17              -16                7       -864.36884        4246.6729        5964.9326       -27188.816       -3433.9082        2530.4478
               18              -16                7       -926.77252        4381.7012        6237.1743        -28010.58         -3435.01         1716.171
              -18              -15                7        920.91809       -4287.1348       -5990.1167        27623.453        3539.2808       -3487.2158
              -17              -15                7        868.64636       -4069.2874       -5935.6685        26968.529        3580.7603       -3810.0227
              -16              -15                7        857.34399       -3718.2617       -5954.8208        26056.121        3598.6128       -3616.0464
              -15              -15                7         899.9339       -3273.2705       -6033.7295        24966.037        3613.4587       -3059.1594
              -14              -15                7        961.57623        -2799.105       -6099.6704        23774.373        3616.5967        -2537.302
              -13              -15                7        1042.2711       -2295.7664        -6152.644        22481.131        3608.0259       -2050.4731
              -12              -15                7        1142.0184       -1763.2538       -6192.6499        21086.311         3587.748       -1598.6735
              -11              -15                7        1260.8182       -1201.5674       -6219.6885        19589.918        3555.7617       -1181.9036
              -10              -15                7        1406.1094       -544.36499       -6209.2485        18156.273        3489.4175       -842.51978
               -9              -15                7        1570.4233        200.64624       -6017.5815        16831.551        3435.5063       -859.73816
               -8              -15                7        1775.6284        624.84021       -5627.4854        14756.457          3714.72       -1994.2207
               -7              -15                7        2118.1416         970.1615       -5441.3848        12826.926         4069.521       -3708.7197
               -6              -15                7        2597.9622         1236.608       -5459.2798        11042.964        4499.9087       -6003.2344
               -5              -15                7        3146.3684        2869.4045       -4746.9478        8448.3779        3875.8457        -4736.188
               -4              -15                7        3558.1084        4716.8228        -3928.562        6246.8037        3179.0698       -3441.5769
               -3              -15                7        3868.4648        6817.7832        -3067.759        4519.1235        2491.7822       -2474.5645
               -2              -15                7        4077.4365        9172.2783       -2164.5378        3265.3386        1813.9824       -1835.1487
               -1              -15                7        4217.6563        9675.1348        -1559.626        3541.2395        1076.0104       -1577.1293
                0              -15                7        4357.1323        9867.4004       -724.73584         5523.188        201.47368       -1470.8413
                1              -15                7        4157.4258        7705.4834          19.6782        5381.7432       -648.52692       -1063.6256
                2              -15                7        3874.2832        7024.3491        560.72797        3694.9526       -1110.9299       -920.62463
                3              -15                7        3526.6792        6484.2827        1121.1178        1436.2019       -1574.9565       -611.48602
                4              -15                7        3164.9619        5972.3848        1717.9268       -954.03687       -2058.0603       -209.87991
                5              -15                7        2789.1313        5488.6548        2351.1545       -3475.7651        -2560.241        284.19363
                6              -15                7        2274.6675        4618.9214        2943.6758       -6552.5527       -3019.5254        748.82739
                7              -15                7        1563.6798        3344.8203         3372.915       -10553.439       -3298.1355        923.73975
                8              -15                7        942.04871        2704.7217        3772.3838       -14592.405       -3483.6255        986.55798
                9              -15                7        409.77457         2698.625        4142.0815       -18669.451       -3575.9954        937.28241
               10              -15                7        62.547138        3030.0146        4438.1304       -21046.811       -3603.8818        1065.0696
               11              -15                7       -129.95091        3206.7612        4655.5039       -21589.406       -3614.6086        1653.1866
               12              -15                7       -302.74023         3376.531        4855.6245       -22202.971       -3616.9561        2248.1448
               13              -15                7       -455.82071        3539.3232        5038.4893         -22887.5       -3610.9243        2849.9421
               14              -15                7       -589.19244        3695.1389        5204.1011       -23643.004       -3596.5137        3458.5806
               15              -15                7       -702.85553         3843.978        5352.4585       -24469.471       -3573.7236        4074.0603
               16              -15                7       -796.80981        3985.8398        5483.5615       -25366.906       -3542.5544        4696.3789
               17              -15                7       -857.02277        4145.6289        5714.4502       -26308.902       -3531.4624        4451.9063
               18              -15                7       -911.41968        4296.2676        5977.4722       -27189.078       -3525.9614        3742.1487
              -18              -14                7        940.96375       -4075.7622       -5681.2144        26652.414        3618.9761       -5509.3345
              -17              -14                7        913.32996       -3758.4395        -5706.084         25842.73        3681.2185       -5279.4829
              -16              -14                7        929.52271       -3323.5916       -5789.6523        24774.676        3735.8486       -4588.8281
              -15              -14                7        964.76807       -2859.5693       -5860.2529        23605.047         3778.771       -3933.2031
              -14              -14                7        1019.0658       -2366.3745       -5917.8857         22333.84        3809.9851       -3312.6072
              -13              -14                7         1092.416       -1844.0046       -5962.5513        20961.051         3829.491       -2727.0405
              -12              -14                7        1184.8186       -1292.4619        -5994.249        19486.688        3837.2896       -2176.5039
              -11              -14                7        1296.2739       -711.74548        -6012.979        17910.748        3833.3794       -1660.9958
              -10              -14                7        1426.7815       -101.85549       -6018.7402        16233.229        3817.7615       -1180.5175
               -9              -14                7          1579.91        650.07892       -5839.0957        14255.111        3908.7524       -1221.8367
               -8              -14                7        1833.5156        1440.4644       -5561.0542        11835.141        4257.6528       -2356.8423
               -7              -14                7        2224.4292        2151.9771       -5487.0083        9560.7383        4682.1396       -4071.8625
               -6              -14                7        2946.4995        4083.8882       -5304.8047        7160.3467        4776.7085       -5224.8311
               -5              -14                7        3778.6931        6977.4282       -4810.3276        5460.2349         4529.186       -5837.4473
               -4              -14                7        4160.3945        9151.4375       -3897.0874        3828.0674        3773.9841         -4471.25
               -3              -14                7        4440.7129         11578.99       -2941.4302        2669.7932         3028.271       -3432.6514
               -2              -14                7        4557.0283        13576.146       -2103.0061        2324.0837         2236.582       -3019.0559
               -1              -14                7        4737.2051        13852.543       -1436.7461        4246.8613        1411.7095       -2994.5601
                0              -14                7        4934.5176        14191.178       -533.01318        7910.6133        420.65463       -3401.1604
