           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        6167.5195        9139.7363        6820.8374        8788.5459        66500.594        93362.234
              -17              -18                7        7414.4199        10737.563        4904.9521         8608.333        64773.566        96192.117
              -16              -18                7        8721.1943        12307.267        2849.5439         8622.418        63062.598        98951.773
              -15              -18                7        10087.841        13848.845        654.61493        8830.8018        61367.684        101641.18
              -14              -18                7        11514.361        15362.301       -1679.8369        9233.4844        59688.816        104260.34
              -13              -18                7        12978.548        17294.141       -3965.9346        10291.315        58352.945        105996.19
              -12              -18                7        14569.367        18885.063       -6072.2729        11210.139        57038.242        106516.52
              -11              -18                7        16262.531        19805.941       -8114.5103        11527.608        55342.184        106623.09
              -10              -18                7        17976.283        20617.617       -10141.496        11776.924        53496.992        106622.56
               -9              -18                7        19710.619        21320.082       -12153.231         11958.08        51502.648        106514.91
               -8              -18                7        21375.494        21527.479       -14952.854         13490.43        47825.395        108275.66
               -7              -18                7        23987.398          20878.1       -18961.217        14771.873        44172.563        109579.98
               -6              -18                7        26036.031        20086.014       -22515.771        15880.567        40362.105        110791.55
               -5              -18                7        27521.389        19151.223        -25616.52        16816.514        36394.043        111910.34
               -4              -18                7        28443.475        18073.717       -28263.455        17579.711        32268.363        112936.34
               -3              -18                7        28802.289        16853.504       -30456.588        18170.158         27985.07        113869.61
               -2              -18                7        28597.834        15490.581        -32195.91        18587.859        23544.168        114710.09
               -1              -18                7        28193.361        13679.339       -33525.172        19506.713        19261.533        114918.89
                0              -18                7        27551.828        11017.521       -34021.418        20850.025         14409.12        114741.77
                1              -18                7        25108.441        8916.4023       -33548.496        21557.816        9345.8535        114810.17
                2              -18                7        22782.619         6878.897       -32573.178        22111.617        4510.7935        114935.21
                3              -18                7        20614.523        4857.5547       -31232.744         22519.75       -154.96289         114992.4
                4              -18                7        18604.146         2852.376       -29527.203        22782.219       -4651.4136        114981.74
                5              -18                7        16751.488        863.35791       -27456.545         22899.02       -8978.5664        114903.23
                6              -18                7        15056.554       -1109.4954        -25020.77        22870.148       -13136.411        114756.88
                7              -18                7        13519.336        -3066.187       -22219.883        22695.609       -17124.959        114542.66
                8              -18                7        11936.066       -4827.6875        -19212.58        21464.148       -20912.379        113991.99
                9              -18                7         9951.541       -4398.3691       -17200.172        19786.816       -23353.025        113385.03
               10              -18                7        8146.3989       -3190.7661       -15612.031        19476.184       -25286.906        113325.37
               11              -18                7        6388.8042       -1986.9546       -14184.859        19000.086        -27275.02        113312.91
               12              -18                7        4659.7495       -786.66321       -12923.302        18344.818       -29349.428        113343.81
               13              -18                7         2340.676        512.74091       -11912.237        17095.355       -32485.764         113271.2
               14              -18                7        971.39233        1884.8645       -10166.887        16064.005       -35112.336        111815.83
               15              -18                7       -362.36688        3290.4941       -8570.8945        14952.576       -37722.715        110347.48
               16              -18                7       -1661.1621        4729.6494       -7124.7637        13760.877       -40317.203           108867
               17              -18                7       -2924.9924        6202.3291       -5828.4941        12488.906       -42895.789        107374.36
               18              -18                7       -4153.8584        7708.5342       -4682.0859        11136.666       -45458.484        105869.61
              -18              -17                7        4382.4434         9172.123        7840.8213        10529.686        65013.984         95943.43
              -17              -17                7         5569.623        10909.119        5874.6689        10483.051        63325.543        98647.641
              -16              -17                7        6816.6758        12617.994        3768.9944        10630.716        61653.152        101281.59
              -15              -17                7        8123.6011        14298.741        1523.7986        10972.678        59996.813        103845.31
