           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -689.00848        577.95471       -31209.236       -107557.75       -1580.6123         387.9646
              -17              -18                7       -265.04214          996.099       -30263.469       -107444.06       -1134.5552        323.89551
              -16              -18                7        45.019573        1324.3956        -29101.84       -106893.11       -747.01678         245.1436
              -15              -18                7        241.17601         1562.844       -27724.348       -105904.91       -417.99707        151.70895
              -14              -18                7         323.4277        1711.4448       -26130.984       -104479.43        -147.4957        43.591511
              -13              -18                7        679.22009        2257.9717       -24146.555       -102823.64        206.44383       -228.90253
              -12              -18                7        835.32117        2676.9502       -21778.404       -101132.32        531.12018       -550.13391
              -11              -18                7        549.68665        2498.1675       -19206.752       -99257.016        671.35114       -774.47949
              -10              -18                7        209.09357        2200.5447       -16487.098       -97185.469        744.73114       -964.11078
               -9              -18                7       -186.45834         1784.082       -13619.439       -94917.688        751.25995       -1119.0277
               -8              -18                7        64.777611        2136.9231       -10390.432       -89825.766        590.90619       -1497.6506
               -7              -18                7        73.543457        1245.8665       -6368.6025       -83937.797        341.90906       -1763.0371
               -6              -18                7        116.04066        776.91333       -2001.1106       -77593.531        161.71774       -1966.2843
               -5              -18                7        192.26932        730.06213        2712.0405       -70792.953        50.332428       -2107.3921
               -4              -18                7        302.22934        1105.3152        7770.8525       -63536.066        7.7529831       -2186.3613
               -3              -18                7        445.92038        1902.6689        13175.326       -55822.883        33.979378       -2203.1907
               -2              -18                7        623.34314        3122.1277        18925.463       -47653.391        129.01166       -2157.8811
               -1              -18                7        738.06354         4077.021        24897.436       -38798.648        191.23515       -2548.9321
                0              -18                7        848.51672        1967.2777        31032.303       -30700.266        197.57956        -2980.897
                1              -18                7        374.08264        199.91138        37155.859       -24631.844        295.08594       -2455.9551
                2              -18                7        161.64355       -828.62158        43164.715       -18730.051        373.12875       -2186.7666
                3              -18                7        67.929932       -1652.9653        49178.859       -13277.025        379.97321       -2062.1436
                4              -18                7        92.940918       -2273.1177        55198.297       -8272.7686        315.61948        -2082.083
                5              -18                7        236.67719        -2689.082        61223.031       -3717.2686        180.06721       -2246.5857
                6              -18                7        499.13766       -2900.8557        67253.039        389.46057       -26.683273       -2555.6504
                7              -18                7        880.32373       -2908.4399        73288.352        4047.4294       -304.63226       -3009.2788
                8              -18                7        1083.5718       -3092.7842        79218.508        5950.7202       -536.66254       -3064.4189
                9              -18                7        882.39575       -3407.8459        83697.195        4812.6455       -431.54691       -3156.3262
               10              -18                7        991.38269       -3318.3425        87481.586        4876.0732       -388.67691       -4148.2983
               11              -18                7        1079.7898       -3254.7588        91133.766        5024.9438       -361.24435       -4966.4048
               12              -18                7        1136.5637       -3233.1926         94645.68        5237.3086       -355.21704       -5557.3848
               13              -18                7        823.53064       -3658.4348        97787.508        4764.2222       -557.47748       -4344.9458
               14              -18                7        799.68427       -3093.8579        100636.78        2766.3286        -488.1178       -3710.2678
               15              -18                7        706.00378       -2569.4839         103324.5         877.3902       -404.63519       -2804.5032
               16              -18                7        542.29321       -2085.8723        105850.75       -901.64331        -307.1936       -1627.2285
               17              -18                7        308.55231       -1643.0229        108215.51       -2570.7715       -195.79308       -178.44434
               18              -18                7        4.7811813       -1240.9358         110418.8       -4129.9941       -70.433632          1541.85
              -18              -17                7       -3034.1995         1236.465       -31624.268       -108090.26       -1822.4731         1107.014
              -17              -17                7       -2532.3777        1668.1329       -30697.367       -107979.45       -1367.6741        1018.9356
              -16              -17                7       -2144.4609        2009.9529       -29554.602       -107431.37       -971.39355        916.17419
              -15              -17                7       -1870.4489        2261.9253       -28195.975       -106446.02       -633.63177        798.73004
              -14              -17                7       -1345.9426        2821.9675       -26382.227       -105178.02       -220.49982        518.74988
              -13              -17                7       -568.68896        3836.8696        -24198.98       -103818.84        330.28119        108.24165
              -12              -17                7        132.30127        4993.0918        -21889.85       -102289.29        917.29852       -288.86688
              -11              -17                7        120.85754        5276.1768       -19350.727       -100537.08        1221.4305       -586.72839
              -10              -17                7       -115.14752        5200.6021        -16638.51        -98577.57        1385.4835       -829.50812
               -9              -17                7       -406.11133        5006.1875       -13778.291        -96421.82        1482.6853       -1037.5734
               -8              -17                7        237.08696        6883.6221       -10870.619       -90978.078        1516.0916       -1714.2994
               -7              -17                7        861.55273        8458.2441        -7269.165       -84777.023        1427.1492       -2971.4473
               -6              -17                7        1183.8524        8507.3594       -2818.4668       -78048.953        1305.6327       -3881.6582
               -5              -17                7        1539.8833        8978.5762        1977.8958       -70864.578        1252.9219       -4729.7305
               -4              -17                7        1929.6459        9871.8975        7119.9155       -63223.898        1269.0173       -5515.6641
               -3              -17                7        2353.1396        11187.321          12607.6       -55126.914        1353.9183       -6239.4575
               -2              -17                7        2556.8394        11235.135        18278.496       -46988.648        1464.6622       -7905.1279
               -1              -17                7        2744.4617        10560.998        24274.602       -38259.219        1349.0679       -9775.3281
                0              -17                7        3652.4946        7580.1567        30460.102       -30066.676         837.9165       -12415.343
                1              -17                7        3213.3345        5352.9233        36659.504       -23684.494        871.83801       -11966.654
                2              -17                7        2965.4216        3607.8672        42775.613       -17552.275        860.23517       -11747.454
                3              -17                7        2836.2336        2067.0005        48897.016       -11868.821        777.43408       -11672.818
                4              -17                7        2825.7698        730.32178        55023.695       -6634.1323        623.43439       -11742.742
                5              -17                7        2934.0315       -402.16504        61155.676       -1848.2104        398.23666       -11957.232
                6              -17                7        3161.0176       -1330.4633        67292.945        2488.9473        101.84044       -12316.285
                7              -17                7         3506.729       -2054.5718          73435.5        6377.3423       -265.75421       -12819.898
                8              -17                7        2750.0874       -4197.6416        79161.984         5054.978       -355.62463       -10562.496
                9              -17                7        2109.9961       -5143.8623        84228.516        2980.9133       -283.12158       -8974.1484
               10              -17                7        2137.5154       -5113.0288        87961.648        3158.4827       -258.20065         -9674.25
               11              -17                7        2144.4551       -5108.1147        91562.563        3421.4951       -248.71721       -10200.489
               12              -17                7        1848.1509       -5551.7256        94821.953        3186.5259       -404.36731       -9103.3369
               13              -17                7        1478.9753       -5946.7046        97938.547        2792.4504       -610.50024       -7651.7256
               14              -17                7          1108.78       -6168.8169         100968.7        2372.5317       -829.87341        -6223.748
               15              -17                7        942.23315       -5595.5137        103688.95        616.38898       -795.92877       -5281.4692
               16              -17                7        732.50592       -4981.1104        106226.12       -1186.1067       -719.04346       -4135.4233
