           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        28630.117         22830.91       -28683.996        -22907.59         109.1239        30.089687
              -17              -18                7        26336.809        25872.785       -28247.326        -23796.34        1010.4189        69.179977
              -16              -18                7        24077.648        28934.066        -27667.73       -24615.633        1959.1423        91.527359
              -15              -18                7        21852.639         32014.75       -26945.203       -25365.473        2955.2944        97.131805
              -14              -18                7        19661.773        35114.836        -26079.75       -26045.855        3998.8755        85.993355
              -13              -18                7        17612.678        38141.793       -25290.918       -26546.445        5090.8315        62.862556
              -12              -18                7        15884.873        40727.449       -24450.807       -27059.523        6207.4629        61.968628
              -11              -18                7        14362.454        42987.328       -23405.516       -27663.465        7322.1846        75.607239
              -10              -18                7        12862.395         45233.27        -22280.51       -28232.117        8436.7695        83.618546
               -9              -18                7        11384.689        47465.262       -21075.779       -28765.475        9551.2168         86.00248
               -8              -18                7         10779.35        49762.113       -20163.465       -28852.691        11006.959       -147.26114
               -7              -18                7        10627.992        51907.336       -18747.031       -28975.289        12599.386       -610.51123
               -6              -18                7        10624.821        53946.895       -17196.336       -29052.016        13981.953        -1087.183
               -5              -18                7        10769.837         55880.77       -15511.385       -29082.869        15154.658        -1577.276
               -4              -18                7        11063.037        57708.965       -13692.175       -29067.855          16117.5       -2080.7905
               -3              -18                7        11504.423        59431.484       -11738.708       -29006.971        16870.482       -2597.7266
               -2              -18                7        12093.996        61048.336       -9650.9824       -28900.217        17413.602       -3128.0842
               -1              -18                7        12883.331        62610.375       -7466.2197        -28473.41        17784.363       -3654.7734
                0              -18                7        14336.944         62189.52        -5902.208       -27329.514        17719.072       -4119.7954
                1              -18                7        14961.022        60832.605       -4775.4189       -26867.811        17046.781       -4465.0313
                2              -18                7        15498.521        59655.195       -3842.1655        -26416.17        16238.891        -4735.251
                3              -18                7        15895.084        58489.453       -2909.5103       -26051.641        15248.916       -4991.3862
                4              -18                7        16150.706        57335.383       -1977.4541       -25774.227        14076.855       -5233.4375
                5              -18                7        16265.392        56192.969       -1045.9948       -25583.926        12722.708       -5461.4053
                6              -18                7        16239.141        55062.234       -115.13457        -25480.74        11186.478       -5675.2866
                7              -18                7        16071.951         53943.16        815.12793       -25464.666        9468.1611       -5875.0854
                8              -18                7        15432.953        52525.871        2063.4385       -25876.078        7692.4541       -6043.6992
                9              -18                7        13525.092         50799.93        3564.6978        -26884.73        6702.6753       -5873.1909
               10              -18                7        11546.129        49460.539        4618.9541       -27450.152        5929.2002       -5544.8418
               11              -18                7         9503.251        48124.156        5696.1465       -28041.713        5162.7114       -5188.1201
               12              -18                7         7382.814        46765.531        6803.3447       -28645.025        4400.2334        -4790.562
               13              -18                7        4763.4175        44666.844          8182.29       -28799.564        3554.2795        -3981.219
               14              -18                7        1863.7097        42719.859        9079.6113       -29569.668        2748.8235       -3334.5933
               15              -18                7       -1139.1067        40809.773        10031.186       -30374.492        2003.3577       -2640.3972
               16              -18                7       -4244.9063        38936.543        11037.338       -31213.678        1317.8806       -1898.5227
               17              -18                7        -7453.688        37100.176        12098.066       -32087.223        692.39331         -1108.97
               18              -18                7       -10765.453        35300.664        13213.374       -32995.121        126.89542       -271.73895
              -18              -17                7        28242.273        23712.418       -26384.613       -26001.436        -840.7666        21.336386
              -17              -17                7        26016.287        26767.537       -26016.172       -26901.932        59.744316        59.325726
              -16              -17                7        23824.453        29842.055       -25504.803       -27732.969        1007.6838        80.572136
              -15              -17                7        21666.762        32935.977       -24850.508       -28494.553         2003.052         85.07563
              -14              -17                7         19682.43        35950.105       -24236.686       -29079.326        3054.2104        70.362816
              -13              -17                7        17806.672        38921.289       -23691.898       -29524.047        4147.5308        47.021564
              -12              -17                7        15892.996        41950.973       -23059.227         -29937.5        5271.1289        20.645149
              -11              -17                7        14294.719        44430.328       -22123.664       -30511.234        6386.9209        16.604097
              -10              -17                7        12805.486        46743.102       -21050.959       -31100.492        7495.7236        13.880976
               -9              -17                7        11338.609        49041.941       -19898.537       -31654.457        8604.3906        5.5305567
               -8              -17                7        10722.026        51656.125       -19393.457       -31572.498        10125.246       -221.17671
               -7              -17                7        10339.985        54269.305       -18778.682       -31358.236        11764.577       -823.18964
               -6              -17                7        10338.566        56438.859       -17460.357       -31197.305        13247.256       -1483.0035
               -5              -17                7        10485.334        58502.734       -16007.773         -30990.5        14520.076       -2156.2393
               -4              -17                7        10780.287         60460.93       -14420.936       -30737.828        15583.031       -2842.8965
               -3              -17                7        11223.426        62313.449       -12699.838       -30439.285        16436.127       -3542.9751
               -2              -17                7        11916.613        64193.922        -10614.94       -29868.605         17299.76       -4401.4795
               -1              -17                7        12889.778        65501.465       -8485.3184       -28634.609        17878.963       -5010.6494
                0              -17                7        14707.707        65408.723       -6457.4229       -26604.215        17978.982       -6107.0605
                1              -17                7        15354.147        63954.297       -5193.0425        -25844.77        17283.861       -6494.2622
                2              -17                7        15883.764        62615.809       -4071.6377       -25132.961        16434.387       -6842.5576
                3              -17                7        16272.439        61288.988       -2950.8313        -24508.27        15402.825         -7176.77
                4              -17                7         16520.18        59973.836        -1830.623       -23970.689        14189.179       -7496.8975
                5              -17                7         16626.98        58670.352       -711.01337       -23520.223        12793.445       -7802.9409
                6              -17                7        16592.844        57378.531        407.99805       -23156.871         11215.63       -8094.9004
