           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        4975.4648       -8276.2061        4721.8511       -8121.4609        -1610.115       -6313.4443
              -17              -18                7        4954.8271       -8326.8379        2925.8284       -17578.576       -1813.0569       -3495.0596
              -16              -18                7         4774.624       -8396.2686        1184.5156       -26482.311       -2047.1014       -973.08496
              -15              -18                7        4434.8555          -8484.5       -502.08667       -34832.664       -2312.2485        1252.4779
              -14              -18                7        3935.5217       -8591.5303       -2133.9797       -42629.629       -2608.4985        3181.6309
              -13              -18                7        3554.0125       -6881.8022       -3521.0361       -49019.102       -2871.5222        5501.2964
              -12              -18                7        3044.2615       -5253.4741       -4628.5664       -53855.453       -3143.9424        7104.4482
              -11              -18                7        2241.3091       -5278.8735       -5662.4155       -58013.805       -3483.5732        7256.0444
              -10              -18                7         1364.261       -5374.6353       -6677.1172       -61873.016       -3848.6453        7005.9814
               -9              -18                7        413.11652       -5540.7583       -7672.6714       -65433.066       -4239.1572        6354.2559
               -8              -18                7       -861.87964       -4766.8887       -7776.0234       -67241.258        -4372.751        4633.8032
               -7              -18                7       -2391.6519       -3949.0684       -7415.7759       -64956.824       -4391.7983        2965.5537
               -6              -18                7       -3766.9014       -2918.2925       -6851.0156       -60886.016       -4245.6499        1759.1224
               -5              -18                7       -4987.6265       -1674.5629       -6081.7427       -55028.836       -3934.3054        1014.5061
               -4              -18                7       -6053.8281       -217.87885       -5107.9561       -47385.285       -3457.7651        731.70984
               -3              -18                7       -6965.5068        1451.7579        -3929.657       -37955.359       -2816.0288        910.72601
               -2              -18                7       -7722.6626        3334.3496       -2546.8447       -26739.057       -2009.0968         1551.562
               -1              -18                7       -8329.6797        4339.0088       -1151.1157       -13684.109       -1147.4003        617.99536
                0              -18                7       -8336.1025        2978.1982        358.93649        1407.0262       -269.10577       -1727.6194
                1              -18                7       -7804.4233       -2008.1797        2080.9141        13472.795        664.50952       -711.68652
