           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        485.49673        342.47116        -14163.01        77056.063        799.47986        690.26074
              -17              -18                7        482.36755        430.72394       -13440.943        77623.039        505.36902       -60.312134
              -16              -18                7        485.52072        512.18115       -12724.034        77893.203        244.68155        -736.5459
              -15              -18                7        494.95584        586.84283       -12012.279        77866.523        17.417572       -1338.4399
              -14              -18                7        510.67328        654.70898       -11305.679        77543.023       -176.42316       -1865.9952
              -13              -18                7        429.52194        129.29962       -10730.994        76683.438       -434.43839       -2388.8301
              -12              -18                7        371.24747       -457.49698       -10352.503        75289.125       -649.20923       -2595.1331
              -11              -18                7        398.42297       -472.73569       -10043.594        73610.852       -719.15454       -2364.8127
              -10              -18                7        418.79846       -410.69672       -9748.5273        71755.516       -740.97839        -2020.762
               -9              -18                7        432.37387       -271.37994       -9467.3037        69723.102       -714.68085       -1562.9801
               -8              -18                7        421.55557       -787.05145       -8917.7344        65956.242       -699.17316        -1105.772
               -7              -18                7        230.95865       -837.19836       -8670.9297        60526.352       -596.75232       -540.94666
               -6              -18                7        94.465469       -1040.1497       -8515.5361        54316.355       -525.26904       -143.65047
               -5              -18                7        12.076202       -1395.9028       -8451.5547        47326.262       -484.72278        86.115814
               -4              -18                7       -16.209213         -1904.46       -8478.9834         39556.07       -475.11377        148.35284
               -3              -18                7        9.6091003       -2565.8193       -8597.8232        31005.785       -496.44196        43.060989
               -2              -18                7        89.531342       -3379.9834       -8808.0742        21675.398        -548.7074        -229.7608
               -1              -18                7        163.74063       -4031.7825       -9060.7373        11534.016       -570.77661        71.736328
                0              -18                7       -212.65547       -3328.0422       -9660.3184        556.70361       -536.69562        576.31799
                1              -18                7       -195.31204       -1169.9893       -10489.525       -9248.1621       -537.30469        31.668457
                2              -18                7       -200.02722         12.42334       -11251.651       -18446.035       -558.95142       -345.59888
                3              -18                7        -223.3385        840.64893       -12066.553        -27278.84       -563.36859       -471.18689
                4              -18                7       -265.24591        1314.6858       -12934.227        -35746.57       -550.55664        -345.0979
                5              -18                7        -325.7493        1434.5347       -13854.675       -43849.242       -520.51489        32.670044
                6              -18                7       -404.84857         1200.198       -14827.896       -51586.844       -473.24377        662.11432
                7              -18                7        -502.5441         611.6734       -15853.895       -58959.383        -408.7431        1543.2379
                8              -18                7       -562.44299        489.66675       -17019.617       -64927.844       -278.32465        2302.6743
