           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        19289.695       -6937.5015        500.15277         168.2907        28400.971       -8387.0996
              -17              -18                7        20166.551       -6776.8486        156.59564        227.29295        29464.494       -9129.6602
              -16              -18                7        21160.711       -6583.3306       -90.444122        107.96576         30503.59       -9700.8252
              -15              -18                7        22272.172       -6356.9473       -240.96631       -189.69012        31518.258       -10100.594
              -14              -18                7        23500.941       -6097.6997       -294.97119       -665.67523          32508.5       -10328.967
              -13              -18                7        25075.348        -5351.064       -227.70352       -1218.1019         33475.68       -9986.9814
              -12              -18                7        26680.367       -3996.1938       -149.34485       -1605.0063        34311.996       -9214.5977
              -11              -18                7        28104.646        -2544.146       -76.351242       -1837.0784        34978.211       -8479.2422
              -10              -18                7         29583.09       -1075.8103        67.535255        -1990.594        35574.625       -7734.9355
               -9              -18                7        31115.697        408.81375        282.31439        -2065.552         36101.23       -6981.6758
               -8              -18                7        32969.715        1978.9248        139.28163       -1344.3359        36096.891       -7142.8428
               -7              -18                7        34989.961        4581.0664       -14.020809       -894.73633        36075.488       -5776.6563
               -6              -18                7        36837.156        6950.4678       -129.05608       -569.61707        35896.203       -4558.2866
               -5              -18                7        38511.305         9087.126       -205.82372        -368.9783        35559.027       -3487.7356
               -4              -18                7        40012.391        10991.042       -244.32378       -292.81952        35063.957       -2565.0024
               -3              -18                7        41340.434        12662.217       -244.55632       -341.14023        34411.008        -1790.087
               -2              -18                7        42495.422        14100.651       -206.52141       -513.94147        33600.164       -1162.9899
               -1              -18                7        43307.574        15497.777        186.71021       -478.07751        32463.232       -604.60864
                0              -18                7        42858.137        15756.284        876.95782       -85.652969        31008.738        674.54712
                1              -18                7        41302.531        14391.044        825.65137       -184.16382         29753.99        1601.5886
                2              -18                7        39805.133        13037.334        829.16455       -198.74573        28547.445        2469.6382
                3              -18                7        38239.609        11725.789        869.64948       -136.88501        27387.254        3396.2268
                4              -18                7        36605.973        10456.412        947.10541        1.4173584         26273.41         4381.354
                5              -18                7        34904.203        9229.2002        1061.5327         216.1629        25205.912        5425.0215
                6              -18                7        33134.313        8044.1553        1212.9302         507.3493         24184.77        6527.2275
                7              -18                7        31296.301        6901.2759        1401.2998        874.97882        23209.975        7687.9746
                8              -18                7        29314.973        5750.0542        1341.3167        837.84814        22336.574        8724.6133
                9              -18                7        27756.955        5288.0205        973.64203          371.918        22166.463        9404.3193
               10              -18                7        26600.414        5109.3174         997.2998        653.91266        22277.492        10195.578
               11              -18                7        25505.346        4928.8535        986.25122        829.01752        22461.148        11052.939
               12              -18                7        24458.205        4746.1841        943.38208         892.0495        22722.004        11989.617
               13              -18                7        23106.881          4644.23        966.93311        655.99951         23202.91        13376.011
               14              -18                7        21886.039        5298.0684        994.22205        403.19458        23520.463        13738.341
               15              -18                7        20810.508        5964.3359        993.37756        139.12335        23922.039        13990.524
               16              -18                7        19880.314        6642.6377        964.38306       -136.25363        24407.789        14133.141
               17              -18                7        19095.459        7332.9722        907.23834       -422.93625        24977.711        14166.188
               18              -18                7        18455.943        8035.3403        821.94348       -720.92462        25631.805        14089.667
              -18              -17                7        18256.898        -7614.019        248.47209       -1020.8619         29073.58       -8554.5869
              -17              -17                7        19147.541       -7531.4736       -166.68098       -1047.3478        30117.721         -9185.04
