           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -140.57394        -723.2356       -15027.395        6130.7559       -1640.3293       -9847.1455
              -17              -18                7       -395.79941       -2806.5801       -15016.914        6593.3281       -1617.5115       -10927.915
              -16              -18                7       -692.02338       -5180.4688       -14968.212        6794.5688       -1603.8232       -11971.221
              -15              -18                7       -1029.2458        -7844.896       -14881.286         6734.478        -1599.265       -12977.064
              -14              -18                7       -1407.4666       -10799.867       -14756.137        6413.0566       -1603.8364       -13945.444
              -13              -18                7       -1737.2744       -14266.009       -14617.631        5346.9985       -1582.7979       -14681.151
              -12              -18                7       -2035.0872       -17619.742       -14386.607        4367.1504       -1553.7111       -14812.001
              -11              -18                7       -2386.7207       -20511.709       -14066.521        3785.1912       -1552.9116       -14536.594
              -10              -18                7       -2762.8923       -23489.246       -13728.336        3070.1699       -1563.5103       -14238.067
               -9              -18                7       -3163.6018       -26552.355        -13372.05        2222.0864       -1585.5071       -13916.421
               -8              -18                7       -3632.3794       -31025.762       -12416.769        3432.9182       -1596.9226       -12886.021
               -7              -18                7       -4228.9688       -35433.859       -11209.508         3992.165       -1613.1559       -12275.841
               -6              -18                7       -4758.0703       -39610.117        -9897.752        4275.6309       -1559.3467       -11417.828
               -5              -18                7       -5219.6821       -43554.531        -8481.502         4283.313       -1435.4949       -10311.983
               -4              -18                7       -5613.8047       -47267.102       -6960.7583        4015.2153       -1241.6003       -8958.3086
               -3              -18                7        -5940.439       -50747.832       -5335.5181        3471.3335       -977.66345       -7356.8008
               -2              -18                7        -6199.584       -53996.723       -3605.7832        2651.6699        -643.6839       -5507.4619
               -1              -18                7       -6408.0991       -56316.852       -1842.8403        1034.9957       -338.51364        -2807.843
                0              -18                7       -6479.8457       -55909.297        1.1564217       -1384.3273       -89.985214         100.8405
                1              -18                7       -6449.7842       -53010.844        1917.0784       -1591.0302         291.4278        2222.1553
                2              -18                7       -6291.1333       -50363.504        3693.8325       -1930.1216        629.95648        4247.3726
                3              -18                7        -6053.438       -47557.969        5399.3662       -2342.9695        908.55518        6125.8301
