           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        9981.2568        6310.8872       -9564.6475       -7350.0967        10.975967        319.10605
              -17              -18                7        10655.783        7680.6182       -10085.035       -5047.9707       -818.44092       -767.94275
              -16              -18                7        11401.295        8748.2822       -10835.041       -1664.9702       -1712.5677       -1962.7739
              -15              -18                7        12217.788        9513.8818       -11814.659        2798.9043       -2671.4028       -3265.3867
              -14              -18                7        13105.266        9977.4141       -13023.893        8343.6572       -3694.9485       -4675.7827
              -13              -18                7        13911.795        11254.588       -14174.984        13963.413       -4725.3955       -6553.6699
              -12              -18                7        14500.666        11947.354        -15128.68        18811.033       -5873.1641       -7821.7158
              -11              -18                7        15004.686        11115.189       -16106.198        23651.264       -7183.8564       -8065.1138
              -10              -18                7        15515.476        10101.594       -17147.787        28843.525        -8550.293       -8106.2266
               -9              -18                7        16033.034        8906.5635       -18253.443        34387.813       -9972.4736       -7945.0557
               -8              -18                7        15776.977        8623.4004       -19163.176        43955.211       -11686.631       -9435.0586
               -7              -18                7        15287.153        4208.6387       -20400.107        52424.898        -14013.26       -9721.1396
               -6              -18                7        14386.661        1144.5579       -21688.305         60707.91       -16064.742       -10108.803
               -5              -18                7        13075.498       -568.84058       -23027.764        68804.234       -17841.076       -10598.042
               -4              -18                7        11353.663       -931.56055       -24418.484        76713.852       -19342.262       -11188.862
               -3              -18                7        9221.1572        56.398682       -25860.471        84436.797       -20568.303       -11881.256
               -2              -18                7        6677.9795        2395.0417       -27353.719        91973.055       -21519.191       -12675.232
               -1              -18                7        3921.5161        3764.1819       -28592.201        98865.359       -22229.217       -14076.332
                0              -18                7        828.89026       -1668.0781       -27226.678        98017.008       -22531.922       -13667.386
                1              -18                7       -2306.2983       -1446.4263        -24585.34        92647.422       -21988.859       -12569.424
                2              -18                7       -5064.7324       -1690.5706       -21915.383        88409.781       -21187.488       -11848.422
                3              -18                7       -7516.0483       -2440.7117        -19144.18        83512.664       -20176.352       -10895.758
                4              -18                7       -9660.2461       -3696.8455       -16271.731        77956.086       -18955.445       -9711.4346
                5              -18                7       -11497.329       -5458.9775       -13298.035        71740.023       -17524.764       -8295.4473
                6              -18                7       -13027.292       -7727.1006       -10223.098        64864.484       -15884.314       -6647.7949
                7              -18                7       -14250.141       -10501.225       -7046.9116        57329.469       -14034.093        -4768.481
                8              -18                7       -15170.196        -12227.58       -4175.5376        48195.813       -12279.566       -1761.0663
                9              -18                7       -15135.405       -11201.104       -2347.3804        39876.219       -11160.519       -1207.6628
               10              -18                7       -14662.636       -11685.249        -425.0022        34370.617       -9915.9385       -3160.0876
               11              -18                7       -14233.195       -12102.631        1386.3262        29315.152       -8722.8242       -4820.5146
               12              -18                7       -13855.089       -12377.006        3096.9214        24672.275       -7579.8892       -6104.5205
               13              -18                7       -13765.134       -10231.951        5054.2476        19166.041       -6445.7681       -4541.2998
               14              -18                7       -13083.135       -9007.5527        6950.6187        13137.283       -5034.2671       -3969.1731
               15              -18                7       -12493.919       -7521.0767        8598.8193        7970.2466       -3740.9707       -3202.1055
               16              -18                7       -11997.875       -5771.9375        9998.7939        3665.5923       -2566.0969       -2239.4614
               17              -18                7       -11595.003       -3760.1384        11150.537        223.31836       -1509.6464       -1081.2412
               18              -18                7       -11285.302       -1485.6788        12054.052        -2356.574       -571.61865        272.55554
              -18              -17                7        10294.604        4295.8027       -10282.648       -8900.4775        817.04205        1817.0573
              -17              -17                7         10940.44        5686.5269       -10769.627       -6619.1411        -13.12337        728.57507
              -16              -17                7         11657.26        6775.1821       -11486.219       -3256.9297       -907.99823       -467.68982
              -15              -17                7        12445.062         7561.772       -12432.425        1186.1563        -1867.582       -1771.7367
              -14              -17                7        13126.283        9096.7012       -13352.166        5708.0664       -2859.8005       -3457.8757
              -13              -17                7        13686.074        11797.479       -14160.068        9941.5781        -3849.373       -5587.5894
              -12              -17                7        14280.402        14845.944       -15060.803        14677.043       -4854.1455       -7932.1543
              -11              -17                7        14759.893        15326.895       -15983.604        19301.953       -6067.3608       -8838.8809
              -10              -17                7         15209.74        14914.494       -16954.848        24133.355       -7382.9414       -9151.9258
               -9              -17                7        15666.358        14320.659       -17990.164        29316.787       -8754.2666       -9262.6875
               -8              -17                7         15142.58         18149.68       -18617.238        40892.492       -9987.4717       -13904.325
               -7              -17                7        14562.926        19388.477       -19407.068        53412.113       -11443.287       -19253.738
               -6              -17                7        13781.787        16257.484        -20591.84        63141.234       -13369.807       -21546.314
               -5              -17                7        12589.975        14477.172       -21827.877        72683.672        -15021.18       -23940.471
               -4              -17                7        10987.492        14047.549       -23115.176        82039.422       -16397.404       -26436.207
               -3              -17                7        8974.3369        14968.597        -24453.74        91208.484        -17498.48       -29033.521
               -2              -17                7        7012.0049         11692.92       -25250.006        96369.805       -18834.098       -31601.518
               -1              -17                7        4809.1875        6422.7866       -25606.236        100198.28       -19764.482       -34016.652
                0              -17                7        2490.6133       -5794.0083       -24746.309        99266.414       -20601.389       -33366.488
                1              -17                7       -518.59863       -6497.5479       -22289.855        94275.719           -20213       -31208.234
                2              -17                7       -3185.1138       -7645.2031       -19717.369         89669.25       -19564.859       -29327.527
                3              -17                7       -5544.5117       -9298.8545       -17043.639        84403.297       -18706.951        -27215.15
                4              -17                7       -7596.7915       -11458.498       -14268.663        78477.875       -17639.271       -24871.111
                5              -17                7       -9341.9541       -14124.141        -11392.44        71892.984       -16361.821        -22295.41
                6              -17                7       -10779.999       -17295.773       -8414.9736        64648.602         -14874.6       -19488.047
                7              -17                7       -11910.929       -20973.406       -5336.2588         56744.75       -13177.607       -16449.016
                8              -17                7       -12840.978       -18121.314       -3732.9375        45195.734       -12361.157       -8077.9219
                9              -17                7        -13343.23       -14803.181        -2194.042        35095.547       -11439.977       -3774.5125
               10              -17                7       -12934.334       -14792.087       -347.40723        29942.305       -10258.472       -5324.6738
               11              -17                7       -12568.768       -14714.232        1388.1771        25239.191       -9128.4336       -6582.8369
               12              -17                7        -12403.44       -12443.602         3298.512        20216.424       -8018.6836       -5524.5649
               13              -17                7       -12293.511       -9800.1953        5207.6055        15291.003       -6951.2485        -4004.146
               14              -17                7       -12197.226       -7334.0337        7049.0776        10635.458       -5933.6787       -2558.6729
               15              -17                7       -11696.084       -5704.4937        8716.9854        5619.9585       -4685.0908       -1717.2778
               16              -17                7       -11236.361       -3909.9233        10133.829        1364.7695       -3519.4136       -754.43506
               17              -17                7       -10869.813       -1852.6936        11302.445       -2028.0366       -2472.1602        403.98425
               18              -17                7       -10596.434        467.19751        12222.832       -4558.4629       -1543.3291        1757.9796
              -18              -16                7         10889.68        1130.4568       -11055.684       -10077.461        1696.3092        3244.1318
              -17              -16                7        11506.825        2542.1704       -11509.249       -7816.9136        865.39551        2154.2156
              -16              -16                7        12194.954        3651.8188       -12192.427       -4475.4917       -30.227814        956.51721
              -15              -16                7        12751.014         5444.855       -12880.641       -1051.4409       -984.07117       -538.35132
              -14              -16                7         13160.91        8348.3994        -13485.11         2082.708       -1959.0077       -2398.9673
              -13              -16                7        13605.344        11599.634       -14182.409        5718.8052       -2949.1433       -4474.4331
              -12              -16                7        14084.312        15198.555       -14972.536        9856.8496       -3954.4775        -6764.748
              -11              -16                7        14593.351        19026.963       -15853.641         14478.52       -4981.4297       -9210.6973
              -10              -16                7        14982.262        19215.754       -16754.545        18949.061       -6246.1548       -9795.6738
               -9              -16                7        15292.068        19596.764        -17686.68        24225.205       -7566.6582       -10550.132
               -8              -16                7        14715.258        24891.838       -18237.537        36193.262       -8643.0156       -17167.879
               -7              -16                7        14023.143        32745.279       -18616.234        52121.523        -9226.332       -28129.504
               -6              -16                7        13280.773        33896.008       -19434.162        65708.258       -10488.387       -35516.625
               -5              -16                7        12208.314        32048.793       -20566.777        76696.813       -12014.796       -39815.699
               -4              -16                7        10947.555        28959.902       -21558.645        85815.906       -13569.602       -44336.508
               -3              -16                7        9531.8252        23249.691       -22284.965        91388.906       -15228.801       -48495.395
               -2              -16                7        7726.4902        17305.951       -22914.664        94691.906       -16682.803       -51954.602
               -1              -16                7        5840.8647        8713.9336       -22709.354        98183.555       -17391.586       -53981.664
                0              -16                7        3902.6838       -3682.5938       -21695.527        97462.039       -18208.494       -54283.055
                1              -16                7        1305.5594       -12236.296        -20095.18        93608.633       -18765.301       -51837.766
                2              -16                7       -1269.0371       -14287.462       -17620.162        88633.313       -18270.389        -48797.34
                3              -16                7       -3536.5168       -16844.625       -15043.904        82998.531       -17565.711        -45525.25
                4              -16                7       -5496.8789       -19907.785       -12366.397        76704.273       -16651.258       -42021.504
                5              -16                7       -7150.1221       -23476.934       -9587.6475        69750.531       -15527.035        -38286.09
                6              -16                7         -8496.25        -27552.08       -6707.6519         62137.32       -14193.045       -34319.012
                7              -16                7       -9615.6494       -27426.703        -4685.668        52131.316       -13250.678       -24666.719
                8              -16                7       -10609.012       -23631.115       -3275.8069        41164.289       -12539.688       -14196.423
                9              -16                7       -11459.558       -18604.699        -1949.644        30415.035         -11727.4       -6699.0483
               10              -16                7        -11273.44       -17361.811       -254.53021        24824.246        -10646.92       -6854.3369
