           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        360.52362       -607.97931         18102.84        5475.2329        29.896149       -1272.3395
              -17              -18                7        137.91293       -891.69519        17631.102        3743.1389         115.4706       -1782.4908
              -16              -18                7       -23.140411       -1259.9125        17099.018        1615.6765        194.69853       -2026.3591
              -15              -18                7       -122.63605       -1712.6307        16506.592       -907.15369        267.58017       -2003.9442
              -14              -18                7       -160.57423       -2249.8503        15853.817       -3825.3542        334.11542       -1715.2461
              -13              -18                7       -395.65704       -3084.2661        15204.236       -6288.2939          405.021       -309.23352
              -12              -18                7        -591.7923       -3764.8564        14567.479       -8292.7314        419.83731        1561.0367
              -11              -18                7       -559.91711       -4048.8162        13881.119       -10452.863        387.98871        2937.4897
              -10              -18                7       -480.67911       -4336.0088        13140.131       -12635.233        354.50046        4283.6626
               -9              -18                7       -354.07858       -4626.4341        12344.509       -14839.842        319.37244        5599.5552
               -8              -18                7       -426.40454       -4208.1055        11028.467       -20900.863        296.04776        3456.9192
               -7              -18                7       -249.57942       -1747.6008        9584.2617       -28505.787        317.72958        3592.6313
               -6              -18                7       -137.83075        9.3555908         8092.375       -34875.305        336.50833        3707.1331
               -5              -18                7       -91.158508        1062.7609        6552.8057       -40009.402        352.38388        3800.4233
               -4              -18                7       -109.56274        1412.6163        4965.5537       -43908.086        365.35645        3872.5027
               -3              -18                7       -193.04326        1058.9244        3330.6191       -46571.371         375.4256        3923.3711
               -2              -18                7       -341.60028        1.6810913        1648.0023       -47999.234        382.59183        3953.0283
               -1              -18                7       -477.10388       -1158.2112       -94.850861       -49580.184          425.526        5402.4224
                0              -18                7       -222.62167        258.67694       -1700.8612       -49762.785        402.39627        5441.1694
                1              -18                7       -49.552307       -542.52393       -3077.3022       -47322.277        329.54175          4000.48
                2              -18                7        41.615875       -1087.9688       -4432.5259       -44328.582        281.87952        2814.8013
                3              -18                7        111.55106       -1136.6433       -5728.3335       -40771.578        248.90973        1715.0527
                4              -18                7        160.25334       -688.54761       -6964.7241       -36651.262        230.63232        701.23242
                5              -18                7        187.72276        256.31909       -8141.7002       -31967.623        227.04697        -226.6582
                6              -18                7        193.95935        1697.9531       -9259.2588        -26720.67        238.15369       -1068.6238
                7              -18                7        178.96297        3636.3606       -10317.405       -20910.398        263.95285       -1824.6615
                8              -18                7        209.24063        5556.5713       -11187.107       -13808.203        225.26413       -2339.2476
                9              -18                7        247.90251        5326.9985       -11607.483       -8477.8643        184.59242       -1353.9707
               10              -18                7        200.34532         4928.519       -12033.111       -5769.7461        260.66403       -267.07376
               11              -18                7        179.09982        4604.4985       -12428.729       -3243.3384        305.04129        610.37134
               12              -18                7        192.52669        4328.0356       -12790.256       -916.29218        313.25128        1202.6235
               13              -18                7        522.17371        3247.0417       -12988.252        805.02228         170.8871       -701.33264
               14              -18                7        466.05652        2856.3337       -13057.705        3978.5005         130.9007       -716.22278
               15              -18                7        454.36404        2404.1702       -13118.224        6905.1201        66.053162       -711.80688
               16              -18                7        487.36194        1890.1346       -13169.871        9583.9619       -23.718868       -689.18213
               17              -18                7        565.04974        1314.2274       -13212.647        12015.023       -138.41531       -648.34821
               18              -18                7        687.42792        676.44861       -13246.554        14198.306       -278.03625       -589.30518
              -18              -17                7        1205.6802       -2888.2205        18263.787        5507.0898        151.49893       -1539.6001
              -17              -17                7        927.36523       -3292.0471        17802.393        3689.8406        255.65698       -1957.6111
              -16              -17                7        710.60785        -3780.375        17280.652         1477.222        353.46872       -2109.3386
              -15              -17                7        555.40796       -4353.2036        16698.566        -1130.765        444.93408       -1994.7837
              -14              -17                7        216.78003       -5194.3145        16108.469        -3346.126        544.89893       -748.28217
              -13              -17                7       -292.54285       -6418.7158        15517.208       -5020.0977        643.93097        1673.4172
              -12              -17                7        -746.8512       -7896.5596        14879.604       -6818.5625        725.60791        4500.7266
              -11              -17                7       -840.85229       -8477.7715        14204.779        -8775.249        719.29041        6418.9668
              -10              -17                7        -806.3678       -8785.6768        13478.586       -10773.698        691.11035         8006.415
               -9              -17                7       -724.52039       -9096.8135        12697.764       -12794.385        661.29059         9563.585
               -8              -17                7       -1071.4205       -10547.068         11236.44       -21134.998        674.65607        6209.4316
               -7              -17                7       -1261.7345       -10213.806        9665.9375       -30350.727        800.52521        3770.1006
               -6              -17                7       -1187.1849       -8033.1904        8116.3965       -36874.594        900.43011        4470.4609
               -5              -17                7       -1177.7114       -6556.1235        6519.1724       -42163.047        997.43182        5149.6104
               -4              -17                7       -1233.3147       -5782.6108        4874.2671       -46216.094        1091.5308        5807.5488
               -3              -17                7       -1353.9944       -5712.6436        3181.6782       -49033.727        1182.7262        6444.2759
               -2              -17                7       -1343.3451       -5286.7012        1565.7715       -52124.133         1334.449        12400.438
               -1              -17                7       -1239.5735       -3199.9287       -119.89256       -54477.609        1452.3019        15897.512
                0              -17                7        -826.6842        3420.2139       -1775.0369       -55786.664        1579.6443        15796.367
                1              -17                7       -601.97888        3030.1924       -3190.0779       -52587.906        1480.5664        14147.004
                2              -17                7       -430.87903        3007.0151       -4572.5322       -49204.004        1408.1338         12688.02
                3              -17                7       -281.01208        3480.6091       -5895.5698       -45256.781        1350.3933        11314.961
                4              -17                7       -152.37796        4450.9717       -7159.1909        -40746.25        1307.3448        10027.827
                5              -17                7       -44.976746        5918.1064       -8363.3965       -35672.398        1278.9889         8826.626
                6              -17                7        41.191574        7882.0078       -9508.1865        -30035.23        1265.3247        7711.3506
                7              -17                7        106.12707        10342.684       -10593.562       -23834.738        1266.3531        6682.0039
                8              -17                7        407.33478        10600.162       -11158.246       -13673.567        890.51294        4656.3667
                9              -17                7        587.02423        10076.244       -11581.148       -5657.3511        632.89679        4285.4077
               10              -17                7        562.70538        9579.2344       -12018.605       -3239.8013           666.06        4994.9766
               11              -17                7        564.69824        9156.6846       -12426.055       -1003.9648        667.52899        5495.0952
               12              -17                7        808.26465        8044.7979       -12708.445        618.02124        516.01758        3815.9761
               13              -17                7        1163.1285        6810.5771       -12935.804        2213.1338        349.20468        1746.7634
               14              -17                7        1579.5417        5642.0659       -13131.473         3917.062        202.19359       -191.61472
               15              -17                7        1655.4939        4972.0254       -13191.996        6808.3237        141.72652       -446.00342
