           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
               14              -17                7      -0.62125725       -1799.5397         15.00633       -3826.3733        1.0781336       -27.658092
               15              -17                7      -0.66612059       -1740.8839         15.11251       -3153.2329       0.97058344       -5.8220901
               16              -17                7      -0.72456467       -1651.6495        15.195759       -2402.8472       0.83000672        20.472061
               17              -17                7       -0.7957598       -1529.5079        15.259744       -1587.9703       0.65844047         48.82309
               18              -17                7      -0.87970603       -1374.4586        15.304461       -708.60211       0.45588475        79.230957
              -18              -16                7       -1.0870008        -2137.406        15.440083         890.8269       0.69751859       -57.298851
              -17              -16                7       -1.2071034       -2235.4475         15.38735        1772.9635        0.7723003       -30.541857
              -16              -16                7       -1.3098094       -2323.1133        15.323321         2587.416       0.82723743       -5.2577972
              -15              -16                7       -1.3875687       -2431.6777        15.226036        3339.5566       0.87114418        29.076813
              -14              -16                7       -1.4398243       -2609.7256        15.109976        4044.6721       0.92354798        56.555687
              -13              -16                7       -1.4732842       -2844.1917        14.999771         4702.728       0.98262292        62.521118
              -12              -16                7       -1.4879488       -3135.0767        14.895422        5313.7251        1.0483696        46.973068
              -11              -16                7       -1.4839324       -3473.2349         14.79549          5872.46        1.1176536        11.757217
              -10              -16                7       -1.4684477       -3533.4253        14.654496        6221.3428        1.0795127        29.197533
               -9              -16                7       -1.4444933       -3597.9824          14.4991        6493.7065        1.0502949        8.4133072
               -8              -16                7       -1.4767935       -4239.5752         14.19067        6362.3755        1.4617001       -314.62888
               -7              -16                7       -1.5668455       -5277.5781        13.900851        6074.1299         2.125555       -352.30307
               -6              -16                7       -1.5877417       -5878.8696        13.775221        5568.9077        2.5106924       -191.80914
               -5              -16                7       -1.5707939       -6155.2378        13.696875        4900.7715        2.6979125       -17.086174
               -4              -16                7       -1.4886419       -6698.7583        13.702868        4390.8223        2.7485187        313.96848
               -3              -16                7       -1.3493524       -7232.6875        13.881475        3750.6082        2.6259465        541.67261
               -2              -16                7       -1.2478192        -7389.123         14.13407        2561.1174        2.4969881        415.15405
               -1              -16                7       -1.1327584       -7430.8765        14.223401        1027.0547        2.4859986         42.85968
                0              -16                7      -0.89406908       -7358.8115        14.409084       -64.151154        2.5430255        156.47018
                1              -16                7      -0.72622621        -7196.002        14.498518       -1247.2471        2.6010096        26.907303
                2              -16                7      -0.67946392       -6823.6504        14.455597        -2292.322        2.6339049       -45.123657
                3              -16                7      -0.63779187       -6527.9648        14.418375       -3255.0349        2.6492515       -66.727341
                4              -16                7      -0.60120988       -6308.9448        14.386849       -4135.3857        2.6470485       -37.903671
                5              -16                7      -0.56971812       -6166.5908        14.361021        -4933.373        2.6272962        41.347229
                6              -16                7      -0.54331648       -6100.9043        14.340892            -5649        2.5899949        171.02545
                7              -16                7      -0.54035646       -5363.8481        14.299106       -6078.2559         2.331265        230.31619
                8              -16                7      -0.56529474       -4293.8057        14.300797       -6183.2246        1.9733365        229.82927
