           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        9463.4131       -76777.594        -1375.157        5734.0693       -1036.2102        485.19751
              -17              -18                7        9457.8105       -77870.734       -2437.9692        5360.4648       -1436.4229        5073.4688
              -16              -18                7        9439.4883       -78816.563       -3587.5034        5022.7012       -1849.8147        9823.6484
              -15              -18                7        9408.4473       -79615.094       -4823.7583        4720.7769       -2276.3853        14735.738
              -14              -18                7        9364.6846       -80266.336       -6146.7349        4454.6929       -2716.1353        19809.738
              -13              -18                7        9263.9463       -80316.766       -7361.9824        4297.0112       -3130.4941        25752.641
              -12              -18                7        9086.0928       -79491.789        -8374.876        4165.1528        -3619.739        32076.379
              -11              -18                7        8879.3359        -78147.07       -9368.7617        4132.5259       -4228.5991        37976.543
              -10              -18                7         8661.666       -76619.156       -10394.301        4251.2822       -4878.8408        43875.328
               -9              -18                7         8433.084       -74908.055       -11451.492        4521.4229       -5570.4634        49772.719
               -8              -18                7         7850.936       -70875.406        -12365.07       -612.88788       -6277.3955        54254.191
               -7              -18                7        7271.0015        -63134.52       -13579.229       -2707.1646       -7125.5527         60759.18
               -6              -18                7        6531.7563       -55279.496         -14734.8       -4060.1768       -7847.6582         66488.43
               -5              -18                7        5633.1987       -47310.328       -15831.781       -4671.9185       -8443.7139        71441.953
               -4              -18                7        4575.3301       -39227.023       -16870.174       -4542.3955       -8913.7158        75619.727
               -3              -18                7        3358.1499        -31029.58        -17849.98       -3671.6035        -9257.668        79021.781
               -2              -18                7        1981.6581       -22718.002       -18771.197       -2059.5457       -9475.5684        81648.086
               -1              -18                7        571.73071       -13941.464       -19651.061       -682.40527       -9549.5586         84075.32
                0              -18                7       -730.93451        551.99359       -19491.391       -1515.0223       -9569.9141        84558.313
                1              -18                7       -2060.8662        10914.997       -18670.422       -2352.2363        -9407.668        82473.977
                2              -18                7        -3311.312        20841.203       -17734.344       -4421.9902       -9118.4023        79848.195
                3              -18                7       -4458.6123        30466.424       -16708.961       -6361.0537       -8737.7471        76417.102
                4              -18                7       -5502.7661        39790.664       -15594.279       -8169.4268       -8265.7012        72180.703
                5              -18                7       -6443.7764        48813.934       -14390.297       -9847.1084       -7702.2637        67138.992
                6              -18                7       -7281.6411        57536.215       -13097.014       -11394.095        -7047.438        61291.957
                7              -18                7       -8016.3608        65957.531       -11714.428       -12810.392       -6301.2217        54639.617
                8              -18                7       -8653.3164        73180.977       -10378.494       -11390.354       -5590.5947        47636.602
                9              -18                7       -9004.8633        75692.508       -9301.2227       -7660.2886        -4992.125        43805.293
               10              -18                7       -9186.9609        77448.578       -8171.7153       -7986.1641       -4259.7939        40579.273
               11              -18                7       -9354.0566        79123.297       -7091.9888       -8277.0801       -3549.9268        37066.965
               12              -18                7       -9504.9297        80691.367       -6056.9902       -8543.3184        -2868.564        33193.668
               13              -18                7       -9598.6299        81348.234       -4895.5928       -9023.7725       -2399.1741        26826.998
               14              -18                7       -9613.1533        80913.039        -3501.551       -8844.0371       -1868.4789        21938.662
               15              -18                7       -9610.3975        80236.664       -2194.4287        -8534.376       -1375.0958        16984.209
               16              -18                7       -9590.3984        79319.672       -974.40076       -8095.0859       -919.07593        11962.771
               17              -18                7       -9553.1543        78162.078        158.53137       -7526.1675       -500.41949        6874.3491
               18              -18                7        -9498.668        76763.867        1204.3683       -6827.6211       -119.12625        1718.9427
              -18              -17                7        8889.2324       -78292.078       -1234.0499        5703.2773       -916.24475        631.74451
              -17              -17                7        8867.0254       -79392.945       -2270.6313        5041.9287       -1314.2655        5256.5781
