           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        725.03247        4178.5205       -10401.445        12269.949        1203.4861        5610.5698
              -17              -18                7        354.93457        4314.8657       -9038.7061         21651.33        987.98792        2910.2681
              -16              -18                7        68.644188        4471.5703       -7778.7471        30478.354        809.14154        502.37659
              -15              -18                7       -133.83846        4648.6353       -6621.5674        38751.008        666.94727       -1613.1039
              -14              -18                7       -252.51349        4846.0586       -5567.1675        46469.301         561.4046       -3436.1746
              -13              -18                7       -569.54675        3241.1558       -4646.0796        52770.867        432.33139       -5636.9438
              -12              -18                7       -706.95001        1700.0459       -3845.1211        57518.133        294.03387       -7124.3037
              -11              -18                7       -528.05371        1798.9823       -3123.4014         61596.16         196.9761       -7179.7158
              -10              -18                7       -318.96515        1973.2244       -2452.6003        65377.313        125.06104        -6841.084
               -9              -18                7       -79.683876         2222.772        -1832.717        68861.586        78.288826       -6108.4111
               -8              -18                7       -3.5191174        1584.7422       -1406.9539        70461.984        85.465454        -4348.895
               -7              -18                7        138.13948        959.68402       -1193.8228        67965.297        128.18039       -2679.7202
               -6              -18                7        231.03886        97.774078       -1036.3232         63670.41         164.7262       -1487.2588
               -5              -18                7        275.17892       -1000.9872       -934.45502        57577.324        195.10283       -771.51166
               -4              -18                7        270.55975       -2336.6003       -888.21802        49686.043        219.31033       -532.47858
               -3              -18                7        217.18135        -3909.064       -897.61237        39996.566        237.34868       -770.15833
               -2              -18                7        115.04372       -5718.3809       -962.63782        28508.898        249.21793       -1484.5513
               -1              -18                7        26.647114       -6659.7822        -1067.439        15178.347        267.17761       -622.58887
                0              -18                7        4.1695499       -5209.8628       -1055.4988        -165.9458        268.55988        1648.4359
                1              -18                7       -107.56354       -220.22168       -1036.3344       -12445.538        257.99036        533.97607
                2              -18                7       -162.24654        2671.4707       -1087.9297       -23360.197        243.78418       -28.896973
                3              -18                7       -178.64542        4773.0679       -1183.8383       -33455.129        216.95276       -65.560059
                4              -18                7       -156.76025        6084.5703       -1324.0597       -42730.324        177.49614        423.98853
                5              -18                7       -96.590927         6605.979       -1508.5945       -51185.809        125.41415        1439.7476
                6              -18                7        1.8624363        6337.2944        -1737.442       -58821.551        60.706806        2981.7139
                7              -18                7        138.60001        5278.5137        -2010.603       -65637.578       -16.625832         5049.895
                8              -18                7        214.86224        4885.4692       -2340.0767       -69040.023        -88.07634        6791.1001
                9              -18                7        281.98621        5553.8818       -2929.3958       -64074.027       -56.973244         6963.938
               10              -18                7        509.29083        4729.2646       -3676.3906       -59864.684        7.1512604        7889.0991
               11              -18                7        705.40527         4051.551       -4479.2026       -55550.457        98.314484        8561.4756
               12              -18                7        853.87537        3596.4375       -5341.4873        -51097.75        216.38716        8902.7793
               13              -18                7        391.56546         5578.958       -6372.3799       -45383.891        350.98239        6588.8018
               14              -18                7        323.72168        4608.2588       -7504.8779       -36931.961        436.57349        5256.8281
               15              -18                7        179.55389        3896.9551       -8727.6133       -28296.168        549.68524        3512.5496
               16              -18                7       -41.235474        3446.8569       -10040.564       -19478.049        690.35992        1355.2539
               17              -18                7       -338.64606        3257.9639       -11443.731       -10477.606        858.59747       -1215.0566
               18              -18                7       -712.67804        3330.2783       -12937.116       -1294.8403        1054.3979       -4198.3838
              -18              -17                7        2988.8855        13369.546        -10057.93        12254.586        1854.3029        2271.8354
              -17              -17                7        2516.5974        13678.919        -8683.501        21763.545        1629.8628        -411.2627
              -16              -17                7        2128.1165         14008.65       -7411.8506        30718.137        1442.0745         -2801.95
              -15              -17                7        1823.4434        14358.742         -6242.98        39118.367        1290.9381        -4900.228
              -14              -17                7        1311.6031        13111.194        -5266.542        45884.281        1111.4041       -7412.6846
              -13              -17                7        641.19177        10032.984       -4426.6904         51382.82        897.08008       -10713.163
              -12              -17                7        90.897217        6514.3164        -3624.606        56707.492        704.79968       -14280.777
              -11              -17                7        88.540894        5484.3203       -2890.5286        60973.199        571.13477       -15480.955
              -10              -17                7        238.30746        5246.6011       -2213.9563        64721.949        471.91238       -15662.765
               -9              -17                7        418.26651        5084.1851       -1588.3021        68173.828        397.83279       -15450.533
               -8              -17                7        315.00516        3212.9292       -1200.3428        72679.773        417.33713       -15150.789
               -7              -17                7        258.53757       -669.84265       -1015.3934        73450.156        505.72675       -14537.918
               -6              -17                7        296.94089       -3693.1697       -915.19214        68654.859        570.47601       -13290.178
               -5              -17                7        286.58505       -6953.3496       -870.62213        62061.359        629.05609       -12519.148
               -4              -17                7        227.46994       -10450.383       -881.68335        53669.668         681.4671        -12224.84
               -3              -17                7        119.59556       -14184.266       -948.37604         43479.77        727.70886       -12407.238
               -2              -17                7        117.50467       -16377.669        -965.9856        30463.227        767.19812       -8730.9922
               -1              -17                7        133.08365       -17475.916       -989.82825        15550.565         811.2074       -2514.4207
                0              -17                7        187.33835        -18836.09       -964.73065       -1740.9725         786.6272        6432.4766
                1              -17                7        62.755981       -13252.391       -941.83997       -14340.834        755.99048        6659.6035
                2              -17                7       -14.072906       -9065.1953        -980.9762       -25896.639        720.43872        7328.1025
                3              -17                7       -52.617706       -5668.0977       -1064.4255       -36632.711        672.26147        8522.8145
                4              -17                7       -52.878448       -3061.0879        -1192.188       -46549.059        611.45911        10243.734
                5              -17                7       -14.855034       -1244.1768       -1364.2633       -55645.672        538.03137        12490.867
                6              -17                7        61.452431       -217.35986       -1580.6519       -63922.563        451.97839        15264.207
                7              -17                7        176.04407        19.363556       -1841.3535       -71379.727        353.30008         18563.76
                8              -17                7       -77.738464        5976.6377       -2199.2827       -67727.438        284.44302        17903.498
                9              -17                7        -258.7485        8976.0488       -2670.3884       -61842.836        307.27704        16214.634
               10              -17                7       -83.434845        8475.2051       -3415.2129       -57774.262        394.12534        16738.881
               11              -17                7        60.688477        8121.2661       -4215.8545       -53600.805        508.01245        17010.348
               12              -17                7        -256.2525        9841.1484       -5146.7705       -48382.293        661.40735        14771.322
               13              -17                7       -788.99756        11887.563       -6141.4302       -42714.676        833.87219        11970.346
               14              -17                7       -1439.8401        13751.234       -7180.2646       -36818.195        1021.1068          9193.25
               15              -17                7       -1733.0356        13187.323       -8399.6436       -28355.615        1152.8798        7368.2124
               16              -17                7       -2050.7642        12606.125       -9722.4229        -19442.01        1303.5588        5258.2622
               17              -17                7       -2445.1147        12286.131       -11135.418       -10346.086         1481.801        2735.2957
               18              -17                7       -2916.0872        12227.344       -12638.628       -1067.8347        1687.6058       -200.68625
              -18              -16                7        5213.8472        22043.607       -9430.7188        12394.553        2539.4824       -568.02075
              -17              -16                7        4639.3687        22526.008       -8044.5981        22031.086        2306.1001       -3233.9172
              -16              -16                7        4148.6968        23028.766       -6761.2578        31113.256        2109.3696       -5607.3999
              -15              -16                7        3442.1035        22137.443       -5729.1348         38344.75        1879.4037       -8431.3203
              -14              -16                7        2567.1494        19596.902       -4888.9961        44100.781        1609.7869       -12080.564
              -13              -16                7        1812.3118        16615.902       -4086.6252        49682.938        1362.2136       -15996.938
              -12              -16                7         1177.592        13194.446         -3322.02        55091.207        1136.6844       -20180.445
              -11              -16                7        679.37524        9436.9922       -2595.1799        60286.105        934.84363        -24517.76
              -10              -16                7        769.81964        8787.3096       -1912.8368        64002.469        808.31372       -25220.012
               -9              -16                7         863.3858        8223.1807       -1298.2963        67749.234        713.20331       -25601.193
               -8              -16                7        672.32349        5696.8433       -981.76611        74474.484        750.00867       -26916.285
               -7              -16                7        412.30713       -659.04999       -870.73419        81131.523        896.69354       -28980.885
               -6              -16                7        295.40671       -7093.8833       -856.51953        79558.625        1030.7114       -29003.605
               -5              -16                7        230.55487       -12515.481       -869.24786        72464.711        1117.4951       -28177.299
               -4              -16                7        185.43228         -18731.9       -891.86072        61666.992        1194.3298       -26391.963
               -3              -16                7        199.57861        -23919.84       -862.19049        47459.051        1264.9639       -21735.166
               -2              -16                7        210.99245           -26822       -809.11371        32054.637        1334.8976       -15126.763
               -1              -16                7        235.00151       -29843.688       -827.94482        16132.961        1364.5964       -5750.9487
                0              -16                7        274.62277       -32575.156       -807.61658       -1610.8486        1342.0131         7581.063
                1              -16                7         256.8392       -27309.867        -770.3064       -16119.437        1293.2567        14873.844
                2              -16                7        157.86446       -21827.168        -796.9834       -28316.385        1236.3593        16773.719
                3              -16                7        97.173782       -17134.568       -867.97363       -39693.605        1166.8364        19199.803
                4              -16                7        74.767189       -13232.058       -983.27692       -50251.094        1084.6885        22152.102
                5              -16                7        90.644684       -10119.643       -1142.8931       -59988.852        989.91479        25630.605
                6              -16                7        144.80629       -7797.3242       -1346.8224       -68906.891        882.51624         29635.32
                7              -16                7       -22.255081       -856.78271       -1636.4652       -70711.094        737.44971        31154.871
                8              -16                7       -353.51511        6923.3364       -1987.5771       -66705.594        646.59253        29576.668
                9              -16                7       -708.17023        12021.241       -2374.2617       -60287.484        643.11761        26245.621
               10              -16                7       -655.65167         12378.49       -3073.1899       -55811.047        745.45081        25728.934
               11              -16                7        -837.4845        13745.364       -3911.3098       -51114.492        905.90454        23794.266
               12              -16                7       -1322.5662        16038.412        -4825.563       -45721.977        1101.4697        20482.402
               13              -16                7       -1925.7458        18148.723       -5783.9893        -40100.59        1311.8044        17194.426
               14              -16                7       -2647.0242        20076.287       -6786.5913       -34250.348        1536.9087        13930.327
               15              -16                7       -3486.4019        21821.117       -7833.3672       -28171.238        1776.7827        10690.113
               16              -16                7       -4008.4209         21608.77        -9120.418       -19716.893        1957.6702        8356.7109
               17              -16                7       -4499.7114        21157.676        -10543.24       -10525.481         2145.917        5881.0898
               18              -16                7       -5067.6235        20967.785       -12056.279       -1151.7471        2361.7261        2992.4526
              -18              -15                7        7399.9155        30200.701       -8519.8115         12689.85        3259.0237       -2908.9993
              -17              -15                7        6723.2466        30856.129            -7122        22453.955        3016.6997       -5557.6899
              -16              -15                7        5821.9546        30319.898       -6033.8574        30152.279        2736.3301       -8692.8584
              -15              -15                7         4742.458        28317.027       -5193.4321        36165.805        2411.4202       -12690.867
              -14              -15                7        3783.0781        25873.699       -4390.7739        42005.438        2108.5547       -16956.006
              -13              -15                7        2943.8152        22989.912       -3625.8821        47671.195        1827.7327       -21488.275
              -12              -15                7        2224.6694         19665.67       -2898.7573        53163.078        1568.9545       -26287.682
              -11              -15                7        1625.6412        15900.969       -2209.3989        58481.086        1332.2203       -31354.221
              -10              -15                7        1275.5713        12595.349       -1549.2419        63218.863        1134.2651       -35512.828
               -9              -15                7        1265.1007         11647.77       -970.46851        67989.586        1030.8939       -36782.688
               -8              -15                7        1002.4355        8462.9248       -718.44861        76858.672        1083.2695        -39726.75
               -7              -15                7        670.81604        1448.5231       -671.92682        85659.531        1245.5244       -43420.316
               -6              -15                7        270.24167       -9395.4453       -830.90411        94392.172        1517.6583       -47863.363
               -5              -15                7        252.36356       -20848.283        -809.6507        81963.828        1647.4523       -45194.566
               -4              -15                7        269.76334       -29091.773       -739.37805        66691.125        1749.5298       -39871.074
               -3              -15                7        284.43066       -35049.504       -645.69904        50221.953         1850.908       -32595.994
               -2              -15                7        296.36554       -38721.449       -528.61377        32556.311        1951.5856       -23369.313
               -1              -15                7         343.1178       -42755.117       -592.65173        17161.949        1947.1646       -9738.6162
                0              -15                7        379.63434       -47018.922       -576.90186       -1168.5767        1950.0908        7592.8857
                1              -15                7        454.24225       -41322.383       -525.95752       -17668.754        1838.1567        23864.178
                2              -15                7        353.56558       -35614.453       -535.95142       -30619.426        1791.5458        28307.945
                3              -15                7          270.729       -29626.348       -594.48254       -42637.789        1700.6772        31965.402
                4              -15                7        226.17653       -24428.336       -697.32654       -53836.422        1597.1836        36149.074
                5              -15                7        219.90817        -20020.42       -844.48364       -64215.328        1481.0645        40858.953
                6              -15                7        124.08659       -13037.965       -1060.6128       -70826.047        1310.8572        44528.539
                7              -15                7       -232.49231       -1315.0962            -1365       -69606.555        1110.9231        44045.977
                8              -15                7       -612.46655        7725.5586       -1704.9598       -65974.484        998.37128        41810.578
                9              -15                7       -1015.8362        14084.006       -2080.4919        -59929.82        973.20184        37822.344
               10              -15                7       -1352.1306        17291.605       -2665.9978       -53580.504         1084.474        33657.637
               11              -15                7        -1789.549        19831.289        -3499.843       -48463.086        1303.1394        29834.887
               12              -15                7       -2345.0659        22188.234       -4377.8628       -43116.801        1536.5745        26036.023
               13              -15                7       -3018.6802        24362.434       -5300.0566       -37541.648        1784.7787        22261.041
               14              -15                7       -3810.3938        26353.896       -6266.4253       -31737.643        2047.7529        18509.941
               15              -15                7       -4720.2065        28162.617       -7276.9673       -25704.779        2325.4968        14782.729
               16              -15                7       -5748.1157        29788.594       -8331.6846       -19443.039        2618.0098        11079.394
               17              -15                7       -6502.4346        29872.602       -9667.2031       -11015.797        2850.9453        8222.3262
               18              -15                7       -7167.2871        29551.609       -11190.069       -1546.5769        3076.7593        5381.0337
              -18              -14                7        9547.0918        37840.828       -7325.2075        13140.475        4012.9277       -4751.0986
              -17              -14                7        8451.1582         37658.57        -6180.709        21306.879        3682.1836       -8197.3027
              -16              -14                7        7167.1182        36193.367       -5339.9971        27577.883         3301.981        -12544.07
              -15              -14                7        6003.1948        34287.707       -4537.0518        33675.012        2943.8223       -17157.975
              -14              -14                7        4959.3901         31941.59       -3771.8748        39598.258        2607.7078       -22039.008
              -13              -14                7        4035.7007        29155.014       -3044.4624        45347.625        2293.6367       -27187.178
              -12              -14                7        3232.1301        25927.986       -2354.8174        50923.113        2001.6101       -32602.477
              -11              -14                7        2548.6758        22260.492       -1702.9388        56324.727         1731.627        -38284.91
              -10              -14                7        1985.3391        18152.551        -1088.827        61552.449        1483.6876       -44234.477
               -9              -14                7        1639.6089        15354.521       -597.90112        68819.422        1349.1736       -49009.141
               -8              -14                7        1305.3406        11511.166       -410.39114        79832.313        1417.1191       -53582.164
               -7              -14                7        902.11798        3838.2534       -428.37943        90776.977        1594.9442       -58904.695
               -6              -14                7        536.37274       -12496.916       -550.95813        93678.117        1880.8135       -63060.625
               -5              -14                7         328.0589       -31893.486       -597.54828        88159.453        2220.8967       -63138.746
               -4              -14                7        345.97968       -40906.766       -463.26724        70625.508        2353.7183       -55196.957
               -3              -14                7        361.16803       -47634.277       -305.57965        51895.109        2485.8401       -45303.594
               -2              -14                7        366.48492       -50466.074       -195.70135         34092.68        2501.8342       -32770.035
               -1              -14                7        459.06122       -56155.695       -266.55878        18473.631        2569.5911       -14411.296
                0              -14                7         498.9057       -61985.438       -256.51605        -576.2168        2614.6348        6893.4839
                1              -14                7        570.39075       -53789.117       -199.41171        -17813.24        2356.3567         28211.52
                2              -14                7        573.03052       -50427.051       -197.88011       -32805.773        2385.9988        41930.793
                3              -14                7        468.04813       -43143.445       -243.95184       -45465.281        2273.7847        46819.637
                4              -14                7        401.34967       -36649.926       -334.33691       -57305.063        2148.9451        52234.664
                5              -14                7        361.28723        -30566.93       -471.72623       -68072.289        2004.6664        58024.516
                6              -14                7       -20.611221       -14901.299       -729.38843        -69638.82         1695.655        58637.605
                7              -14                7       -425.90463       -1917.8906       -1022.6232       -68792.766        1474.0261        57497.848
                8              -14                7       -854.59351        8383.3096       -1351.4305       -65534.125        1339.7798        54605.254
                9              -14                7       -1343.4467        18167.492       -1650.6895        -62597.91        1264.9075        49992.734
               10              -14                7       -1925.3591        23886.363       -2112.7537       -53891.746        1315.9642        42114.137
               11              -14                7          -2697.8        25869.771       -2961.8848       -45866.813        1695.4167        35718.043
               12              -14                7       -3323.7512        28290.607       -3803.6711       -40566.766        1966.7214        31432.182
               13              -14                7       -4067.8018        30528.707       -4689.6309       -35037.863        2252.7957        27170.203
               14              -14                7       -4929.9502        32584.059       -5619.7671       -29280.084        2553.6396        22932.098
               15              -14                7       -5910.1982        34456.684       -6594.0757       -23293.455        2869.2534        18717.885
               16              -14                7       -7008.5425        36146.543       -7612.5605       -17077.949        3199.6362        14527.545
               17              -14                7       -8224.9854         37653.68       -8675.2188       -10633.588        3544.7888        10361.093
               18              -14                7       -9215.0771        37978.813       -10039.997        -2252.325        3832.7046        6965.0562
              -18              -13                7        11329.708        44153.441       -6169.6909        11808.538        4716.9629       -6944.6436
              -17              -13                7        9841.1279        43225.914       -5328.6919        18337.029        4281.4683       -11640.177
              -16              -13                7        8472.6641        41857.926       -4525.4604        24691.641        3868.0171       -16602.844
              -15              -13                7        7224.3149         40049.48       -3759.9958        30872.375        3476.6096       -21832.641
              -14              -13                7         6096.084        37800.566       -3032.2974         36879.23        3107.2463        -27329.57
              -13              -13                7        5087.9702        35111.207       -2342.3652        42712.207        2759.9263       -33093.641
              -12              -13                7        4199.9727        31981.389       -1690.2006        48371.301        2434.6506       -39124.832
              -11              -13                7        3432.0928        28411.109       -1075.8019        53856.523        2131.4185        -45423.16
              -10              -13                7        2651.0813        25222.078       -501.87866        60935.215        1784.3699       -53242.926
               -9              -13                7        1986.9106        19343.438       -180.59259        70238.711        1668.0427       -62280.555
               -8              -13                7        1581.0393        14841.573       -57.592651        83395.406        1751.5583       -68482.547
               -7              -13                7        1129.6138        3954.9414       -114.96381        92747.844        1949.5685       -74726.688
               -6              -13                7        776.39832       -16043.137       -155.93353        90370.977        2258.1104           -77645
               -5              -13                7        517.37158       -37237.324       -160.38425        85568.266        2657.7664       -77922.594
               -4              -13                7        414.08127       -54176.875       -63.528423        73470.172         3006.895       -72369.625
               -3              -13                7        429.79065       -61674.172        158.16794        52478.531        3169.7612       -59857.977
               -2              -13                7        429.44708       -61735.496          184.797        36359.742        3010.3281       -42970.215
               -1              -13                7        582.35742       -69988.828        149.38159        20069.621        3229.4028       -19757.363
                0              -13                7        632.36371       -77491.961        152.74733        171.27734        3335.8467        5490.2295
                1              -13                7        676.19824       -69908.984        251.40765       -16650.816        3026.4082        31190.379
                2              -13                7        759.06976       -63137.852        199.77621       -34241.191        2924.9963        53231.434
                3              -13                7        689.13074       -57685.828        183.61766        -48176.07        2886.1575        63762.453
                4              -13                7        600.28662       -49896.824        105.69202           -60657        2739.9724        70408.875
                5              -13                7        282.12845        -33835.27       -80.742844       -66802.391        2400.7878        73351.523
                6              -13                7       -148.48419       -16909.111       -327.25241       -68742.352        2070.0825        73307.422
                7              -13                7       -602.49231       -2665.1558       -609.33472       -68269.734         1826.759        71510.477
                8              -13                7       -1083.2798        11763.933       -868.92664       -69535.359         1641.059        68757.813
                9              -13                7       -1687.6012         25964.93       -1027.6047        -71689.57        1505.2072        62665.789
               10              -13                7       -2189.0737        32537.688       -1393.5483       -57389.988        1376.6775        54338.609
               11              -13                7       -3249.4258        33095.941       -2266.7754       -45909.371        1937.4044        43804.125
               12              -13                7       -4258.6226        34345.539       -3102.9878       -38071.871        2391.9106        36670.875
               13              -13                7       -5073.1084        36647.531       -3952.7148       -32589.197        2715.8547        31921.893
               14              -13                7       -6005.6919        38766.777       -4846.6172       -26877.666        3054.5684        27196.789
               15              -13                7       -7056.3726        40703.277       -5784.6938       -20937.262        3408.0513        22495.564
               16              -13                7       -8225.1533        42457.043       -6766.9448       -14768.001        3776.3044         17818.23
               17              -13                7       -9512.0313        44028.074       -7793.3691       -8369.8789        4159.3267        13164.777
               18              -13                7       -10917.009        45416.355       -8863.9697       -1742.8865        4557.1191        8535.2041
              -18              -12                7        12601.869        48632.926       -4911.5688        10752.609        5367.1982       -7401.5483
              -17              -12                7        11172.822        48480.434       -4325.6123        15330.823        4883.5205       -14951.498
              -16              -12                7        9738.5898        47313.566       -3590.2471        21493.557         4434.438       -20869.174
              -15              -12                7        8405.8164        45602.332       -2862.2622        27757.898        4009.7817       -26714.867
              -14              -12                7        7193.1597        43450.637       -2172.0435        33848.359        3607.1697       -32827.695
              -13              -12                7        6100.6191        40858.484        -1519.592        39764.938        3226.6008       -39207.652
              -12              -12                7        5128.1963        37825.875       -904.90698        45507.641        2868.0762       -45854.738
              -11              -12                7        4120.7837        35461.195       -339.61713        52533.902        2462.8552       -54069.895
              -10              -12                7        2964.0527        34967.719        172.45482        63929.762        1917.4874       -66649.984
               -9              -12                7        2310.9717        27989.871        348.03351        75447.594        1979.4171       -77065.703
               -8              -12                7        1829.5311        18454.141        339.94568        87547.984        2086.5864       -84427.883
               -7              -12                7         1360.988        370.40527        326.63074        87979.188          2321.02       -89455.844
               -6              -12                7        986.95966       -19892.016        352.05035        84674.758        2649.8152       -91651.734
               -5              -12                7        707.12012       -41350.551        413.98929        78944.484        3069.7249       -91206.922
               -4              -12                7        521.46863        -64005.23        512.44611        70788.391         3580.749       -88121.406
               -3              -12                7        490.44598       -76653.453        728.36664        52412.836        3876.9646       -75925.227
               -2              -12                7        530.29181       -74934.117        658.34973        38476.176        3630.7451       -53284.016
               -1              -12                7        713.67462       -84325.906        657.53552        21949.617        3929.9812       -25792.564
                0              -12                7        780.10431       -93562.383        650.80859         1076.667        4114.5288        3385.0564
                1              -12                7        797.23169       -86572.414        794.24854        -15359.73        3755.6567        33434.383
                2              -12                7        898.97308       -72834.789        650.35089       -34841.637        3386.8723        60941.668
                3              -12                7        933.97754       -73253.555        688.22693       -50770.172        3537.7974        82793.906
                4              -12                7        675.72644       -58117.016        580.93732       -61097.246         3226.322         88187.75
                5              -12                7         219.7948       -37248.102        381.15268       -65823.227        2786.5396        89239.297
                6              -12                7       -259.53259       -19061.391        145.79541       -68136.617        2434.1396        88537.984
                7              -12                7       -719.05634        104.14038       -80.550392        -73891.93        2138.8149        87891.953
                8              -12                7       -1267.5417        18873.203        -229.5713       -80822.383        1900.4807        84399.938
                9              -12                7       -1937.4381        32375.678       -358.74887       -78174.141        1758.2367        76885.648
               10              -12                7       -2520.4456        40719.852       -661.69727       -61591.004        1566.3274         67803.68
               11              -12                7       -3481.2063        42929.398       -1433.7133       -48364.652        2002.8618        55675.887
               12              -12                7       -4784.7729        42277.324       -2269.1841       -37771.145        2642.5947        44403.305
               13              -12                7       -6034.5996        42718.914       -3089.3069       -30195.676        3173.9561        36516.125
               14              -12                7       -7037.6196        44902.063       -3946.9751       -24530.379        3550.5398         31304.02
