           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -8590.9307        4545.5552        8698.2158       -4462.5854        32.801548        -156.7877
              -17              -18                7       -8492.1357         3670.425        8319.1426       -3571.6628       -91.368591       -61.849018
              -16              -18                7        -8371.334        2650.8384        7981.2217       -2679.9097       -145.67955        6.6308708
              -15              -18                7       -8228.5205        1486.7949        7684.4541       -1787.3253       -130.13129        48.651993
              -14              -18                7       -8063.6958        178.29416        7428.8374       -893.90881       -44.723766        64.214264
              -13              -18                7       -8062.9316       -1510.4255        7376.7432        30.833252       -31.676025        370.86481
              -12              -18                7       -8315.3301       -3249.1035        7402.1323        825.07703       -262.62497        1152.9341
              -11              -18                7       -8678.5215        -4688.313        7350.7363        1498.3171       -567.72894        2070.3237
              -10              -18                7       -9058.4287       -6112.6826        7270.4897        2191.8293       -849.53259        3039.0293
               -9              -18                7       -9455.0518       -7522.2134        7161.3911        2905.6135       -1108.0361        4059.0505
               -8              -18                7       -9648.8643       -8331.7627        6273.6084          1923.37       -1850.8662        4337.6304
               -7              -18                7       -9884.0137       -9193.6982        4320.5259        1769.3259       -2094.5742         4593.252
               -6              -18                7       -10202.623       -9893.1631        2787.5059        1702.6377       -2323.2756        4886.3184
               -5              -18                7       -10604.691       -10430.152        1674.5474        1723.3066       -2536.9712         5216.832
               -4              -18                7       -11090.217       -10804.668        981.65002        1831.3315       -2735.6604         5584.792
               -3              -18                7       -11659.205        -11016.71        708.81366        2026.7135       -2919.3433        5990.1973
               -2              -18                7        -12311.65        -11066.28        856.03906        2309.4521       -3088.0205        6433.0498
               -1              -18                7       -13031.198       -11135.078        1050.2968         2123.772       -3119.4316        7550.9219
                0              -18                7       -13665.063       -9969.0527         841.1554        1553.3434       -3160.5378        7482.0088
                1              -18                7       -13725.647       -8854.0039        1174.6212        1128.9458       -3185.2439        6772.3032
                2              -18                7       -13705.785       -7761.4395        1765.0315        770.28223        -3174.145        6095.6382
                3              -18                7       -13529.193       -6723.3999        2351.6436        607.29492       -3071.9014        5315.7041
                4              -18                7       -13195.873       -5739.8843        2934.4565        639.98096       -2878.5137        4432.5029
                5              -18                7       -12705.824       -4810.8916        3513.4717        868.34399       -2593.9814        3446.0298
                6              -18                7       -12059.047       -3936.4224        4088.6875        1292.3828       -2218.3049        2356.2866
                7              -18                7       -11255.537       -3116.4773        4660.1055        1912.0974       -1751.4834        1163.2733
                8              -18                7       -10252.953       -2411.4121        4928.1084        3689.8127       -1171.1455          272.948
                9              -18                7       -9157.8008       -2902.1401        4454.5156        5575.1748       -830.19836        583.76318
               10              -18                7       -8129.4033       -3669.2402        4115.6294        5628.7983       -673.88251        648.41821
               11              -18                7       -7091.0771       -4311.8257        3746.7222        5737.4902       -527.97864        614.06165
               12              -18                7       -6042.0835        -4834.939        3346.1177        5881.8071       -393.19733        444.25082
               13              -18                7       -4973.3467       -5480.2246        2869.9822        5528.5693       -296.16702       -925.10052
               14              -18                7       -4007.1729       -6371.6621        2365.3223        6288.6499       -299.25034       -640.69629
               15              -18                7       -3048.0366        -7222.335         1852.918        7079.2607       -271.98138       -290.19629
               16              -18                7       -2095.8843       -8032.0908          1332.78        7899.8037       -214.29601        125.43866
               17              -18                7       -1150.7161       -8800.9307        804.90869        8750.2764       -126.19415        606.20813
               18              -18                7       -212.53149       -9528.8535        269.30392        9630.6797       -7.6758881        1152.1125
              -18              -17                7       -8265.9277        3802.5669        8605.8125        -3341.075        127.55679       -381.12936
              -17              -17                7       -8198.9199        2955.8091        8257.7646       -2482.4033        3.6316967       -290.51358
              -16              -17                7       -8109.9009        1964.5939        7950.8682       -1622.9001       -50.434242       -226.35657
              -15              -17                7       -7998.8716          828.922        7685.1255       -762.56543       -34.640995       -188.65829
              -14              -17                7       -8047.8892       -639.97571        7632.6465        184.20087       -40.528137        40.967041
              -13              -17                7        -8207.207       -2559.5874        7726.2295        1226.3323       -139.13803        578.23346
              -12              -17                7       -8296.3291       -4796.3369        7788.8467        2289.2051        -270.1524        1262.2013
              -11              -17                7       -8546.5029       -6553.2769        7741.8027        3073.5784       -560.85785        2171.0056
