           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -23309.859        8522.8994        23724.697       -8736.6455        15.929363        406.34433
              -17              -18                7       -23742.723        10605.154        23919.047       -6587.1787        488.96695        1134.0581
              -16              -18                7       -24169.951        12782.604        24153.131       -3817.8413        992.57251        1767.9801
              -15              -18                7       -24591.545        15055.246        24426.947       -428.63684        1526.7462        2308.1101
              -14              -18                7         -25007.5        17423.084        24740.494        3580.4402         2091.488        2754.4487
              -13              -18                7       -25548.844         20674.75        25053.461        7297.4053        2737.8823        2949.7527
              -12              -18                7       -26120.074         23609.35        25248.563        10352.922        3418.0015        3434.6401
              -11              -18                7       -26565.656        25605.258        25384.895        13548.869        4089.0916        4385.7017
              -10              -18                7        -26993.75        27621.785        25537.199        17044.842        4788.8477        5381.5952
               -9              -18                7       -27404.346        29658.936        25705.473        20840.834        5517.2695        6422.3193
               -8              -18                7       -27242.025        33417.277        24422.889        26119.002        5583.3184        6445.8564
               -7              -18                7       -26817.137        35655.895        22925.326        31496.611         5903.897        6246.9609
               -6              -18                7       -26438.764        38250.961        21717.145        36511.773        6145.1006        5699.5605
               -5              -18                7       -26106.896        41202.473        20798.348        41164.477        6306.9302        4803.6572
               -4              -18                7       -25821.537        44510.426         20168.93        45454.723        6389.3833        3559.2485
               -3              -18                7       -25582.693        48174.836        19828.895        49382.523        6392.4634        1966.3374
               -2              -18                7       -25390.354        52195.688        19778.244        52947.859        6316.1685        24.921021
               -1              -18                7       -25239.801        55477.531        19656.125        57135.203        6542.4946       -2855.6245
                0              -18                7       -24374.691        52737.855        18952.717        58757.699        6251.0288       -5146.1221
                1              -18                7       -23621.293        49780.172        18580.357         56286.57        5534.5225       -6405.8677
                2              -18                7       -22885.369        46931.285        18388.156         54208.59        4823.6553       -7834.7363
                3              -18                7       -22139.674        43721.371        18339.326        51829.719        4099.3906       -9100.7861
                4              -18                7       -21384.201         40150.43        18433.865        49149.941         3361.729        -10204.02
                5              -18                7       -20618.955        36218.453        18671.775        46169.254        2610.6689       -11144.435
                6              -18                7       -19843.936        31925.445        19053.051        42887.656        1846.2117       -11922.027
                7              -18                7       -19059.143         27271.41        19577.701        39305.164        1068.3567       -12536.809
                8              -18                7       -18342.518        22507.895        20644.598         34041.98        496.23938       -12594.797
                9              -18                7       -18517.855        18989.314        21685.803        28094.832        515.28052        -12635.82
               10              -18                7       -18968.627        15681.615        21917.563         24913.84        390.95959       -13159.688
               11              -18                7       -19410.279        12551.586        22194.498        21893.408        234.92218       -13369.027
               12              -18                7       -19848.023        9604.6592        22509.361        19022.236        30.312408       -13189.322
               13              -18                7       -20484.479        7190.8672        22670.553        15849.123       -714.08398       -10431.039
               14              -18                7       -21161.303        5247.5996        23094.719        11440.227       -746.39703       -8909.2852
               15              -18                7       -21866.887        3723.2915        23556.445        7350.2051       -706.52948       -7117.4199
               16              -18                7       -22601.244        2617.9434        24055.619        3579.8953       -594.87622       -5054.6113
               17              -18                7       -23364.365        1931.5564         24592.24         129.2998       -411.43726       -2720.8594
               18              -18                7       -24156.256          1664.13        25166.311       -3001.5815       -156.21266       -116.16382
              -18              -17                7           -23531        6328.7773        24250.832       -11027.834       -537.19537       -153.27835
              -17              -17                7       -23934.893        8600.3496        24414.131       -9061.8311       -66.634979        568.84924
              -16              -17                7       -24333.145        10967.114         24617.16       -6475.9595        434.49347        1197.1852
              -15              -17                7       -24725.762        13429.073        24859.922       -3270.2188        966.18988        1731.7292
              -14              -17                7       -25205.211        16781.902        25151.086       -299.46924        1571.0854        2062.1956
              -13              -17                7       -25845.648        21071.092        25456.197        2255.1509        2250.9868        2149.1406
              -12              -17                7        -26586.91         25591.09        25756.492        5109.7769         2967.894        2079.8586
              -11              -17                7       -27132.938        28414.512        25917.582        8059.0254        3646.1372        2672.8687
              -10              -17                7       -27595.902         30773.34        26057.111         11254.26        4334.0054        3505.1313
               -9              -17                7       -28041.377        33152.785        26212.615        14749.521          5050.54        4382.2261
               -8              -17                7       -28101.715        39024.461        24491.924        20451.322        4781.1978        3146.5623
               -7              -17                7       -28001.164        43845.367        22604.922        26962.305        4531.0898        1084.5142
               -6              -17                7       -27643.482        46470.578        21337.961        32639.439        4762.3833       -451.42334
               -5              -17                7       -27332.314        49452.242        20360.379        37954.125        4914.3022       -2335.8657
               -4              -17                7       -27067.652        52790.352        19672.184        42906.344        4986.8457       -4568.8125
               -3              -17                7       -26849.502        56484.902        19273.367        47496.117        4980.0151       -7150.2627
               -2              -17                7       -27040.873        58271.688        18600.973            52534        6291.0908       -11177.771
               -1              -17                7        -26792.23        58677.066        17763.082        57431.117        7163.5205       -15442.052
                0              -17                7       -25158.492        53837.414        16220.907        61969.379        7323.7183       -18997.457
                1              -17                7       -24233.291        50383.344        16013.603        60166.156        6672.6118       -20252.574
                2              -17                7       -23315.121        46780.844        15876.358         58519.25        6010.2612       -21533.797
                3              -17                7       -22387.176        42817.313        15882.482        56571.438        5334.5122       -22652.197
                4              -17                7       -21449.455         38492.75        16031.978        54322.727        4645.3662       -23607.775
                5              -17                7       -20501.961        33807.156        16324.842        51773.098        3942.8232       -24400.543
                6              -17                7       -19544.693        28760.533        16761.074        48922.578        3226.8813       -25030.486
                7              -17                7       -18577.654        23352.875         17340.68        45771.141        2497.5415       -25497.615
                8              -17                7       -17889.498        18400.967        19885.078        37153.695         2189.541       -22986.754
                9              -17                7       -17807.771        14772.374        21989.422        28715.596        2057.5146       -21246.148
