           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        726.39294       -563.61157        35322.172        -46646.18        25290.891        21501.145
              -17              -18                7         1894.505        213.20145        35905.262       -47615.387        25186.754        21563.184
              -16              -18                7        3227.7722        1184.9457        36382.867       -48402.859        24993.701        21655.074
              -15              -18                7        4726.1929        2351.6206        36754.984       -49008.582        24711.734        21776.818
              -14              -18                7        6389.7681        3713.2268        37021.613       -49432.563        24340.844         21928.41
              -13              -18                7         8031.874        6149.1802        37014.367        -49070.27        23795.633         22265.25
              -12              -18                7        9826.5938        8930.3594        36554.242        -48223.57        23112.855        22245.334
              -11              -18                7        11939.277        10992.963        35879.289       -47358.555        22376.371        21718.156
              -10              -18                7        14182.535        13014.008        35176.328       -46311.324        21581.254         21131.92
               -9              -18                7        16556.367        14993.493        34445.352       -45081.867        20727.504        20486.623
               -8              -18                7        19269.627        17428.637         32770.09       -43122.102        19857.592        17590.006
               -7              -18                7         22721.23        20738.969        30504.188       -40493.379        18240.344        16478.793
               -6              -18                7        25803.063        23878.328         27634.23       -37046.922        16343.771        15102.625
               -5              -18                7        28515.131        26846.711        24160.207       -32782.738        14167.883          13461.5
               -4              -18                7        30857.424        29644.113        20082.125       -27700.828        11712.671        11555.421
               -3              -18                7        32829.953        32270.543         15399.98       -21801.178        8978.1396        9384.3848
               -2              -18                7        34432.715            34726        10113.774       -15083.802        5964.2891        6948.3921
               -1              -18                7        35674.637        36757.934        4861.6143       -7329.6802        2897.0061        3630.6931
                0              -18                7        35799.414        36148.164        -399.5683        1101.9049       -38.439888        355.93628
                1              -18                7        34989.379        32352.754       -6272.4053        8055.7324       -3245.6704       -1927.4717
                2              -18                7        33750.441        29275.385       -11493.507        14485.984       -6260.0522       -4305.5439
