           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        96.313721        649.05273       -28422.779       -7145.6914        293.91296         1784.589
              -17              -18                7        775.85181        1018.5376       -26869.871       -4733.2378        -274.6665        1935.8408
              -16              -18                7        1303.4816          1437.12       -25107.174       -1968.1409       -799.41443        1873.2661
              -15              -18                7         1679.203        1904.7988       -23134.688        1149.5999       -1280.3308        1596.8641
              -14              -18                7        1903.0164        2421.5752        -20952.41        4619.9863       -1717.4158        1106.6348
              -13              -18                7        2330.5737        3243.2864       -18882.346        7481.1689       -2255.7703       -441.93689
              -12              -18                7        2545.8049        3930.6169       -17099.484        9667.6191       -2581.6689       -2317.8105
              -11              -18                7        2329.2676         4218.165       -15308.957        11922.729       -2543.0005       -3583.6587
              -10              -18                7        2009.2122         4484.793       -13420.589        14189.381       -2407.9019        -4780.686
               -9              -18                7        1585.6384        4730.5024       -11434.381         16467.57       -2176.3726       -5908.8936
               -8              -18                7        1603.1531        4359.7573        -8162.229        22571.049       -2201.0093       -3872.9023
               -7              -18                7        748.55133        1853.9133       -5180.2778        29759.793       -2083.3069       -3897.4934
               -6              -18                7        178.06427        66.887451       -2221.1252        35704.711       -2019.1418       -3938.0918
               -5              -18                7        -108.3075       -1001.3196        715.22705        40405.789       -2008.5142       -3994.6973
               -4              -18                7       -110.56409       -1350.7076        3628.7793        43863.027       -2051.4243       -4067.3088
               -3              -18                7        171.29352       -981.27722        6519.5332        46076.441       -2147.8706       -4155.9282
               -2              -18                7        737.26721         106.9715        9387.4883        47046.023       -2297.8552       -4260.5547
               -1              -18                7        1241.9596        1278.7272        12283.353        48076.199       -2456.7217       -5665.6484
                0              -18                7       -69.842072       -357.88138        13734.638        47264.004       -2377.9585       -5704.0747
                1              -18                7       -335.27692        487.22021        14103.037        43704.031       -2210.8135        -4380.729
                2              -18                7       -514.95544        1029.1589        14675.219        39742.941        -2162.803       -3310.5801
                3              -18                7        -713.5304        1061.1709        15065.182         35228.48        -2092.177       -2289.4688
                4              -18                7       -931.00171         583.2561        15272.931        30160.652       -1998.9349       -1317.3975
                5              -18                7       -1167.3698       -404.58533        15298.462        24539.443       -1883.0753       -394.35742
                6              -18                7       -1422.6337       -1902.3508        15141.773        18364.863        -1744.598        479.64478
                7              -18                7       -1696.7943       -3910.0461         14802.87        11636.909       -1583.5046        1304.6113
                8              -18                7       -1904.0087       -5802.2256        13804.512        3599.4175       -1113.9802        1953.3014
                9              -18                7       -1890.0101       -5584.5718        12022.604       -2677.5293       -1071.9132        975.52417
               10              -18                7       -1984.9347       -5407.7261        10904.936       -6217.6304       -1673.2025       -242.99509
               11              -18                7       -2090.7876       -5259.6631        9859.3066       -9514.7588       -2152.9143       -1261.3307
               12              -18                7        -2211.429        -5100.457        8871.5791       -12550.983       -2483.9136       -2001.9585
               13              -18                7       -2470.2952       -3627.2139         7462.686       -14911.936       -1882.3051       -182.36789
               14              -18                7       -2205.8904       -3183.7227        5515.7944        -18622.25       -1633.7803       -140.81271
               15              -18                7        -1949.813       -2600.2744        3698.5698       -22009.197       -1243.6802       -94.008057
               16              -18                7       -1702.3868       -1876.1871         2011.379       -25071.885       -711.75311       -40.910583
               17              -18                7       -1463.6115       -1011.4608        454.22412       -27810.303       -37.999573        18.479759
               18              -18                7       -1233.4874       -6.0954285       -972.89667       -30224.461        777.58069        84.162903
              -18              -17                7       -435.58472        3035.2341       -29044.043       -7173.2324       -774.14349        1910.1294
              -17              -17                7        394.00037        3547.4639        -27491.58       -4685.3145       -1359.6667        1961.8239
              -16              -17                7         1071.677        4108.7905       -25729.324       -1844.7517       -1901.3585        1799.6914
              -15              -17                7        1597.4457        4719.2144       -23757.281        1348.4556       -2399.2185        1423.7318
              -14              -17                7        2310.2722        5610.0771       -21865.918         3979.022       -2997.2444       -24.639893
              -13              -17                7        3191.2271        6871.0049       -20124.863         5930.123       -3752.8286       -2610.4995
              -12              -17                7        3927.6001        8321.0723       -18293.336        7992.9404       -4553.8623       -5577.5815
              -11              -17                7        3975.7241        8893.5645       -16536.301        10074.067       -4792.9097       -7460.4873
              -10              -17                7        3773.0083        9186.3477       -14725.599        12152.593        -4790.481       -8935.8828
               -9              -17                7        3466.7734          9458.21       -12817.053        14242.659       -4691.6211       -10342.458
               -8              -17                7        4364.5454        10983.813       -8780.7324        22759.365       -5437.6689       -7422.1704
               -7              -17                7        4622.0396        10632.553        -4838.332        31833.287       -6503.8911        -5438.688
               -6              -17                7        3979.9463        8355.2832        -1643.635        37965.234       -6974.3105       -6180.6187
               -5              -17                7        3621.9683        6796.8306        1528.2649        42853.348       -7498.2676       -6938.5566
               -4              -17                7         3548.106        5957.1997        4677.3638        46497.625       -8075.7632       -7712.5024
