           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -9672.5117       -15437.173        9125.1982        16121.277        60.897858       -419.91907
              -17              -18                7       -11953.448       -16638.492        10085.881        14194.898        1257.1167        1372.7308
              -16              -18                7       -14307.888       -17614.908        11468.232        11354.262        2569.1482        3316.7322
              -15              -18                7       -16735.824        -18366.42        13272.253        7599.3687        3996.9915         5412.084
              -14              -18                7       -19237.264       -18893.029        15497.942        2930.2153        5540.6475        7658.7871
              -13              -18                7       -21429.957        -20264.25        17528.582        -1787.146         7094.167        10389.644
              -12              -18                7       -23077.033       -20981.965        19270.221       -5894.6255        8856.9746        12588.637
              -11              -18                7       -24538.723       -20136.549        21185.363       -10045.072         10914.08         13859.97
              -10              -18                7       -25998.969       -19126.348        23233.131        -14503.05        13074.127        14963.311
               -9              -18                7        -27457.77       -17951.359         25413.52       -19268.559        15337.116        15898.657
               -8              -18                7       -27505.543       -17068.344        27455.301        -28266.77        18259.912         18566.35
               -7              -18                7       -27138.328       -11913.245        30109.264       -35882.406        22278.254        20442.766
               -6              -18                7       -26006.496       -7844.0415        32847.543        -43223.59        25848.744        22202.344
               -5              -18                7       -24110.045       -4860.7314        35670.141       -50290.309        28971.377        23845.084
               -4              -18                7       -21448.977       -2963.3184        38577.043       -57082.566        31646.154        25370.982
               -3              -18                7       -18023.289       -2151.7971         41568.27       -63600.371        33873.078        26780.045
               -2              -18                7       -13832.983       -2426.1714        44643.805       -69843.703        35652.148        28072.273
               -1              -18                7       -9223.8633       -1603.3735         47240.16       -75525.414        37016.551        29789.777
                0              -18                7       -3988.5356        6122.4473         45353.98        -75189.07        37636.656        29293.652
                1              -18                7        1404.6752          7889.96        41266.492       -71386.148        36829.563         27562.25
                2              -18                7         6167.125        9863.8379        37092.711        -68726.68            35570        26037.238
                3              -18                7        10408.187        12107.113        32714.984       -65460.766        33939.559         24139.07
                4              -18                7        14127.861        14619.782        28133.316       -61588.391        31938.227        21867.754
                5              -18                7        17326.148        17401.852        23347.703       -57109.559         29566.01        19223.281
                6              -18                7        20003.051        20453.313         18358.15        -52024.27        26822.908        16205.648
                7              -18                7        22158.564        23774.174        13164.653       -46332.523        23708.922        12814.868
                8              -18                7        23786.693        25806.871        8446.4111        -38839.02        20746.881        8342.4932
                9              -18                7        23757.654        24245.709        5418.1777       -31618.971        18857.488        6882.0181
               10              -18                7         22984.18        23759.316        2210.3501       -27295.535        16746.975        7941.0571
               11              -18                7        22279.535        23187.172       -812.22168       -23317.881        14725.079        8752.2598
               12              -18                7        21656.941        22448.486       -3667.1892       -19647.074        12790.053          9236.21
               13              -18                7        21508.059        19127.063        -6948.083       -14954.545        10884.456        7074.2241
               14              -18                7        20368.895        16342.708       -10140.982       -10084.542        8505.3096        5837.7441
               15              -18                7        19381.344        13291.662       -12911.819       -5868.9517        6329.6045        4486.8022
               16              -18                7        18546.053        9973.5732       -15260.484       -2308.1245        4357.7134        3020.8369
               17              -18                7        17863.023        6388.4434       -17186.977         597.9375        2589.6387        1439.8488
               18              -18                7        17332.256          2536.27       -18691.293        2849.2344        1025.3789       -256.16235
              -18              -17                7       -10319.319       -13611.328        11452.816        17552.742       -1097.7111       -2615.7441
              -17              -17                7       -12528.782       -14821.907        12336.041        15631.059        99.769829        -821.3476
              -16              -17                7       -14811.743       -15807.582        13640.934        12795.115        1413.0631           1124.4
              -15              -17                7       -17168.203       -16568.355        15367.496        9044.9141        2842.1685        3221.4985
              -14              -17                7       -19166.625       -18091.441        16957.973        5262.4209        4326.9658        5732.1362
              -13              -17                7       -20808.789       -20768.781        18276.094        1746.5646        5806.5762        8694.1211
              -12              -17                7        -22485.75       -23831.287        19783.365       -2205.9866        7316.1123        11882.199
              -11              -17                7       -23910.115       -24271.658        21539.826       -6141.8501        9200.7695        13753.146
              -10              -17                7       -25261.197       -23813.266        23450.598       -10279.408        11271.588        15091.104
               -9              -17                7        -26610.84        -23190.09        25493.988       -14724.498        13445.349        16261.069
               -8              -17                7       -26152.604       -26237.324        27052.125       -25978.889        15583.973        21730.787
               -7              -17                7       -25579.801       -26652.938        28886.291        -38040.41        18133.354        28033.287
               -6              -17                7       -24636.863       -22565.582          31414.5       -46891.672        21487.059        31605.143
               -5              -17                7       -22929.305       -19564.125        34027.031       -55468.469         24392.91        35060.164
               -4              -17                7       -20457.131       -17648.566        36723.867        -63770.82        26850.902        38398.344
               -3              -17                7       -17220.336       -16818.896        39505.027       -71798.703        28861.047        41619.691
               -2              -17                7       -14037.814       -11854.673        41279.781       -76042.203        31219.426        45012.035
               -1              -17                7       -10401.491       -4657.7207        42277.707       -79197.523        32891.328        47842.324
                0              -17                7       -6559.2202        9644.8164         41184.57        -78233.68        34350.535        47328.762
                1              -17                7       -1394.9221        12277.676          37401.5       -74598.594        33797.406        44591.023
                2              -17                7        3192.2432        15100.545        33387.625       -71428.344        32788.668        41966.164
                3              -17                7          7258.02        18192.813        29169.811       -67651.617        31409.043        38968.145
                4              -17                7        10802.411        21554.469        24748.055       -63268.453        29658.539        35596.977
