           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        -697.3385        1234.2124        13365.907       -99376.219       -1549.1768        938.00623
              -17              -18                7       -377.84042        2103.5928        14158.274       -96037.734       -1251.6809        195.41467
              -16              -18                7       -159.65933        2788.9175        15038.605       -92250.297       -968.09717       -502.89661
              -15              -18                7       -42.795738        3290.1853        16006.893       -88013.898       -698.42615       -1156.9271
              -14              -18                7       -27.249069        3607.3972        17063.139       -83328.547       -442.66736       -1766.6775
              -13              -18                7        149.46332        4063.5613        18461.961       -78678.945        34.153229       -2586.2461
              -12              -18                7        162.37097        4216.5615        20170.102       -74431.438        551.71393       -3191.0308
              -11              -18                7       -119.12592        3832.0295        21969.887       -70160.688        856.60907        -3299.875
              -10              -18                7       -438.38696        3303.3604        23865.313       -65704.711        1104.6938        -3261.552
               -9              -18                7       -795.41211        2630.5537        25856.367       -61063.496        1295.9677       -3076.0632
               -8              -18                7          -591.31        2899.6536        27226.686       -53872.727        920.16278       -3288.5781
               -7              -18                7       -238.41708        1498.3584        28969.424       -46833.375        760.64063       -3226.2417
               -6              -18                7        29.357697        611.06018        31087.186       -39663.801        648.67108       -3208.4907
               -5              -18                7        212.01424         237.7605        33579.965       -32364.021        584.25415       -3235.3245
               -4              -18                7        309.55273        378.45825        36447.754       -24934.027        567.38983       -3306.7441
               -3              -18                7        321.97308        1033.1527         39690.57       -17373.822          598.078       -3422.7471
               -2              -18                7        249.27525         2201.845        43308.406       -9683.4014        676.31873       -3583.3379
               -1              -18                7        146.65691         3162.877        46998.922       -1701.9819        951.56311       -3857.8462
                0              -18                7        498.00348        683.83643        50782.117          4000.04        1016.6429       -3898.4082
                1              -18                7        82.040894       -294.85657        54890.207        7546.3604        897.58875        -3522.915
                2              -18                7       -125.51306       -896.12268        58949.352        11300.508        797.91687       -3383.4585
                3              -18                7       -177.76904       -1446.1016        63071.723        14665.523        659.94666       -3268.4243
                4              -18                7       -74.727478        -1944.793        67257.328          17641.4        483.67883       -3177.8135
                5              -18                7        183.61212       -2392.1978        71506.156        20228.154        269.11224       -3111.6245
                6              -18                7         597.2486       -2788.3149        75818.219        22425.771        16.247253       -3069.8552
                7              -18                7        1166.1833       -3133.1455        80193.516        24234.256       -274.91583        -3052.512
                8              -18                7        1598.8268       -3432.0305        84684.281        24571.027        -513.6532       -2524.2834
                9              -18                7        1521.6058       -3531.6558        87886.844        22842.975       -293.54065       -2544.4858
               10              -18                7        1689.4766       -3666.9756        90133.344         22445.09       -58.226078       -3670.5435
               11              -18                7        1828.5231       -3799.4072        92223.719        22188.871        151.04825       -4599.0732
               12              -18                7        1918.2054       -3932.1494        94146.195        22045.758        318.42633        -5278.082
               13              -18                7         1288.392         -4097.71        95568.398        21052.471       -35.965836       -4176.7617
               14              -18                7        1159.1125       -3567.9502        96888.875        18710.793        35.170685       -3619.5869
               15              -18                7        926.30127       -3027.1948            98008        16576.809         119.3905       -2782.2109
               16              -18                7        589.60193       -2475.8198         98925.75        14651.406          216.444       -1664.2231
               17              -18                7        149.01474       -1913.8254        99642.109        12934.587        326.33105       -265.62366
               18              -18                7       -395.46033       -1341.2115        100157.12         11426.35        449.05176        1413.5874
              -18              -17                7       -3005.8975        2555.6919        13029.104       -100250.69       -1902.8556        161.87262
              -17              -17                7       -2631.6116        3560.2341        13799.591       -96896.758       -1579.4552       -589.21045
              -16              -17                7       -2358.6426        4380.7207        14658.037       -93093.875       -1269.9674       -1296.0128
              -15              -17                7       -2186.9912        5017.1499        15604.442       -88842.023       -974.39191       -1958.5352
              -14              -17                7       -1864.1533        5745.5049        16933.777       -84579.859       -463.03934       -2831.0022
              -13              -17                7       -1416.5535        6636.4795        18607.971       -80481.453        313.80252       -3980.2056
              -12              -17                7       -1081.0435        7462.7568        20348.055       -76205.016        1164.0537       -5197.2769
              -11              -17                7       -1195.3308        7476.5928        22172.664       -72012.219        1668.5963       -5688.5732
              -10              -17                7       -1443.9785        7157.8237        24094.713       -67703.781         2019.616       -5846.2813
               -9              -17                7       -1730.3901         6694.917        26112.395       -63210.113        2313.8252       -5856.8247
               -8              -17                7        -1536.208        8638.5459        26854.672        -54967.27        1931.3508       -7117.6445
               -7              -17                7       -1128.1647        9589.1338        28036.092       -46633.469         1592.833       -9009.3516
               -6              -17                7       -640.24951        8774.1328        30193.848       -39029.105        1630.4895       -9942.8154
