           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        775.11115        3582.3728       -782.33868       -3726.4221       -11.192303       -47.194889
              -17              -18                7        676.79016         3757.125       -965.98083       -4531.4102        20.736349       -64.650917
              -16              -18                7        571.11877        3926.4307       -1137.8235       -5255.7739        52.983612       -83.079163
              -15              -18                7        458.09705        4090.2896       -1297.8665       -5899.5103        85.549477       -102.47958
              -14              -18                7        337.72491        4248.7021       -1446.1102       -6462.6206        118.43398        -122.8522
              -13              -18                7        217.15292        4467.2773       -1581.8738       -6934.5259        149.18176       -139.93384
              -12              -18                7        116.19103        4635.8677       -1694.9041       -7290.0928        179.80032       -140.42296
              -11              -18                7        24.004105        4666.4399       -1791.3074       -7556.4204        211.52441       -143.78696
              -10              -18                7       -72.219475        4664.6172        -1882.109       -7772.4678        241.77318       -155.46881
               -9              -18                7       -172.47957        4630.3994       -1967.3085       -7938.2329        270.54666       -175.46854
               -8              -18                7         -265.388        4743.3887       -1984.6072       -7678.1572        296.16748       -69.881088
               -7              -18                7        -373.8121        4773.3628       -1961.6987       -7308.4902        321.17206        -74.71209
               -6              -18                7       -465.48795        4831.6284       -1919.0243       -6817.6538        338.30707       -96.823723
               -5              -18                7       -540.41534         4918.186       -1856.5836       -6205.6479        347.57248         -136.216
               -4              -18                7       -598.59424        5033.0352       -1774.3768       -5472.4717        348.96826       -192.88895
               -3              -18                7        -640.0249        5176.1758       -1672.4041        -4618.126        342.49448        -266.8425
               -2              -18                7       -664.70709        5347.6089        -1550.665       -3642.6104        328.15109       -358.07672
               -1              -18                7       -679.36084        5707.3887       -1408.8336       -2600.9084        305.59665        -393.7511
                0              -18                7       -672.38287        5527.4551       -1273.1694       -1598.4191        283.20407       -144.15054
                1              -18                7       -651.28052        5089.8179       -1121.1368       -669.19098        254.16864       -87.486359
                2              -18                7       -611.03748        4817.1992       -981.80176        183.94327          220.252       -12.941986
                3              -18                7       -561.38104        4614.6587       -848.06006        946.27863        184.66473        17.848663
                4              -18                7       -502.31152        4482.1968       -719.91193        1617.8146         147.4068        4.8856812
                5              -18                7       -433.82849        4419.8135       -597.35706        2198.5525         108.4782        -51.83094
                6              -18                7       -355.93231        4427.5073       -480.39572         2688.491        67.878998       -152.30101
                7              -18                7       -268.62277        4505.2808       -369.02771        3087.6311        25.609119       -296.52499
                8              -18                7       -189.96928        4407.2974       -273.17969        3281.7671       -11.068947       -419.59515
                9              -18                7       -147.52426        4152.0747       -217.33577        3016.1165       -39.735146       -368.14063
               10              -18                7       -100.96741        4240.4077       -161.49336        2729.6047       -75.613976       -334.73669
               11              -18                7       -62.414574         4315.083       -106.04581        2388.0779       -107.01704       -306.55988
               12              -18                7       -33.018898         4370.082       -50.345303        1990.4084        -133.2276       -281.09967
               13              -18                7       -49.639137        4244.2148        28.054443        1505.6727       -133.54073       -186.48244
               14              -18                7       -23.262821        4164.2871         56.71312        802.93964        -116.9996       -163.50946
               15              -18                7       -12.729683        4064.5474        84.253456         42.34198       -95.487152       -135.50391
               16              -18                7       -18.073296        3944.9736        110.70635       -776.01965       -69.011803       -102.42681
               17              -18                7       -39.293686        3805.5662        136.07175       -1652.1448       -37.573547       -64.278229
               18              -18                7       -76.390839        3646.3252        160.34969       -2586.0339       -1.1724014        -21.05813
              -18              -17                7        958.71344        4363.7363       -683.41107       -3956.3359       -43.485317         2.196207
              -17              -17                7        859.98871        4548.7358       -866.79285       -4772.1826       -11.516195       -15.353129
              -16              -17                7         753.9137        4728.2886       -1038.3751       -5507.4028        20.771551        -33.87466
              -15              -17                7        640.48834         4902.396       -1198.1578       -6161.9971        53.377892       -53.368408
              -14              -17                7         525.8595        5124.1528       -1346.4589       -6738.3232         84.77108       -77.715134
              -13              -17                7        415.28003        5441.2432         -1485.76       -7257.8198        113.68875       -92.602097
              -12              -17                7        304.85178        5820.7334       -1616.5604       -7725.1484        141.11696       -89.982201
              -11              -17                7        212.06467        5985.5103       -1719.2483       -8043.2349        170.87608       -89.284134
              -10              -17                7         120.2789        6054.8555       -1810.8723       -8285.3037        200.16359       -99.326141
               -9              -17                7        24.456442        6091.8037       -1896.8944       -8477.0898         227.9758       -117.68601
               -8              -17                7       -41.028187        6597.6328       -1909.2356       -8158.4277        247.48695        78.187714
               -7              -17                7       -107.32594        7129.1021       -1903.9454         -7669.79         260.8143       -1.1740208
               -6              -17                7       -186.40453        7323.6108       -1868.9701       -7091.2607        270.70364       -134.19199
               -5              -17                7       -248.73483        7546.4116       -1814.2288        -6391.562        272.72339       -284.49069
               -4              -17                7        -294.3165        7797.5039       -1739.7214       -5570.6929        266.87354       -452.07001
               -3              -17                7       -323.14999        8076.8887       -1645.4479       -4628.6543        253.15413       -636.92987
               -2              -17                7       -365.17026        8679.2275       -1534.8298       -3892.3721         231.1389       -846.62573
               -1              -17                7       -385.72498        8976.3232       -1411.4624       -2631.8877        201.90875       -662.96515
                0              -17                7       -377.17688        8828.3682       -1311.4413       -1561.5192        167.92116       -647.41522
                1              -17                7       -362.10132        8296.0928       -1160.5817       -544.36688         133.9498       -546.87054
                2              -17                7       -332.48981        7918.4795       -1017.5683        387.96301        97.070625       -483.18903
                3              -17                7       -293.46494        7610.9443       -880.14832         1229.494        58.520836       -463.26117
                4              -17                7        -245.0269        7373.4873       -748.32178        1980.2264        18.300442       -487.08679
                5              -17                7       -187.17535        7206.1094       -622.08868        2640.1597       -23.590672       -554.66614
                6              -17                7       -119.91069        7108.8096       -501.44894        3209.2944       -67.152367       -665.99896
                7              -17                7       -43.232662        7081.5884       -386.40265        3687.6304       -112.38476       -821.08563
                8              -17                7       -36.827377        6099.4766       -308.76566        3611.2324       -122.76605       -747.76208
                9              -17                7       -18.918045        5396.4224       -248.44485        3287.7405       -131.18103       -675.98499
               10              -17                7        20.335218        5419.4893       -191.69006         2978.595       -162.14565        -632.3006
               11              -17                7        51.584427        5428.8965       -135.32999        2614.4351       -188.63454       -593.84357
               12              -17                7        45.655151         5261.457       -59.586468        2133.0945       -190.27461       -490.52075
               13              -17                7        23.572113        5089.6421        24.231575        1589.5414       -185.68173       -387.73169
               14              -17                7       -7.5515947        4959.2759          111.626        1000.0505       -180.25597       -304.20392
               15              -17                7       -6.4880371         4854.499        151.30197        236.99002       -160.24605       -273.02887
               16              -17                7       -16.253757        4731.2148        184.28409       -597.77295       -133.91759       -241.79724
               17              -17                7       -41.896248        4588.0972        216.17874       -1490.2996       -102.62624       -205.49411
               18              -17                7       -83.415504         4425.146        246.98593       -2440.5898       -66.371994       -164.11946
              -18              -16                7        1127.8723        5049.4561        -577.8822       -4149.9414       -76.128418        53.859322
              -17              -16                7        1028.7439        5244.7036       -761.00348       -4976.6455       -44.118801        36.216671
              -16              -16                7         922.2652        5434.5044       -932.32538       -5722.7227       -11.790593        17.601816
              -15              -16                7        813.58551        5659.5117       -1093.1582        -6403.397        20.242783        -13.96402
              -14              -16                7        708.05212        5968.4824       -1245.9169       -7039.2393        50.650589       -43.662018
              -13              -16                7        602.67004        6339.8525       -1390.1748       -7622.9121        79.568924       -55.853226
              -12              -16                7        497.43945        6773.6211       -1525.9316        -8154.415        106.99777       -50.537613
              -11              -16                7        392.96902        7258.4048       -1652.3303       -8628.8135        133.05647       -28.807541
              -10              -16                7        305.62091         7398.915       -1744.7765       -8896.9023        161.38274       -37.209705
               -9              -16                7        216.59047        7551.8525       -1824.6511       -9079.9277        187.87393       -11.844666
               -8              -16                7        162.82727        8354.0127       -1834.9624       -8801.4912        204.43799        227.51077
               -7              -16                7        135.44873        9581.0703       -1845.3965       -8333.2002        210.40704        124.39484
               -6              -16                7        89.469772        10303.126       -1828.3833       -7677.2236        210.95761       -150.02931
               -5              -16                7        39.736794        10662.171       -1781.3412       -6889.8315        205.73172       -411.23428
               -4              -16                7       -6.6424332        11269.916       -1715.4565       -6270.1372        191.87988       -834.97852
               -3              -16                7       -53.115135        11831.822       -1633.5327       -5547.0166        169.09787       -1156.6581
               -2              -16                7       -86.052864         12000.48       -1535.5299       -4305.4409         138.1169       -1122.6034
               -1              -16                7       -82.989822        11998.396       -1433.3374       -2692.0144        99.599319       -839.88708
                0              -16                7       -58.096466        11797.508       -1331.2906       -1528.4755        51.954224       -1063.9119
                1              -16                7       -65.634338        11493.603       -1208.7458       -319.74356       -2.5900574       -994.80701
                2              -16                7       -46.654144        11010.995       -1062.0541        691.78259       -42.431763       -941.98828
                3              -16                7       -18.260757        10598.465       -920.95581        1612.5098       -83.944054       -932.92322
                4              -16                7        19.545898        10256.014       -785.45081        2442.4382       -127.12703       -967.61176
                5              -16                7        66.765961        9983.6406       -655.53949        3181.5671       -171.98062       -1046.0538
                6              -16                7        123.39919        9781.3477       -531.22144        3829.8975       -218.50484       -1168.2495
                7              -16                7         130.9592        8916.2373       -424.91214        4128.7949       -240.53493       -1153.2825
                8              -16                7         114.3609        7746.4517       -340.10245        4042.0122       -240.28943       -1052.5294
                9              -16                7        108.07231        6714.3311       -271.46609        3688.7705       -231.16371       -966.78613
               10              -16                7        134.99994        6543.4482       -213.57756        3329.3508       -251.29945       -909.87921
