           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        -18898.34       -11873.938       -893.64294        1636.0404         314.7229          194.849
              -17              -18                7       -19568.176       -13890.715        209.97589        85.802795        1857.5044        1684.3019
              -16              -18                7       -20407.039       -15666.777        1740.6901       -2364.1956        3537.5854        3367.5266
              -15              -18                7       -21414.918       -17202.119        3698.4978       -5713.9536        5354.9668        5244.5229
              -14              -18                7       -22591.822       -18496.748        6083.4019       -9963.4756        7309.6494         7315.291
              -13              -18                7       -23430.563        -20440.41        8573.7324       -14336.484        9200.2539        9811.0273
              -12              -18                7       -23999.795       -21622.047         10801.79        -18099.43        11076.792         11718.85
              -11              -18                7       -24735.938       -21313.875        13028.803       -21819.313        13129.831         12748.18
              -10              -18                7       -25532.184       -20859.207        15376.612       -25834.789        15296.961        13652.383
               -9              -18                7       -26388.523       -20258.041        17845.217        -30145.85        17578.182        14431.456
               -8              -18                7       -25917.477       -19971.617        20356.842       -38312.367         20243.75        17056.328
               -7              -18                7       -24984.156       -15383.122        23743.822       -45107.313        24082.721        19010.773
               -6              -18                7        -23332.68       -11817.178        27319.939       -51623.648        27474.816        20886.012
               -5              -18                7       -20963.047       -9273.7861        31085.188        -57861.34        30420.021        22682.045
               -4              -18                7       -17875.254       -7752.9443        35039.574       -63820.402        32918.344        24398.859
               -3              -18                7       -14069.307       -7254.6523        39183.098       -69500.836        34969.789        26036.471
               -2              -18                7       -9545.2012       -7778.9102        43515.758       -74902.641        36574.352        27594.875
               -1              -18                7       -4711.2329       -7135.6484        47546.281       -79764.664        37614.445        29575.926
                0              -18                7        462.21103        341.80627        47327.723       -78758.047        37837.668        29371.805
                1              -18                7        5451.6563        2196.7493        44710.652       -74236.867        36897.012        27972.715
                2              -18                7        9922.1924        4347.7471        41939.391       -70888.516        35510.117        26742.516
                3              -18                7        13907.179        6836.1377        38942.121       -66981.547        33752.273         25123.91
                4              -18                7        17406.613        9661.9238        35718.832        -62515.98         31623.48        23116.896
