           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -14268.656       -4426.4341        14392.883        4982.4658       -229.84171        -132.2713
              -17              -18                7       -15158.891       -6223.7002        12914.293        4807.8247       -949.47052        419.56937
              -16              -18                7       -16093.459       -8063.5444        11119.169        4502.3281       -1600.0953        1069.8087
              -15              -18                7       -17072.357       -9945.9619        9007.5127        4065.9761       -2181.7158        1818.4462
              -14              -18                7       -18095.588       -11870.958        6579.3208        3498.7671       -2694.3325        2665.4832
              -13              -18                7       -19592.406       -14492.484        4405.0215        3157.0525       -3158.6667        3787.8047
              -12              -18                7       -21004.432       -17203.398        2625.2361        2929.1433       -3980.3179        4918.6802
              -11              -18                7       -22042.344       -19349.719        724.52588        2530.2412       -5131.3257        5885.9063
              -10              -18                7       -23129.307       -21466.191       -1356.1716        2048.3342        -6313.811        6902.1313
               -9              -18                7       -24265.322       -23552.816       -3616.8579        1483.4233       -7527.7734         7967.356
               -8              -18                7       -26486.971       -25019.605       -6316.1455       -2499.4678       -8163.4312        8135.3506
               -7              -18                7       -28288.793       -25582.557       -9548.0322       -6950.2466       -8541.4258        8887.3779
               -6              -18                7       -30329.162       -26301.586       -12460.593        -10708.83       -8644.0977        9647.9053
               -5              -18                7       -32608.082       -27176.686       -15053.825       -13775.216       -8471.4492        10416.934
               -4              -18                7       -35125.539       -28207.859       -17327.725       -16149.404       -8023.4795        11194.461
               -3              -18                7       -37881.551       -29395.105       -19282.303       -17831.396       -7300.1904         11980.49
               -2              -18                7       -40876.109        -30738.43       -20917.549       -18821.193       -6301.5791        12775.021
               -1              -18                7       -43548.809       -31890.922       -22750.801       -20272.836       -4879.9033        14574.824
                0              -18                7       -43363.902       -29556.439       -23076.496       -21811.924       -3497.3162        15008.998
                1              -18                7       -42611.684       -27195.959       -21067.559       -21273.309       -2353.4268        14174.199
                2              -18                7       -41785.961       -24914.818       -19219.791       -20546.174       -1097.9163        13429.705
                3              -18                7       -40644.012        -22474.93       -17289.902       -19476.809        141.70044        12576.162
                4              -18                7       -39185.855       -19876.301       -15277.889       -18065.213        1365.4235         11613.57
                5              -18                7       -37411.484       -17118.922        -13183.75       -16311.383        2573.2539        10541.925
                6              -18                7       -35320.895       -14202.797       -11007.488       -14215.322         3765.189        9361.2266
                7              -18                7       -32914.086       -11127.926       -8749.1016       -11777.031        4941.2305        8071.4814
                8              -18                7       -30265.645       -8137.8682       -6197.9951       -7722.5776        5761.3491        6948.5439
                9              -18                7       -27652.607       -7308.1328       -3899.2026       -3552.0754        6023.0776        6987.9087
               10              -18                7       -24983.385       -7039.5996       -2407.2979       -1993.1215        6504.7852        6943.9844
               11              -18                7       -22397.037        -6787.519       -1055.5774       -425.31641        6829.7988         6706.833
               12              -18                7       -19890.109       -6564.5918        159.58423        1139.2395        6967.2373        6212.5615
               13              -18                7       -17424.662       -6914.2495        1380.8163        2430.1694        5999.9814        3590.1382
               14              -18                7        -15127.27       -7620.3281        3087.8982        4852.0591        5183.1499        2801.9966
               15              -18                7       -13026.979       -8500.8896        4580.0693         7218.125        4202.3848         2056.772
               16              -18                7       -11123.819       -9555.8613        5856.9429        9527.7334        3057.5322        1353.3928
