           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        18529.547       -67.978271       -6327.5508       -8646.8926       -201.83624        52.843262
              -17              -18                7         19321.84       -23.993408       -6455.6802        -7744.123        121.26884       -823.74048
              -16              -18                7        20225.117        17.134033       -6504.2012       -6812.7368        509.42947       -1656.9012
              -15              -18                7        21239.381        55.401428       -6473.1162       -5852.7314        962.64551       -2446.6384
              -14              -18                7        22364.633        90.810059       -6362.4214       -4864.1069         1480.917       -3192.9529
              -13              -18                7        23737.918        733.93695       -6196.0898       -4184.7505        2370.0029       -3860.1094
              -12              -18                7        25104.123        1736.0143       -6066.2705       -3537.3296          3552.25        -4216.417
              -11              -18                7        26339.879        2511.5405       -5895.9043        -2620.856        4689.1665       -4334.8359
              -10              -18                7        27643.502        3269.0845        -5605.249       -1606.3433        5815.5137       -4438.6128
               -9              -18                7         29014.99        4008.6472       -5194.3037       -493.79163         6931.292       -4527.7466
               -8              -18                7        31334.842        4618.5576         -5696.02        2992.1206        5984.1411       -4129.6123
               -7              -18                7        34253.195        5126.4224       -6855.9922        6724.5781        5958.2451       -3494.9316
               -6              -18                7        36938.781        5778.6504        -7696.585        9868.1816        5707.6558       -2973.6248
               -5              -18                7        39391.605        6575.2402       -8217.7969        12422.927        5232.3716       -2565.6892
               -4              -18                7        41611.664        7516.1919       -8419.6289        14388.813        4532.3916       -2271.1252
               -3              -18                7        43598.957        8601.5078       -8302.0811        15765.841        3607.7173       -2089.9331
               -2              -18                7        45353.488        9831.1855       -7865.1548        16554.014        2458.3486       -2022.1134
               -1              -18                7        46706.109        11118.414       -7111.0684        17503.768        1367.6284       -2518.2183
                0              -18                7        46164.379        10387.049       -6579.4902        17913.262        56.033661        -1891.877
                1              -18                7        44107.934        9468.0273       -6789.7432        16869.049       -1359.9666       -1027.5488
                2              -18                7        42188.926        8434.4482       -6584.9795        15718.688       -2727.2632       -316.46826
                3              -18                7        40310.047        7235.7822       -6247.2129        14376.891       -3959.7498        404.22656
                4              -18                7        38471.297        5872.0332       -5776.4453        12843.661       -5057.4248        1134.5354
                5              -18                7        36672.668        4343.1953       -5172.6738        11118.997         -6020.29        1874.4602
                6              -18                7        34914.172        2649.2734       -4435.9009        9202.8984       -6848.3423        2624.0005
                7              -18                7        33195.797        790.26404       -3566.1248        7095.3652       -7541.5864        3383.1548
                8              -18                7        31368.035       -1022.2886       -2927.4463        4099.9487       -7869.1406        3944.7715
                9              -18                7        29380.566       -1517.8474       -3313.4314        1400.8279       -7412.4336        3420.6846
               10              -18                7        27585.885       -1875.8986       -3472.2578        376.97461         -7026.21        2827.2876
               11              -18                7        25900.396       -2274.1355       -3674.9253       -639.96106       -6558.9248        2353.3713
               12              -18                7         24307.65       -2693.2402       -3930.7029       -1646.7773       -6007.0522        2042.5657
               13              -18                7        22361.193       -2424.8289       -4513.6343       -2620.2327       -5274.5815        3166.6841
               14              -18                7        21190.699        -1974.949       -4969.4004       -4344.1631       -4507.6416         2799.522
               15              -18                7        20183.986       -1491.2837       -5407.6836       -5954.8662       -3626.3271        2341.0088
               16              -18                7        19340.719       -973.88562       -5828.5566       -7451.8965       -2630.6096        1791.9949
               17              -18                7        18660.885       -422.75439       -6232.0205       -8835.2539       -1520.4893        1152.4801
               18              -18                7        18144.498        162.10962       -6618.0747       -10104.938       -295.96558        422.46436
              -18              -17                7        17284.318       -689.98145       -7462.5361       -9139.7793       -412.67612       -392.21393
              -17              -17                7         18054.76       -582.45642       -7726.3887       -8288.1826       -33.753105        -1222.187
              -16              -17                7        18936.188       -477.79059       -7910.6333       -7407.9653        410.22528       -2008.7367
              -15              -17                7        19928.602       -375.98334       -8015.2695       -6499.1313        919.25903       -2751.8633
              -14              -17                7        21185.066        275.68848       -8093.7441       -5985.2354        1844.5812       -3379.2947
              -13              -17                7        22713.893        1532.0939       -8152.8359       -5803.1611         3176.384       -3948.4558
              -12              -17                7        24379.215        2910.4932       -8146.3286       -5549.6494        4593.7495       -4542.9414
              -11              -17                7        25844.957        3956.3127       -8046.5137       -4810.0547        5829.3105       -4793.5635
              -10              -17                7        27297.289        4879.1255       -7824.8145       -3866.0925        6993.9668       -4936.5679
               -9              -17                7        28817.486         5783.957       -7482.8252        -2824.092        8148.0547       -5064.9302
               -8              -17                7        31134.752         7003.835       -8919.7178         905.8053        6078.7803       -4963.8013
               -7              -17                7        34058.582        8075.6416       -10366.242        4905.7227        4081.8147       -4844.2539
               -6              -17                7          36980.5        8687.5605       -11011.972        8082.2329        3661.6694       -4523.7734
               -5              -17                7        39669.656        9443.8428       -11338.319        10669.887        3016.8291        -4316.665
               -4              -17                7        42126.047        10344.489       -11345.289        12668.682        2147.2939       -4222.9297
               -3              -17                7        44349.676        11389.496       -11032.879         14078.62        1053.0642       -4242.5649
               -2              -17                7        46135.418        13165.857       -10283.574        16172.647        1344.0769       -5774.9434
               -1              -17                7        47835.852        14256.819       -9108.8223        18437.232        389.89349       -7025.1719
                0              -17                7         48693.77        12003.709       -7232.8452        21355.701       -1742.5592       -7289.4204
                1              -17                7        46539.406        10625.527       -6790.1772        20358.809        -3320.083       -6483.7939
                2              -17                7        44461.313        9112.3721       -6173.5327        19340.217       -4800.7075        -5760.374
                3              -17                7        42423.344        7434.1309       -5423.8857        18130.188       -6146.5205       -5027.3394
                4              -17                7        40425.504        5590.8042       -4541.2358        16728.727       -7357.5225        -4284.689
                5              -17                7        38467.781        3582.3909        -3525.584        15135.832       -8433.7148       -3532.4253
                6              -17                7        36550.199        1408.8929       -2376.9304          13351.5       -9375.0957       -2770.5452
                7              -17                7        34672.738       -929.69342       -1095.2734        11375.735       -10181.667       -1999.0502
                8              -17                7        31784.863       -2810.9668       -879.61029         6079.584       -10017.496       -1199.1563
                9              -17                7        29404.277       -3494.7778       -1455.3782        1407.5045       -9355.4502       -928.94672
               10              -17                7        27566.453        -3896.239       -1677.8688        511.77893       -8925.0801       -1315.4609
               11              -17                7         25837.82       -4337.8867       -1944.1998       -377.02844       -8413.6494       -1582.4945
               12              -17                7        23715.529       -4274.4951        -2566.395       -1321.7678       -7649.4434       -514.29456
               13              -17                7        21703.852       -3941.8857       -3278.0042       -2410.8552       -6788.0801        794.42999
               14              -17                7        19941.018       -3455.7019       -3998.3813       -3643.6863       -5874.9302        2023.2139
               15              -17                7        18900.309       -2819.8228       -4567.4258        -5343.792       -4995.1982        1830.3584
               16              -17                7        18081.344       -2144.5247       -5102.1602       -6980.2568       -4013.9744        1394.6636
               17              -17                7         17425.82       -1435.4939       -5619.4854       -8503.0488       -2918.3472        868.46832
               18              -17                7        16933.734       -692.72961       -6119.3999        -9912.168       -1708.3169        251.77216
              -18              -16                7        15778.018       -1331.5557       -8523.3457       -9619.6611       -699.80548        -861.9115
              -17              -16                7        16526.607       -1160.4891       -8922.9209       -8819.2334       -265.06467       -1645.2739
              -16              -16                7        17386.184       -992.28442       -9242.8877       -7990.1875        234.73148       -2385.2126
              -15              -16                7        18525.738       -331.75391       -9566.0029       -7641.2627        1196.0261        -2973.125
              -14              -16                7        19953.326        882.75275       -9897.3672       -7706.0024        2607.9023        -3468.417
              -13              -16                7         21517.41        2219.2505       -10163.135       -7699.3052        4105.3394        -3989.032
              -12              -16                7        23217.986        3677.7412       -10363.307       -7621.1704        5688.3379       -4534.9707
              -11              -16                7        25044.658         5241.502       -10491.913       -7451.9038        7341.4297       -5094.0894
              -10              -16                7        26645.697        6329.5835        -10339.17       -6578.4932        8544.3955       -5276.3223
               -9              -16                7        28349.926         7443.729       -10313.539       -5392.4121        9519.9453       -5427.7119
               -8              -16                7        30729.771        9221.3789       -12911.317       -1757.2671        7456.3818       -5599.8164
               -7              -16                7        33667.035        11451.761       -16050.933        2496.8875        3661.7952       -6106.9785
               -6              -16                7        36848.816        12684.685       -17470.598        6120.8242        1612.9359       -6279.6104
               -5              -16                7        39774.301        13400.658       -17602.082        8741.3867        798.54004       -6273.3301
               -4              -16                7        42472.406        14673.319       -16853.053        11069.655        1132.6082        -7220.729
               -3              -16                7        44956.902        16385.984       -15412.752        13573.202        2149.7551       -9104.7773
               -2              -16                7        47226.652        18041.016        -13969.09        16087.448        2165.7942       -10988.707
               -1              -16                7        49485.602          17937.1       -11863.872        18919.965       -30.255371       -11950.775
                0              -16                7        51041.359        15512.002       -9456.1357        23686.041       -2984.1689       -13386.648
                1              -16                7        49827.648         12087.08       -7372.7666        25063.365       -5243.9609       -13662.348
                2              -16                7        47590.461        10094.348       -6344.2402        24176.539       -6837.9131       -12926.592
                3              -16                7        45393.406        7936.5308       -5182.7119        23098.281       -8297.0547       -12181.218
                4              -16                7        43236.469         5613.627       -3888.1802         21828.59       -9621.3848       -11426.227
                5              -16                7        41119.664         3125.637       -2460.6477        20367.461       -10810.903       -10661.623
                6              -16                7        39042.984        472.56216       -900.11267          18714.9       -11865.612       -9887.4023
                7              -16                7        35845.324       -2532.7122        524.33295         14622.53       -12441.624       -8393.0195
                8              -16                7        32391.859       -4655.8755        1013.4607        8831.0059       -12286.501        -6764.668
                9              -16                7        29450.926       -5524.8291        518.63281        2616.1648       -11512.447       -5485.3862
               10              -16                7         27468.84       -5931.3037        121.86255        1050.9753       -10941.521       -5481.0747
               11              -16                7        25253.682       -6063.0254       -486.48181        182.07205       -10199.608       -4582.8696
               12              -16                7        22927.951       -5819.7935       -1318.0063       -878.90759       -9261.1357       -3009.5955
               13              -16                7        20851.059       -5422.9868       -2158.2954       -2083.6287       -8270.8789       -1516.2644
               14              -16                7            19023        -4872.605       -3007.3511       -3432.0925       -7228.8359       -102.87372
               15              -16                7        17443.771       -4168.6479       -3865.1709       -4924.2979       -6135.0068        1230.5746
               16              -16                7        16532.902       -3340.2153        -4556.104        -6650.751       -5126.7056        1228.7802
               17              -16                7        15901.681       -2473.2839       -5187.2896       -8312.9775       -4045.5713        815.90417
               18              -16                7        15433.901       -1572.6199       -5801.0649       -9861.5313       -2850.0344         312.5274
              -18              -15                7        14010.641       -1992.6982       -9509.9785       -10086.535       -1063.2242       -1356.2491
              -17              -15                7        14737.381       -1758.0942       -10045.277       -9337.2783       -572.66577       -2093.0007
              -16              -15                7        15759.926       -1088.3861       -10612.863        -9152.832        424.33902       -2641.6016
              -15              -15                7        17086.279        84.220398       -11216.503       -9464.3867        1916.2881       -3063.0239
              -14              -15                7        18549.125        1378.8179       -11754.546       -9704.5049        3493.7981        -3509.769
              -13              -15                7        20148.467         2795.408       -12226.989       -9873.1846        5156.8691       -3981.8381
              -12              -15                7        21884.297        4333.9893       -12633.839       -9970.4277        6905.5015       -4479.2295
              -11              -15                7        23756.625        5994.5669       -12975.091       -9996.2344        8739.6973       -5001.9468
              -10              -15                7        25688.734         7620.459       -13148.315        -9743.543          10466.8        -5457.875
               -9              -15                7        27560.801         9056.666       -13821.654       -8333.3662        11191.646       -5679.0425
               -8              -15                7        29972.963        11385.336       -17483.926       -4935.3643        9279.6777       -6147.4414
               -7              -15                7        32942.539        14166.738       -21688.033       -918.35352        5636.6855       -6950.8989
               -6              -15                7        36469.531        17400.869       -26433.967        3717.6755        262.66522       -8089.4126
               -5              -15                7        39974.891        19464.428       -24859.119        6780.9404        2313.2283       -10434.408
               -4              -15                7        43178.871        21047.387       -22753.244        9596.8213        3865.6204       -12529.068
               -3              -15                7        46168.109        22572.721       -20644.014        12423.405        4416.9053       -14623.617
               -2              -15                7        48942.598        24040.426        -18531.42        15260.688        3967.0815       -16718.047
               -1              -15                7         51547.91         22307.65        -15550.66        19681.549        369.83936       -17821.785
                0              -15                7        53707.969        19955.383       -12843.213        26408.039       -3188.4443        -20714.41
                1              -15                7        53620.953        13858.308        -8572.127        30249.941       -6765.2754       -21963.805
                2              -15                7        51576.375        11380.378        -7097.103        30227.662       -8838.8809       -21815.115
                3              -15                7        49220.223        8742.9834       -5523.6924        29281.172       -10411.348         -21057.4
                4              -15                7        46904.199        5940.5029       -3817.2808        28143.246       -11849.006        -20290.07
                5              -15                7        44628.309         2972.937        -1977.866        26813.893       -13151.853       -19513.129
                6              -15                7        41546.375       -578.35144         139.1429        24044.906       -14256.396        -17986.23
                7              -15                7         37111.43       -4194.7852        1937.4321        18411.217       -14775.739        -15194.46
                8              -15                7        33189.023       -6557.0098        2751.7651        12354.209        -14676.15       -12751.757
                9              -15                7        29779.137       -7665.0264        2582.1433        5873.8872       -13957.632       -10658.121
               10              -15                7        26975.648       -7790.4194        1726.1053        1891.2876       -12925.076         -9039.04
               11              -15                7        24335.867       -7636.5649        774.66675        858.41638       -11909.496       -7201.2178
               12              -15                7        21944.918       -7329.1357       -185.53699       -318.19669       -10842.131       -5443.3369
               13              -15                7        19802.803       -6868.1309        -1154.507       -1638.5516       -9722.9795       -3765.3994
               14              -15                7        17909.521       -6253.5518       -2132.2412       -3102.6482        -8552.043       -2167.4028
               15              -15                7        16265.077       -5485.3975       -3118.7397       -4710.4858       -7329.3208       -649.34753
               16              -15                7        14869.465        -4563.667       -4114.0059       -6462.0679        -6054.812        788.76672
               17              -15                7        14088.473       -3536.1265       -4935.4341         -8265.04       -4902.1621        994.78711
               18              -15                7        13644.998       -2477.5618       -5663.0698       -9953.0273       -3721.1177        604.72986
              -18              -14                7         11982.19       -2673.4136       -10422.436         -10540.4       -1502.9327       -1875.2269
              -17              -14                7        12887.633       -1994.2069       -11234.328       -10519.945       -470.48022       -2384.7251
