           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        635.02753        57.863243        17234.174        61675.996        4824.7627       -939.99603
              -17              -18                7         1844.911       -203.01495        17200.766        62023.555        4842.3091       -1579.2852
              -16              -18                7        3130.5972       -493.60272         17153.43        62131.801        4863.6836       -2158.7708
              -15              -18                7        4492.0845       -813.89972        17092.164        62000.715        4888.8862       -2678.4524
              -14              -18                7         5929.377        -1163.906        17016.969        61630.305         4917.917       -3138.3303
              -13              -18                7        7328.5537        -2005.236        16981.047        60791.906        4916.2065       -3583.0986
              -12              -18                7        8614.0371        -2873.436        16801.193        59535.992        4879.4414       -3736.6067
              -11              -18                7        9886.8018       -3254.3589         16470.08        58083.699        4849.9814       -3508.1382
              -10              -18                7        11192.327       -3575.1577        16128.563        56485.961        4836.3921       -3184.1558
               -9              -18                7        12530.612        -3835.833        15776.643        54742.777        4838.6719       -2764.6594
               -8              -18                7        14010.933       -4709.5513        14617.272        51756.664        4635.8652       -2349.0334
               -7              -18                7         15699.82       -5252.4932        13172.857        47445.066        4426.1416       -1810.2402
               -6              -18                7        17236.408       -5874.5674        11606.864        42491.578        4105.7505       -1380.5887
               -5              -18                7        18620.695        -6575.771        9919.2939        36896.191        3674.6904       -1060.0775
               -4              -18                7        19852.682       -7356.1055        8110.1465          30658.9        3132.9629       -848.70752
               -3              -18                7        20932.371       -8215.5713        6179.4219        23779.713        2480.5674       -746.47748
               -2              -18                7        21859.758        -9154.168        4127.1191        16258.621        1717.5038       -753.38934
               -1              -18                7         22610.98       -9944.6357        2124.7019        8037.8726        907.39752       -273.24121
                0              -18                7        22639.982       -9399.7549        125.85331       -921.97644         80.71241        333.22266
                1              -18                7        22083.512       -7375.6787       -2225.5994       -8815.9121       -777.31085         108.1947
                2              -18                7        21367.576       -6157.0962       -4379.3315       -16228.022       -1565.3221       -4.4136963
                3              -18                7        20513.979        -5209.687       -6422.1055       -23354.463       -2271.7141        81.877197
                4              -18                7        19522.727       -4533.4512       -8353.9199       -30195.236       -2896.4856        367.06702
                5              -18                7        18393.813       -4128.3872       -10174.779       -36750.348       -3439.6384        851.15601
                6              -18                7        17127.244       -3994.4951        -11884.68       -43019.793       -3901.1711        1534.1433
                7              -18                7        15723.016       -4131.7769       -13483.623        -49003.57       -4281.0845        2416.0303
                8              -18                7         14260.09       -3823.2583       -14875.032       -53858.297       -4605.5659         3187.229
                9              -18                7        12897.377       -2883.5603       -15555.315       -55529.422       -4790.6992        3299.7251
               10              -18                7        11498.635       -2749.1108       -16013.844       -57152.238       -4866.6104        3655.6304
               11              -18                7        10124.477       -2571.5408       -16446.469        -58664.82       -4938.8633        3981.8293
               12              -18                7        8773.2627       -2330.2734       -16844.342       -60064.754       -5005.6401         4256.749
               13              -18                7        7402.6162       -1486.5056       -16922.986       -61283.648       -5010.9727        3841.6379
               14              -18                7        5868.3965       -1346.4426       -17054.992       -61533.168       -4966.7036        3512.9937
               15              -18                7        4422.8223       -1148.1575       -17151.527       -61664.645        -4928.334        3094.1899
               16              -18                7        3066.0327       -891.25867       -17212.545       -61678.602       -4895.8926        2585.1631
               17              -18                7        1798.0286       -575.74622       -17238.037       -61575.031       -4869.3809        1985.9131
               18              -18                7        618.80914       -201.62012        -17228.01       -61353.949       -4848.7979        1296.4398
              -18              -17                7        562.23315        216.64128        15566.674            62332         4795.498       -2806.0715
              -17              -17                7        1755.5503         55.73777        15515.869         62700.09        4810.3589       -3419.6172
              -16              -17                7        3024.6702       -134.87489        15451.133        62828.855        4829.0474       -3973.3591
              -15              -17                7        4369.5923       -355.19696        15372.465        62718.293         4851.564       -4467.2969
              -14              -17                7        5686.7939       -964.79761        15336.345        62111.648        4844.4629       -4937.2388
              -13              -17                7         6958.043       -2131.8691        15329.102        61136.781        4810.5493       -5523.3188
              -12              -17                7        8271.2402       -3584.3542        15295.308        60066.555        4780.9746        -6237.543
              -11              -17                7        9546.2305       -4350.8569         15007.73        58697.191        4741.8828       -6315.3228
              -10              -17                7        10833.849       -4837.6387        14648.283        57133.973         4713.814         -6119.71
               -9              -17                7        12154.229       -5264.2969         14278.43        55425.309        4701.6152        -5828.584
               -8              -17                7        13477.846       -6980.9526        12967.702        53149.152        4341.9282       -6011.1729
               -7              -17                7        14856.852       -9150.9492        11583.985        49667.934        3965.1016       -5850.7271
               -6              -17                7        16291.061       -10533.429        10103.345        44497.711        3643.0889       -5321.3599
