           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         13833261         13575525        1160356.3       -628284.44       -90608.688       -181096.45
              -17              -18                7         13726704         13136006        3189342.5       -1941983.8       -233612.73       -493884.28
              -16              -18                7         13517660         12675214        5212705.5       -3379826.5       -413403.47       -760020.44
              -15              -18                7         13206127         12193153          7230445         -4941813       -629980.94       -979504.81
              -14              -18                7         12792107         11689817          9242563       -6627942.5       -883345.25       -1152337.4
              -13              -18                7         12188218         11311112         11075370         -8191762       -1334729.8       -1103864.9
              -12              -18                7         11422796         11081447         12403284         -9530428       -1699138.6       -953103.88
              -11              -18                7         10543228         10880313         13373796        -10837864       -1849171.4       -887128.06
              -10              -18                7          9578111         10704850         14267104        -12168376       -1989180.3          -833054
               -9              -18                7          8527444         10555057         15083211        -13521959       -2119164.8       -790881.69
               -8              -18                7          8838088          8850196         19028616        -15953281       -3409222.8       -390094.66
               -7              -18                7          8219948          7612148         21007742        -18102352       -3627436.3       -397402.88
               -6              -18                7          7430072          6426442         22818916        -20012800         -3798553       -424232.31
               -5              -18                7          6468461          5293080         24462130        -21684616         -3922572       -470582.97
               -4              -18                7        5335113.5          4212059         25937382        -23117806       -3999494.3        -536454.5
               -3              -18                7          4030031        3183380.5         27244678        -24312370       -4029318.3       -621848.25
               -2              -18                7        2553213.3        2207043.8         28384020        -25268304       -4012046.3       -726762.56
               -1              -18                7           820652        1444901.3         28599154        -25503162       -3443859.8       -1117635.1
                0              -18                7       -638301.56        584435.94         28196232        -25274646       -2324285.8       -1745620.5
                1              -18                7       -1384737.8       -1033243.8         26981166        -24178904       -760619.25       -2676172.3
                2              -18                7       -2443501.3       -2337622.5         26084172        -23351160       -525556.13       -2668816.8
                3              -18                7       -3549186.3       -3549755.3         25076134        -22411028       -434789.34       -2582789.3
                4              -18                7         -4701794         -4669642         23957052        -21358516       -488319.03       -2418089.5
                5              -18                7         -5901324       -5697284.5         22726920        -20193622       -686144.88       -2174717.3
                6              -18                7         -7147776         -6632681         21385744        -18916344       -1028266.6       -1852673.3
                7              -18                7         -8441151         -7475832         19933524        -17526682       -1514685.3       -1451956.5
                8              -18                7         -9454137         -8388901         18059276        -15992886         -1984989       -1124322.6
                9              -18                7         -9757298         -9308204         16232472        -14328545       -1858696.8       -1223805.5
               10              -18                7        -10363604         -9867102         15081298        -12718724       -1664616.8       -1300608.3
               11              -18                7        -10941514        -10396180         13877014        -11128689       -1464742.8       -1369666.4
               12              -18                7        -11496634        -10891103         12613443         -9563672       -1253989.8       -1431435.3
               13              -18                7        -12237760        -11232601         11138456       -8212541.5       -865025.25       -1489870.6
               14              -18                7        -12745946        -11766872          9147224       -6411475.5       -697395.75       -1242633.1
               15              -18                7        -13181808        -12255393        7157616.5       -4745756.5       -533271.69          -988186
               16              -18                7        -13545475        -12698038          5169955       -3215718.5       -372514.31       -726703.44
               17              -18                7        -13836946        -13094803        3184240.5       -1821361.9       -215123.83       -458185.34
               18              -18                7        -14056224        -13445690        1200472.9       -562685.94       -61100.148       -182631.81
              -18              -17                7         15119912         12826640        1022686.2       -498384.72        -128120.2       -110001.76
              -17              -17                7         14991313         12357524          3013562       -1749344.5       -280262.91          -421750
              -16              -17                7         14760228         11867136          4998814       -3124447.8       -469192.25       -686846.44
              -15              -17                7         14426651         11355476          6978444         -4623695       -694908.44       -905291.44
              -14              -17                7         13883550         10938980          8771290       -6018224.5       -1106404.3       -918836.81
              -13              -17                7         13220546         10639440         10432352       -7282173.5       -1681636.8       -737766.88
              -12              -17                7         12562896         10358408         12142987         -8614434         -2278805       -508530.59
              -11              -17                7         11758168         10141326         13363399         -9916867         -2460588       -415751.31
              -10              -17                7         10837251          9961126         14377787        -11221265       -2520611.5       -377194.28
               -9              -17                7          9830786          9806597         15314972        -12548738         -2570611       -350539.06
               -8              -17                7         10743323          7426946         20148992        -14860138       -4926903.5        530135.25
               -7              -17                7         10434152          5656452         23473872        -16994906         -6314958        1317451.8
               -6              -17                7          9311842        4603021.5         25405530        -18958250       -6780767.5        1646285.9
               -5              -17                7          8017796        3601932.5         27169230        -20682972         -7199480        1955598.5
               -4              -17                7        6552015.5        2653185.5         28764976        -22169064       -7571095.5        2245390.5
               -3              -17                7        4914498.5          1756781         30192760        -23416528       -7895613.5        2515660.5
               -2              -17                7          2970491        1638378.4         30440952        -23439438       -5350786.5        998043.31
               -1              -17                7          1117179        1229889.1         30587406        -23410340       -2872785.5       -699403.88
                0              -17                7       -408173.19        710502.75         30339668        -23505256       -2740792.3       -763933.63
                1              -17                7         -1662241       -595934.06         29260232        -22694812       -1810878.3       -1315470.1
                2              -17                7         -3008256         -1759317         28151080        -21858280       -1570243.3       -1370724.1
                3              -17                7       -4401193.5       -2830454.3         26930884        -20909368         -1473905       -1347305.5
                4              -17                7         -5841053       -3809346.5         25599644        -19848070         -1521862       -1245215.4
                5              -17                7         -7327835         -4695992         24157354        -18674388       -1714116.3       -1064452.5
                6              -17                7         -8861539         -5490393         22604024        -17388324       -2050666.1       -805017.63
                7              -17                7        -10442166         -6192549         20939646        -15989877         -2531513        -466910.5
                8              -17                7        -10759177         -7459127         18250544        -14522716       -2379355.5       -710121.38
                9              -17                7        -10694793         -8729430         15694646        -12937777       -2184553.5       -886546.94
               10              -17                7        -11289657         -9263041         14488122        -11398160       -2040803.9       -946278.63
               11              -17                7        -11856126         -9766830         13228492         -9878331       -1891260.8       -998265.69
               12              -17                7        -12492546        -10153700         11753583         -8505241       -1581992.4       -1063916.1
               13              -17                7        -13181111        -10519325         10260091         -7225677       -1216416.5       -1108930.3
               14              -17                7        -13903690        -10888568          8796334       -6012898.5       -831235.94       -1126012.9
               15              -17                7        -14386375        -11388668          6895748       -4454831.5       -617810.56       -898536.13
               16              -17                7        -14771088        -11859920          4945366         -2981968       -428381.34       -638271.94
               17              -17                7        -15083607        -12285293        2996931.5       -1644786.1          -242319       -370972.38
               18              -17                7        -15323930        -12664788        1050443.3       -443284.88       -59623.398       -96637.266
              -18              -16                7         16264846         12193160        914024.13       -392285.03       -204823.16       -37833.164
              -17              -16                7         16114204         11694447        2866789.8       -1580505.6       -366104.38       -348541.88
              -16              -16                7         15861075         11174463        4813931.5       -2892869.3       -564172.38       -612598.81
              -15              -16                7         15378873         10720340          6566859       -4118011.5       -935845.63       -688072.44
              -14              -16                7         14757862         10356436          8180036       -5227689.5       -1460721.4       -583291.31
              -13              -16                7         14142205         10011040          9842784         -6405677       -2007532.5          -430344
              -12              -16                7         13531900          9684149         11555098       -7651973.5         -2576279       -229230.13
              -11              -16                7         12919848          9378887         13298153         -8964072       -3147960.5        12542.125
              -10              -16                7         12043132          9193950         14433619        -10242358       -3127998.8        35582.047
               -9              -16                7         11306696          8803823         15820449        -11610705       -3381715.8        131095.16
               -8              -16                7         12161166          6310112         19871772        -13456692         -6122245          1217404
               -7              -16                7         12020920        4012109.3         23076242        -14978003         -8424878          2640057
               -6              -16                7         10762374          2686144         25303964        -16733834         -9592189        3639112.5
               -5              -16                7          9135895        1817329.4         27188152        -18511454        -10305595          4304089
               -4              -16                7        7283414.5        1506160.3         28832322        -19723128         -9747990        4261709.5
               -3              -16                7          5303919        1580379.5         30145398        -20383038       -7602936.5        3119568.3
               -2              -16                7          3292218        1419878.5         31175248        -20858714         -5115197        1501991.5
               -1              -16                7        1630664.8        806920.81         32284052        -21514810       -3763671.5           421532
                0              -16                7       -187937.94           514790         31927192        -21606762       -3496595.8        257937.75
                1              -16                7       -1904315.9       -153265.25         31031928        -20996872       -3235346.8        140121.13
                2              -16                7       -3537583.8       -1175652.6         29710616        -20151554       -2989140.5        22258.375
                3              -16                7         -5217773       -2105794.8         28278264        -19193856         -2887230       -16932.625
                4              -16                7       -6944885.5       -2943690.8         26734866        -18123772         -2929616        22548.688
                5              -16                7         -8718920         -3689341         25080422        -16941304         -3116298        140702.38
                6              -16                7        -10539876         -4342746         23314930        -15646455       -3447276.5           337528
                7              -16                7        -11736891       -5246623.5         21113424        -14398574         -3358904        132402.56
                8              -16                7        -12061938         -6518692         18466086        -13099615       -2960465.3       -264678.03
                9              -16                7        -11789340         -8016770         15530829        -11648836         -2554473       -569270.44
               10              -16                7        -12203167         -8680216         14007980        -10171087       -2416252.3       -640811.13
               11              -16                7        -12773257         -9107757         12556012         -8789187       -2198476.3       -703395.13
               12              -16                7        -13375254         -9493898         11014273         -7514403       -1875893.3       -762920.81
               13              -16                7        -14011259         -9883654          9502272         -6306405         -1533706       -794514.31
               14              -16                7        -14681280        -10277026          8020006         -5165193         -1171914       -798175.94
               15              -16                7        -15385310        -10674014        6567477.5       -4090765.8       -790517.25       -773905.25
               16              -16                7        -15850224        -11149608          4752130       -2763901.8        -536974.5        -558746.5
               17              -16                7        -16183788        -11603590          2840975         -1483894       -322240.19       -292665.25
               18              -16                7        -16445156        -12011693           931767       -339567.63       -110872.71       -19548.641
              -18              -15                7         17268060         11675086        834369.94       -309985.34       -320717.25         35409.25
              -17              -15                7         17095378         11146776          2749025       -1435466.1       -491137.22       -274259.81
              -16              -15                7         16674186         10655191          4462078       -2491125.3       -823054.88       -411571.19
              -15              -15                7         16095170         10226924        6027369.5         -3446531       -1297573.9       -383079.13
              -14              -15                7         15521504          9817164          7642230       -4470245.5       -1794028.3       -306420.56
              -13              -15                7         14953193          9425910          9306659         -5562270       -2312417.8       -181595.75
              -12              -15                7         14390235          9053161         11020658         -6722603       -2852743.3       -8604.5625
              -11              -15                7         13832631          8698918         12784230         -7951248       -3415004.3        212553.28
              -10              -15                7         13195754          8403323         14434602         -9231652       -3811341.8        405275.06
               -9              -15                7         12822261          7641887         16198764        -10563482         -4525756        658337.88
               -8              -15                7         13470878        5175695.5         19203976        -11875740         -7497584        1907656.8
               -7              -15                7         13124783          2905212         21362340        -12863318        -10031516        3493320.8
               -6              -15                7         11783970        830437.38         22673858        -13526222        -12127548        5415327.5
               -5              -15                7          9814257        1159734.3         25309338        -14904874        -10991241        5368442.5
               -4              -15                7        7818554.5        1343320.5         27780518        -16300026         -9507208          4753478
               -3              -15                7          5790648        1292185.6         29968484        -17510948       -7680491.5        3663081.5
               -2              -15                7          3730536        1006330.4         31873228        -18537640         -5511091        2097248.8
               -1              -15                7        2070916.5        376413.13         33223484        -19428468         -5724676        2074217.8
                0              -15                7       -27679.625        356956.56         32762816        -19491384       -5362693.5        1889511.5
                1              -15                7       -2073140.4        211797.72         32101416        -19040278         -5186867          1775868
                2              -15                7         -4031482       -586628.63         30762786        -18230980         -4782247        1510129.8
                3              -15                7       -5998923.5       -1375774.9         29118276        -17264494       -4674764.5        1408329.5
                4              -15                7         -8013288       -2072675.5         27362718        -16185626       -4711578.5        1385201.8
                5              -15                7        -10074574       -2677330.3         25496118        -14994373         -4892689        1440746.3
                6              -15                7        -11944745         -3315919         23502580        -13842699       -4902655.5        1304981.8
                7              -15                7        -12952403       -4328752.5         21248198        -12859052         -4319262           712250
                8              -15                7        -13362416         -5567597         18705898        -11723586         -3728317        212006.42
                9              -15                7        -13174783       -7032451.5         15875678        -10436297       -3129818.5       -195748.73
               10              -15                7        -13079899       -8094775.5         13545738         -9064379       -2714476.5       -408308.19
               11              -15                7        -13595325         -8501429         11955757         -7794376         -2434887          -482345
               12              -15                7        -14144761         -8911700         10395509         -6591158       -2135692.8       -528449.81
               13              -15                7        -14728207         -9325584          8864998       -5454726.5       -1816893.9       -546622.44
               14              -15                7        -15345666         -9743086          7364225         -4385080       -1478490.5          -536863
               15              -15                7        -15997137        -10164203          5893188       -3382220.5       -1120482.5       -499171.47
               16              -15                7        -16682618        -10588936          4451887       -2446144.8       -742869.44       -433548.06
               17              -15                7        -17137488        -11049694          2716372       -1338686.3       -454887.56       -223264.09
               18              -15                7        -17419904        -11486406        844443.56       -251534.31       -214848.13        48634.156
              -18              -14                7         18129556         11272417        783723.25       -251485.34       -475802.84        109725.73
              -17              -14                7         17769492         10743534        2456948.5       -1137565.6       -768031.88       -89333.375
              -16              -14                7         17232468         10250904          3974353       -1938698.5       -1192193.6       -137130.25
              -15              -14                7         16700797          9776780          5541327         -2808141         -1638291       -136760.64
              -14              -14                7         16174480          9321162          7157871         -3745893       -2106323.8       -88224.688
              -13              -14                7         15653516          8884050          8823985         -4751955       -2596292.8        8477.7188
              -12              -14                7         15137903          8465443         10539668       -5826325.5       -3108196.5        153346.39
              -11              -14                7         14627644        8065343.5         12304920       -6969007.5       -3642036.3        346381.56
              -10              -14                7         14122737          7683749         14119740       -8179996.5       -4197811.5        587582.88
               -9              -14                7         14229697          6462370         16186512         -9338756         -5849794        1188565.3
               -8              -14                7         14672464          4023697         18145614        -10117283         -9052919        2600894.8
               -7              -14                7         14120515        1780732.9         19257866        -10571130        -11818147          4349568
               -6              -14                7         12533702        959587.13         20871762        -10737408        -12260407          5528712
               -5              -14                7         10514398        927200.19         23346320        -11190402        -11063603          5899776
               -4              -14                7          8470283        985432.44         26692398        -13136574         -9897908        5336555.5
               -3              -14                7          6393965        808943.63         29755256        -14898513         -8389528        4297901.5
               -2              -14                7          4146919        483133.84         31911358        -16233226       -7649171.5          3563568
               -1              -14                7          2448338       -32506.281         33532316        -17143894         -8170975        3840732.5
                0              -14                7         89227.25        233911.84         32906220        -17121110         -7711094          3658624
                1              -14                7         -2269694        357910.38         31986780        -16734037       -7893147.5        3720569.8
                2              -14                7         -4489953        7754.5938         31307584        -16096554         -6949564        3092891.5
                3              -14                7       -6744648.5       -640395.69         29450914        -15121281         -6836510        2928482.5
                4              -14                7         -9046264       -1196300.8         27483202        -14033629         -6867752        2842744.8
                5              -14                7        -11382744       -1667012.4         25418028        -12855098         -7010610        2807616.8
                6              -14                7        -13073014         -2420611         23556594        -12186758         -6242263          2019234
                7              -14                7        -14165636       -3400220.5         21407246        -11366602         -5466363        1323339.4
                8              -14                7        -14660614         -4605841         18969982        -10394625         -4682911        719932.88
                9              -14                7        -14258780         -5998667         16340401         -9323865       -5869833.5        1037918.1
               10              -14                7        -14513161       -7309540.5         13817457       -7892209.5         -4250578       -125988.07
               11              -14                7        -14304191       -7972705.5         11476046         -6867157         -2637196          -327819
               12              -14                7        -14801067         -8407104          9897292       -5735506.5       -2361390.8       -360502.88
               13              -14                7        -15331953         -8845119        8348274.5       -4670641.5       -2065980.8       -365254.56
               14              -14                7        -15896853         -9286750          6828991       -3672561.3       -1750965.8       -342074.28
               15              -14                7        -16495763         -9731997        5339446.5       -2741267.5       -1416346.3       -290961.97
               16              -14                7        -17128684        -10180859        3879635.8         -1876758       -1062121.5       -211917.52
               17              -14                7        -17795616        -10633337        2449562.8       -1079034.8       -688292.69       -104940.97
               18              -14                7        -18248172        -11088924        788473.63       -179184.81       -371549.53        107911.03
              -18              -13                7         18664786         10985367           551469       -57332.406       -770776.19           278641
              -17              -13                7         18169756         10428375          2020987       -704192.63       -1144581.1        154555.28
              -16              -13                7         17680080          9889886        3540074.5       -1419362.5       -1540321.6        78635.922
              -15              -13                7         17195756          9369906          5108732       -2202842.3       -1957997.5        50882.953
              -14              -13                7         16716784          8868429        6726958.5       -3054631.5       -2397609.3        71296.375
              -13              -13                7         16243166        8385459.5          8394756         -3974730       -2859156.5         139876.2
              -12              -13                7         15774900          7920996         10112122       -4963138.5         -3342639        256622.41
              -11              -13                7         15311988        7475038.5         11879059       -6019856.5       -3848057.8           421535
              -10              -13                7         15161445        6892177.5         13905077         -7017113       -5176296.5        640776.69
               -9              -13                7         15529004          5265270         15783689         -7936522       -7353829.5        1721777.3
               -8              -13                7         15765918        2854115.8         16696680       -8181317.5        -10788252        3297116.8
               -7              -13                7         14923251        1156417.5         17471346         -8225170        -13077404          4916565
               -6              -13                7         13297715        921409.69         19901970         -8546793        -12889134        5675463.5
               -5              -13                7         11375419        658647.13         22392132         -8962702        -12081978          6137414
               -4              -13                7          9238602        432496.06         25567962        -10232772        -10920088        6010940.5
               -3              -13                7          7113872        130653.09         29505712        -12545724         -9730048          5024030
               -2              -13                7        4445818.5        -31765.68         31243040        -13775594        -10755531          5431672
