           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -51289.688       -109012.82       -4281025.5       -2260122.3        465262.09       -314575.38
              -17              -18                7       -120526.66       -124297.13       -4363596.5       -2598310.3        439834.22       -288628.09
              -16              -18                7       -177301.17       -132049.03       -4430500.5       -2964045.8        441688.34       -258321.97
              -15              -18                7       -221613.25        -132268.5       -4481736.5       -3357328.3        470824.66       -223657.11
              -14              -18                7       -253462.94       -124955.55       -4517304.5       -3778158.8        527242.94       -184633.38
              -13              -18                7       -194114.09       -61385.355       -4416685.5       -4144287.3        589848.56       -37591.844
              -12              -18                7         8315.375         15335.93       -4045745.5       -4391403.5        655302.63         90078.93
              -11              -18                7        301829.34        74441.297       -3544505.5         -4601359        708780.25        122389.98
              -10              -18                7        635718.69         146239.2       -3005317.5       -4826720.5        745803.75        147507.83
               -9              -18                7        1009983.4        230729.66         -2428181         -5067489           766373        165432.45
               -8              -18                7        106803.03       -6653.4438         -3422752       -5723140.5        948281.56        315438.09
               -7              -18                7       -95724.852       -63960.086       -3424585.3       -6277569.5          1186624        356144.13
               -6              -18                7       -206442.61       -98614.094       -3433497.5         -6780566        1364247.1        387200.56
               -5              -18                7       -225350.17       -110615.37       -3449488.3       -7232128.5          1481151        408607.28
               -4              -18                7       -152447.69       -99963.984         -3472556       -7632256.5          1537336        420364.47
               -3              -18                7            12265       -66659.906         -3502704       -7980951.5        1532801.3        422471.81
               -2              -18                7        268787.75       -10703.162       -3539929.5       -8278213.5        1467547.5        414929.56
               -1              -18                7        499258.25        112781.38       -2893762.5         -8419993        1161167.1        327569.44
                0              -18                7        237437.34        209522.86       -2530398.3         -8556157        808118.06        172666.64
                1              -18                7       -109088.73        91561.563         -2134825         -8404505         73393.75       -223396.69
                2              -18                7        -249451.5        71898.039       -2014776.5         -8340382       -39820.125       -275722.25
                3              -18                7       -299663.53        73361.078       -1886584.9         -8251168       -66516.125       -283764.72
                4              -18                7       -259724.94        95950.648       -1750249.4         -8136864         -6694.25       -247523.91
