           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        888894.63       -1810439.5       -573534.19       -96202.648          8086000        1865566.5
              -17              -18                7          2161179       -1747654.5       -850623.38       -82061.898          8106213        1927130.3
              -16              -18                7          3474069       -1683812.6         -1070697       -69994.602          8117549        1987868.9
              -15              -18                7          4827563       -1618913.4       -1233754.9       -60000.727        8120005.5        2047782.9
              -14              -18                7          6221662       -1552957.5       -1339796.9        -52080.25          8113584        2106871.8
              -13              -18                7          7579189       -1471253.6       -1341568.3       -24672.797          7975977        2174913.5
              -12              -18                7          8777763       -1344261.9       -1246746.4        -15120.73        7654771.5          2290540
              -11              -18                7          9902282       -1190421.3       -1105617.5       -22485.242          7273185          2428481
              -10              -18                7         11030058       -1032659.3       -935404.19       -26798.195          6871319        2563231.3
               -9              -18                7         12161090       -870975.88       -736106.25       -28059.588          6449171          2694791
               -8              -18                7         13657280       -772943.63       -1207829.1       -181028.36        5897186.5          2847422
               -7              -18                7         15158757       -707805.38       -757966.31       -157914.61        5280296.5        3021543.5
               -6              -18                7         16500209       -627568.06       -432585.25       -145105.91        4662551.5        3179026.3
               -5              -18                7         17681634       -532231.63       -231686.28       -142602.22          4043952          3319870
               -4              -18                7         18703032       -421795.81       -155269.41       -150403.55        3424496.5        3444074.8
               -3              -18                7         19564406       -296260.91       -203333.69       -168509.81          2804185        3551640.8
               -2              -18                7         20265750        -155626.8       -375880.19       -196921.17        2183018.3        3642567.5
               -1              -18                7         20794154         7033.125       -356213.78       -237238.42          1538483        3659324.5
                0              -18                7         20953116        164797.98        297831.69       -240074.72        389083.97        3636950.8
                1              -18                7         20714288        321705.66        301677.19       -171036.97       -399501.97        3571932.8
                2              -18                7         20296296        487052.31        314528.75       -123224.44         -1159703          3531445
                3              -18                7         19685654        634276.88        388973.16       -84442.609       -1903750.5        3477426.3
                4              -18                7         18882364        763379.44        525010.31       -54691.359       -2631644.5          3409879
                5              -18                7         17886424        874360.13        722640.38       -33970.703       -3343385.5        3328800.8
                6              -18                7         16697833        967218.75        981862.81       -22280.477       -4038972.5        3234193.5
                7              -18                7         15316595        1041955.3        1302678.5       -19621.002       -4718406.5        3126055.5
                8              -18                7         13625858        1080974.8        1479764.9        20938.934         -5358292        3045251.8
                9              -18                7         12115827          1159759        1281034.3        77088.625         -5872894          3010018
               10              -18                7         10974861        1311303.5        1315371.3        47983.223       -6348644.5          2917501
               11              -18                7          9844277        1455555.8        1358939.5        20640.285         -6786365        2815803.5
               12              -18                7          8718862        1591944.1        1412089.1       -5144.1367       -7185917.5        2706128.8
               13              -18                7        7408064.5        1705867.3        1470254.6       -49431.785         -7539434        2636080.8
               14              -18                7          5946481        1764993.5        1385622.3        -59084.32         -7642747          2602358
               15              -18                7          4523239        1819468.3        1256257.5       -66236.883         -7735529          2566364
               16              -18                7          3138427        1869323.3        1082226.9       -70917.219       -7817913.5        2528079.5
               17              -18                7        1792047.8        1914557.5        863530.25       -73125.297         -7889900          2487504
               18              -18                7         484100.5        1955172.1        600167.81       -72861.094       -7951489.5        2444638.3
              -18              -17                7        615988.38       -1807942.5       -1863824.5       -402348.22          8342543        1926084.5
              -17              -17                7        1919123.4       -1739333.3       -2129766.8       -369489.94          8361926        1980228.1
              -16              -17                7          3262863       -1669667.3       -2338693.3       -338705.09        8372431.5        2033546.8
              -15              -17                7        4647207.5         -1598944         -2490604       -309993.63          8374059        2086040.6
              -14              -17                7        5984041.5       -1525391.9       -2548657.5       -258866.28        8261780.5        2142917.5
