           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         14569781         10954143        811669.19       -550545.75       -45164.875       -94105.039
              -17              -18                7         14407975         10598031        2218027.8       -1685939.3       -94869.625       -248113.06
              -16              -18                7         14148328         10223428          3599123         -2926752       -159597.08       -358569.75
              -15              -18                7         13790840          9830332        4954953.5       -4272982.5       -239347.17       -425475.22
              -14              -18                7         13335510          9418746        6285520.5         -5724632       -334120.03       -448829.34
              -13              -18                7         12758580          9111566          7515132         -7078574       -552371.69       -287181.75
              -12              -18                7         12087996          8936814          8400973         -8244424        -689888.5       -45937.594
              -11              -18                7         11326682          8793264          8998885         -9380624       -671586.56           120600
              -10              -18                7         10500584          8673690          9527408        -10535808       -651482.06        276406.63
               -9              -18                7          9609700          8578090          9986539        -11709978       -629575.19        421482.38
               -8              -18                7          9411554          7153682         12724433        -13873750       -1543820.1        872735.75
               -7              -18                7          8596646        6131315.5         13987939        -15731438       -1531580.3        1009825.1
               -6              -18                7          7657838        5157879.5         15149566        -17387242       -1512443.3        1111863.4
               -5              -18                7          6595128          4233374         16209310        -18841160       -1486408.8        1178850.3
               -4              -18                7          5408514          3357799         17167170        -20093190       -1453476.9          1210786
               -3              -18                7        4097998.5        2531154.5         18023152        -21143340       -1413647.1        1207670.1
               -2              -18                7        2663581.3          1753440         18777250        -21991600       -1366920.5        1169503.3
               -1              -18                7        1045864.7        1164240.6         18975464        -22212902       -945511.88        864114.75
                0              -18                7       -412411.97        500278.16         18695526        -22011142       -133808.77        322366.44
                1              -18                7       -1419246.5       -823989.19         17905812        -21039606        912506.06       -512328.75
                2              -18                7       -2605578.5       -1877077.4         17292192        -20307842        1054659.3       -550973.63
                3              -18                7       -3805538.5       -2855510.3         16606899        -19479516        1080269.8       -536461.63
                4              -18                7         -5019126       -3759287.5         15849930        -18554630        989337.25       -468792.84
                5              -18                7       -6246344.5       -4588411.5         15021288        -17533182        781861.94       -347967.28
                6              -18                7       -7487190.5       -5342878.5         14120969        -16415168        457843.91       -173985.41
                7              -18                7         -8741665       -6022691.5         13148978        -15200596        17282.803        53153.668
                8              -18                7         -9780474         -6773104         11868566        -13847430       -451372.44        221605.14
                9              -18                7        -10255531       -7533941.5         10689519        -12381783       -517452.84        46315.813
               10              -18                7        -10901826         -7973139         10044946        -10992773       -494392.94          -128837
               11              -18                7        -11514986         -8389296          9349354         -9619242       -467533.22       -298420.81
               12              -18                7        -12098412         -8778952          8595097       -8265623.5       -432062.25       -462893.38
               13              -18                7        -12788786         -9046807          7580964       -7093071.5       -231746.33       -626857.25
               14              -18                7        -13331614         -9481700          6286928         -5543965       -182826.44       -538013.06
               15              -18                7        -13797990         -9879040        4969777.5         -4108948       -135580.16       -440816.75
               16              -18                7        -14187991        -10238719          3629682         -2788300       -89912.578       -335411.09
               17              -18                7        -14501616        -10560733        2266642.8       -1582021.4       -45823.707       -221795.97
               18              -18                7        -14738863        -10845086        880659.38       -490112.03       -3313.5508       -99971.438
              -18              -17                7         15446941         10325853        723419.75       -441009.66       -55788.484       -41979.742
              -17              -17                7         15262148          9944498          2114231         -1522663       -103516.59       -198311.41
              -16              -17                7         14979515          9544649        3479778.5       -2709734.5       -166267.36       -311091.84
              -15              -17                7         14599037          9126309        4820061.5       -4002224.8       -244040.84       -380320.97
              -14              -17                7         14074486          8786045          6046458       -5211481.5       -434762.94       -277621.69
              -13              -17                7         13486117          8543420          7217727         -6316245       -729872.44       -12922.875
              -12              -17                7         12901196          8317249          8432683         -7480484       -1038048.3        294467.84
              -11              -17                7         12201938        8155739.5          9250163         -8614546       -1040331.8        480439.81
              -10              -17                7         11414014          8030107          9893956         -9748220       -958439.19         618065.5
               -9              -17                7         10561304          7928450         10468358        -10900881       -874744.25        744960.31
               -8              -17                7         10684835          5926193         13930102        -12989184         -2572572        1588715.5
               -7              -17                7          9983429          4450045         16230169        -14886557       -3376783.8        2368059.5
               -6              -17                7          8817652          3590653         17486896        -16594396       -3488909.8        2772182.8
               -5              -17                7          7527973        2780190.3         18641746        -18100348       -3594138.3        3141254.8
               -4              -17                7        6114392.5          2018658         19694714        -19404418       -3692470.3        3475275.8
               -3              -17                7        4576908.5        1306056.4         20645800        -20506600       -3783903.8          3774245
               -2              -17                7        2946351.3        1260586.9         21067750        -20559992       -1949933.1          2491551
               -1              -17                7          1249463        973200.19         21332848        -20566578       -249687.94        1050574.3
                0              -17                7       -221219.27        594197.63         21100832        -20633240       -68595.063        1022125.1
                1              -17                7       -1576634.3       -451176.19         20331612        -19906900        520045.94        520188.25
                2              -17                7       -2970460.5       -1377217.9         19532612        -19159946           639647        431873.56
                3              -17                7       -4377915.5         -2228604         18661936        -18316430           642705         396715.5
                4              -17                7         -5798999       -3005335.5         17719590        -17376352         529220.5        414713.81
                5              -17                7       -7233710.5       -3707411.8         16705564        -16339712        299192.88        485869.38
                6              -17                7         -8682051         -4334833         15619866        -15206512       -47377.238        610181.19
                7              -17                7        -10144023         -4887600         14462493        -13976747       -510490.66        787650.06
                8              -17                7        -10695286       -5952012.5         12497720        -12641478       -627132.63        515841.31
                9              -17                7        -10936042       -7032543.5         10686390        -11211711       -692779.31        289504.22
               10              -17                7        -11563736         -7452275          9967216         -9881300       -708549.31        132891.77
               11              -17                7        -12158294         -7848967          9197022         -8566369       -720519.38       -18151.469
               12              -17                7        -12772393         -8155247          8176980       -7374400.5          -590393       -184732.81
               13              -17                7        -13417894         -8446057          7126027       -6262176.5          -414122       -333777.53
               14              -17                7        -14087437         -8740726          6100966       -5207262.5       -225015.81       -458174.03
               15              -17                7        -14592954         -9147917          4828589       -3863855.5       -150341.77        -379934.5
               16              -17                7        -15005801         -9531950          3504635       -2592495.8       -91010.563       -272364.53
               17              -17                7        -15342270         -9878320          2157737       -1435505.8       -33258.109       -156585.14
