           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -237730.95        141992.38       -3858554.5         -3569401         -7239060        7107174.5
              -17              -18                7       -295935.75        141757.55       -3868556.5       -3656942.5         -7263384          7132196
              -16              -18                7       -360203.81         160963.5       -3867433.8       -3713642.8         -7240987          7106579
              -15              -18                7       -430535.09        199610.22       -3855185.5       -3739500.8         -7171870          7030322
              -14              -18                7       -506929.63        257697.72       -3831812.5       -3734517.5       -7056030.5          6903425
              -13              -18                7       -620775.31        350762.94       -3771351.8       -3693785.5         -6887630          6711772
              -12              -18                7       -805345.13        515980.75         -3683751         -3588522       -6659658.5        6456306.5
              -11              -18                7       -1019959.4        733794.63       -3588418.5         -3430186         -6385298          6149611
              -10              -18                7       -1227125.3        960931.63       -3460631.5       -3248363.5         -6078528        5805625.5
               -9              -18                7         -1426843        1197391.9       -3300389.5       -3043054.3       -5739348.5          5424351
               -8              -18                7       -1462052.1          1158616       -3075264.3       -3252400.8       -5142835.5          5066771
               -7              -18                7       -1622083.8        1282523.3       -2854134.8       -2886693.5       -4669771.5          4702913
               -6              -18                7         -1782690        1412720.5       -2576099.5       -2527486.5         -4134767        4273376.5
               -5              -18                7       -1943870.8          1549208       -2241158.8         -2174780       -3537821.5          3778161
               -4              -18                7         -2105626        1691985.8       -1849312.4       -1828573.9       -2878935.8        3217266.3
               -3              -18                7       -2267955.8        1841053.8       -1400560.5       -1488868.1       -2158109.3        2590691.8
               -2              -18                7         -2430860          1996412       -894902.75       -1155662.8       -1375342.5        1898438.1
               -1              -18                7         -2482542        2121603.8       -451429.94        -613169.5        -680868.5        1039750.6
                0              -18                7       -2465363.5        2065607.4       -143921.59        158218.02       -9448.9063       -13555.285
                1              -18                7       -2360987.5          2053010         305186.5        618328.88           762214       -732677.44
                2              -18                7       -2259475.5        1992126.8        717183.75        1064945.3        1486601.3       -1479225.4
