           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        2697636.5          5638051        2892858.3       -187052.03        192255.88       -147182.27
              -17              -18                7          3026928          5454248          8144685       -594914.44         331216.5       -369906.56
              -16              -18                7          3251606        5260564.5         13499034       -1044711.7         342139.5       -581106.06
              -15              -18                7        3371669.3          5057000         18955904       -1536443.6        225025.02       -780780.75
              -14              -18                7        3387118.3        4843555.5         24515292       -2070110.4       -20127.174       -968930.75
              -13              -18                7        2862332.3          4670202         29464540       -2559184.3       -871323.31       -1082289.3
              -12              -18                7        1903914.3          4538577         33110606       -2980603.5         -1651667       -1150162.3
              -11              -18                7        807655.13        4406118.5         36106228       -3402860.5       -1936410.1       -1238620.3
              -10              -18                7       -451266.88          4277777         38997824       -3834900.8         -2176789       -1329513.3
               -9              -18                7       -1872852.6        4153550.8         41785396       -4276723.5       -2372803.3       -1422841.5
               -8              -18                7        1246720.3        3551053.5         51126032         -4929212       -4782646.5       -1419839.5
               -7              -18                7        2053005.4          3080596         56651980         -5593371         -5196785       -1563700.9
               -6              -18                7        2501207.5        2621467.8         61643536         -6177487         -5499358         -1693896
               -5              -18                7        2591326.5        2173668.5         66100680       -6681560.5         -5690363       -1810424.8
               -4              -18                7        2323362.8          1737198         70023416       -7105589.5         -5769803         -1913287
               -3              -18                7        1697314.9        1312056.9         73411744         -7449576         -5737673       -2002482.9
               -2              -18                7        713184.13         898244.5         76265656       -7713519.5       -5593978.5       -2078012.5
               -1              -18                7          -868233        548225.31         76528096         -7768484       -4173112.5       -2216370.3
                0              -18                7       -1655502.4        172284.11         75595464       -7707838.5       -1598779.9       -2397749.8
                1              -18                7       -495831.06       -434780.53         72478864         -7400190        2177893.8       -2640396.3
                2              -18                7       -275303.34       -949245.63         70274928         -7164282        2557270.3       -2591504.8
                3              -18                7       -277605.06       -1431889.6         67763088       -6893244.5        2587266.3       -2505626.3
