           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -88047.031          -133686         -3756571        2630282.8         -6469388       -7349008.5
              -17              -18                7       -221225.23       -194525.59         -3717001        2725888.5       -6518927.5         -7394821
              -16              -18                7       -336288.94       -266042.53       -3673000.3        2792755.5         -6547754         -7411432
              -15              -18                7          -433238       -348236.78         -3624568        2830883.8       -6555867.5         -7398841
              -14              -18                7       -512072.56       -441108.38         -3571705        2840273.8         -6543267       -7357047.5
              -13              -18                7       -606201.13       -540126.25         -3522283          2809241         -6338173         -7284418
              -12              -18                7        -779296.5       -659439.13       -3477318.5        2726889.5         -6101789         -7138962
              -11              -18                7       -1006426.9       -806366.13         -3413234        2605368.5         -5952059         -6931792
              -10              -18                7       -1236608.5       -964926.19       -3334574.8        2461111.5         -5776679         -6701299
               -9              -18                7       -1469841.5       -1135119.3       -3241341.8          2294119         -5575647       -6447481.5
               -8              -18                7       -1302247.6         -1144260         -2586582        2441934.8       -4938950.5         -6071558
               -7              -18                7       -1414917.1       -1288303.5       -2576644.3        2245820.5         -4609455         -5731132
               -6              -18                7       -1568130.3       -1445648.4       -2449013.8        2024445.9       -4195570.5         -5270233
               -5              -18                7       -1761887.1       -1616294.3       -2203690.8        1777810.4       -3697296.5         -4688862
               -4              -18                7       -1996187.9       -1800241.4       -1840674.6        1505914.3       -3114633.8       -3987017.5
               -3              -18                7       -2271032.3         -1997490         -1359966        1208757.1       -2447582.3       -3164701.5
               -2              -18                7       -2586420.5       -2208039.8       -761564.56         886339.5       -1696141.4       -2221912.5
               -1              -18                7       -2771625.5         -2435532       -350271.25        420111.94       -992493.81       -1115659.3
                0              -18                7       -2543336.8       -2413778.3       -155608.98       -114086.63         -22128.5         106762.3
                1              -18                7       -2382269.5       -2321548.3        314029.44          -492653        759505.88        1138407.4
                2              -18                7         -2240199       -2186879.8        685340.06       -846238.75        1470637.3        2117290.5
                3              -18                7       -2067475.5       -2033793.3        1025951.5       -1170670.3          2166295        3010666.5
                4              -18                7       -1864099.5       -1862289.3        1335863.8       -1465947.6        2846479.8          3818535
                5              -18                7       -1630070.3       -1672366.5        1615077.5       -1732071.1        3511191.5          4540897
                6              -18                7       -1365388.6       -1464026.4        1863591.4         -1969040        4160429.3        5177750.5
                7              -18                7       -1070053.9       -1237267.9        2081406.8         -2176855          4794195        5729098.5
                8              -18                7       -837813.44       -1039535.6          2299878         -2332083          5263923          6186050
                9              -18                7       -867350.38        -951320.5        2650780.3       -2440336.3          5374240        6500537.5
               10              -18                7       -846356.13       -834315.38          3020131       -2565374.8          5602725          6761227
               11              -18                7       -812479.13       -720686.13        3349930.8         -2669619          5808280          7001956
               12              -18                7        -766128.5       -610790.94        3630985.5       -2753611.8          6001327        7220389.5
               13              -18                7          -710790       -511891.06        3600313.5         -2836682        6501109.5        7336731.5
               14              -18                7       -621781.94       -404237.81          3675921       -2857159.5          6600896        7423210.5
               15              -18                7       -520643.88       -307511.25        3732594.3       -2847709.5          6649516          7470188
               16              -18                7       -407383.13       -221718.58          3770268         -2808355          6647185          7477659
               17              -18                7       -281999.69       -146859.86        3788940.8       -2739096.5        6593901.5        7445623.5
               18              -18                7       -144493.59       -82935.078        3788613.8         -2639934          6489668          7374083
              -18              -17                7       -115367.84       -32065.977       -4047693.8          2498955         -7318580         -6838523
              -17              -17                7       -296666.84       -86936.164       -4040204.5        2580413.3       -7399733.5         -6869428
              -16              -17                7       -459851.25       -152483.72       -4028283.8        2633132.5         -7460172         -6871130
              -15              -17                7       -604921.19       -228708.59         -4011932        2657113.5       -7499898.5         -6843629
