           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         -7799366        -765724.5        280467.88        134733.69         -7183620       -2864954.3
              -17              -18                7         -8408617       -944307.19        657956.56        77567.875         -7406313         -3165338
              -16              -18                7         -9056016       -1124004.4        965693.75        32468.666         -7644095       -3443836.5
              -15              -18                7         -9741560       -1304815.5        1203679.5       -563.88965       -7896966.5       -3700449.3
              -14              -18                7        -10465249       -1486741.3        1371913.8        -21529.76       -8164926.5       -3935175.8
              -13              -18                7        -11169817       -1700977.1        1491891.4       -70324.453       -8365780.5       -4153150.5
              -12              -18                7        -11734438       -2013140.5          1460371       -82553.867         -8382361         -4428865
              -11              -18                7        -12238119       -2382169.3        1286023.4       -63804.609       -8315510.5       -4733774.5
              -10              -18                7        -12761796       -2758423.3          1067069       -46438.367         -8246139       -5029821.5
               -9              -18                7        -13305467       -3141902.8         803507.5       -30455.088       -8174246.5       -5317007.5
               -8              -18                7        -14304891       -3337929.3        1211378.6        209804.17         -8068610       -5530042.5
               -7              -18                7        -15315558       -3541205.5        796952.13        207945.44       -7982390.5       -5879169.5
               -6              -18                7        -16233167       -3774255.5        498034.63        220030.61         -7896126         -6186849
               -5              -18                7        -17057716       -4037079.5        314626.28        246059.61       -7809817.5       -6453079.5
               -4              -18                7        -17789206       -4329676.5        246726.97        286032.53       -7723464.5         -6677861
               -3              -18                7        -18427636         -4652048        294336.31        339949.09         -7637068         -6861194
               -2              -18                7        -18973008       -5004193.5           457455        407809.66       -7550627.5       -7003078.5
               -1              -18                7        -19452116         -5392121        557683.94        467365.91       -7347615.5       -7039871.5
                0              -18                7        -19643646         -5716778        154111.06        467772.47         -6653785       -6964941.5
                1              -18                7        -19477396         -6017267        18776.781        298971.19         -6117882         -6818622
                2              -18                7        -19189458         -6326883       -86998.938         175509.5         -5654004       -6733691.5
                3              -18                7        -18727848         -6591412       -226400.81         79432.75       -5166798.5         -6631387
                4              -18                7        -18092566         -6810854       -399428.69        10740.844         -4656264         -6511709
                5              -18                7        -17283616         -6985207       -606083.13       -30566.469       -4122400.3         -6374657
                6              -18                7        -16300989       -7114473.5       -846363.44       -44489.203       -3565208.5       -6220231.5
                7              -18                7        -15144690       -7198652.5       -1120270.1       -31027.148       -2984688.3         -6048432
                8              -18                7        -13640204       -7228244.5       -1317905.4       -109959.19         -2456103         -5951689
                9              -18                7        -12224776         -7345104       -1252983.3       -194659.67         -2038356         -6041415
               10              -18                7        -11266159         -7549384         -1285829       -46832.168       -1542436.9         -6062108
               11              -18                7        -10308806         -7725576         -1323566        87795.953       -1053857.6         -6083703
               12              -18                7         -9347665       -7872848.5       -1364807.9        208647.38       -574627.69         -6107952
               13              -18                7         -8205558         -7977815       -1323538.6        322780.38       -188575.64         -6205802
               14              -18                7       -6850294.5         -7972344       -1237578.8        325788.22       -40607.586         -6361616
               15              -18                7         -5524187         -7955482         -1105562        309093.38        128231.97         -6551574
               16              -18                7       -4227362.5         -7927292       -927478.25        272768.22        318079.06         -6775659
               17              -18                7       -2959821.8         -7887772       -703327.25        216812.63         528933.5         -7033871
               18              -18                7       -1721564.6       -7836923.5       -433109.19        141226.59        760795.38       -7326211.5
              -18              -17                7         -7433220        -820059.5        977054.63        656675.69         -7262294         -2985084
              -17              -17                7       -8059229.5         -1015587        1366802.9        561505.19         -7494952         -3270199
              -16              -17                7         -8723383       -1212228.5        1686799.6        478401.13         -7742697       -3533427.8
              -15              -17                7         -9425683       -1409984.6        1937044.6        407363.84       -8005532.5       -3774770.8
              -14              -17                7        -10103834         -1614398        2149820.5           301468         -8222716       -3990193.8
              -13              -17                7        -10730451       -1832996.6          2342838        203415.86         -8369171         -4218117
              -12              -17                7        -11353224       -2063151.1        2492500.5        169198.77         -8491911         -4474367
              -11              -17                7        -11855388       -2402550.8        2405889.3        198047.53         -8444249         -4787886
              -10              -17                7        -12344343       -2775329.5          2224042         232103.5         -8353264         -5104030
               -9              -17                7        -12853292       -3155333.8        1997587.9        264776.47         -8259757         -5411313
               -8              -17                7        -14085354         -3331024        2887810.8        608933.81       -8201991.5         -5605470
               -7              -17                7        -15420065       -3542834.5        3141720.5        863020.75         -8176334         -5894590
               -6              -17                7        -16439513       -3790799.5        2740424.3        938387.44       -8161830.5         -6242446
               -5              -17                7        -17365900       -4068539.5        2454637.3        1027697.9       -8147282.5         -6548853
               -4              -17                7        -18199230         -4376053        2284359.5        1130952.1         -8132691         -6813812
               -3              -17                7        -18939502         -4713340          2229590        1248150.4         -8118056         -7037322
               -2              -17                7        -19447224         -5091366          2147835        1445036.1         -7666665         -6919256
               -1              -17                7        -20019916       -5454295.5        1905477.8        1674859.5         -7199118       -6819560.5
                0              -17                7        -20049782         -5715901        873682.13        1711506.3         -6253112       -6745310.5
                1              -17                7        -19929676         -6099069        540589.81        1537785.1         -5794647         -6645686
                2              -17                7        -19658616         -6451803        196247.16        1388932.3         -5357567         -6554488
                3              -17                7        -19213884         -6759450       -181721.75        1267464.3         -4897158         -6445916
                4              -17                7        -18595476         -7022008       -593316.75        1173380.6         -4413420         -6319970
                5              -17                7        -17803398         -7239480         -1038538          1106682         -3906354       -6176650.5
                6              -17                7        -16837648         -7411864       -1517385.3        1067367.9       -3375959.3         -6015957
