           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        141919.98        164979.06        -12225824         -1264400       -349041.19       -8202.5391
              -17              -18                7        369956.31        88997.117        -11780096         -1391887       -292513.25       -42023.043
              -16              -18                7        550238.44        33048.781        -11266233       -1575081.8       -255423.03       -61406.633
              -15              -18                7        682766.38       -2865.9727        -10684236       -1813983.3       -237770.52       -66353.289
              -14              -18                7        767540.19       -18747.117        -10034103       -2108592.3       -239555.61       -56863.031
              -13              -18                7        853508.88       -31787.246         -9315823       -2452056.5       -322466.09        -5602.707
              -12              -18                7           802905       -17161.609         -8703138       -2804461.5       -399538.88        34455.992
              -11              -18                7        578602.19        33690.301         -8215154       -3156568.5       -407310.22        42754.602
              -10              -18                7        297590.56        101199.83         -7723476         -3529175       -412160.63        55258.625
               -9              -18                7       -40129.914        185366.97         -7228104       -3922281.3       -414089.88        71968.008
               -8              -18                7        452615.13       -36021.574       -5467960.5         -4774086       -752393.69        338584.34
               -7              -18                7        686756.06       -80570.594       -4108520.8       -5467436.5       -880792.75        335761.38
               -6              -18                7        839849.75       -104584.23         -2857451         -6104483       -968292.56         328446.5
               -5              -18                7        911896.06       -108062.41       -1714752.5         -6685226       -1014893.1        316639.78
               -4              -18                7        902895.38       -91005.133       -680424.75         -7209665       -1020594.3        300341.25
               -3              -18                7           812847       -53412.348        245532.25       -7677800.5       -985396.06        279550.78
               -2              -18                7        641751.75        4715.8403        1063118.3         -8089633       -909298.69         254268.5
               -1              -18                7        288117.59         127677.8        1437710.8         -8328931       -695477.69        134200.02
                0              -18                7       -35841.031         258040.8        1243129.9         -8436523       -389455.47       -121031.48
                1              -18                7        177231.97        156563.66        325482.44         -8284933           192107       -473299.53
                2              -18                7        225692.13        132619.34       -383699.59       -8197130.5        247926.69       -493451.63
                3              -18                7        229864.19        126766.16       -1134343.9       -8072049.5        242115.06       -482535.91
                4              -18                7        189748.13        139004.08       -1926450.8         -7909693        174671.75       -440552.19
                5              -18                7        105343.86        169333.09         -2760021       -7710058.5        45597.125        -367500.5
                6              -18                7       -23348.188        217753.09       -3635053.3         -7473146       -145108.55       -263380.84
                7              -18                7       -196328.64        284264.34       -4551549.5         -7198958       -397445.94       -128193.17
                8              -18                7       -249843.47        308157.66         -5640687         -6860599        -531524.5        12113.504
                9              -18                7       -114004.91        244807.42       -6611994.5       -6526470.5       -319250.22        14229.385
               10              -18                7       -212382.53        259629.38       -7225531.5       -6278054.5       -250529.03       -17273.232
               11              -18                7       -290164.16        271075.88         -7816838       -6043854.5       -188647.13       -43478.531
               12              -18                7       -344043.19        280702.44         -8388711         -5822899       -133678.95       -66815.578
               13              -18                7       -279269.25        338682.81         -9002782         -5596625       -95171.477       -170722.92
               14              -18                7       -250308.88        349453.94         -9661790         -5283223       -134664.69       -168725.72
               15              -18                7       -195958.16         351776.5        -10242022         -5012757       -180675.66       -159771.17
               16              -18                7       -116187.04        345676.13        -10743404         -4785304       -233165.45       -143923.69
               17              -18                7        -10995.66        331152.88        -11165934         -4600865       -292134.06       -121183.25
               18              -18                7        119616.09        308206.78        -11509616       -4459439.5       -357581.44       -91549.875
              -18              -17                7        582797.31        232298.94        -12945152       -1081420.5       -741475.31       -129228.92
              -17              -17                7        845714.13        140624.47        -12519979       -1219043.1       -689971.63       -168363.23
              -16              -17                7        1060876.8        68983.578        -12026672       -1412372.8       -657905.69       -193060.63
              -15              -17                7        1228285.1        17376.266        -11465231       -1661409.4       -645277.38       -203321.13
              -14              -17                7        1392359.9        -31149.27        -10831467       -1966056.5       -702049.69       -175771.67
              -13              -17                7          1570261       -74965.375        -10121588       -2318411.5       -833996.44        -117763.8
              -12              -17                7        1727232.9       -98217.602         -9338174         -2716060       -997738.25       -52776.066
              -11              -17                7          1606083       -63101.652         -8734222         -3096887       -1026098.9       -45395.133
              -10              -17                7        1364280.6       -974.50439       -8185868.5         -3484453       -1011168.1       -50513.375
               -9              -17                7        1065769.1        77810.289         -7633822         -3892519       -993316.63       -51426.156
               -8              -17                7          1957633       -298923.91       -5584969.5       -4773296.5       -1716233.1        359871.59
               -7              -17                7        2417522.8       -480342.25       -3783594.3       -5509860.5       -2367044.3        555126.25
               -6              -17                7        2421013.5       -471250.66         -2444403         -6184137       -2644459.5        588095.25
               -5              -17                7        2343456.8       -441623.63       -1213582.1       -6802109.5       -2880975.5        616572.31
               -4              -17                7        2184853.3       -391461.19       -91133.125       -7363778.5       -3076592.5        640557.56
               -3              -17                7        1945202.1       -320763.25        922945.88       -7869143.5       -3231309.8           660051
