           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7          4704738         -8723422       -1116966.1          5076844        208106.08        51711.633
              -17              -18                7          4675917         -8939744       -1147900.8        5109244.5           762363        30582.877
              -16              -18                7          4660099         -9156846       -1221973.1        5132025.5        1253587.9        3453.5068
              -15              -18                7          4657283         -9374724       -1339183.6        5145187.5        1681780.5       -29676.492
              -14              -18                7          4667469         -9593380       -1499531.8          5148729        2046941.9       -68807.117
              -13              -18                7          4669802         -9792406       -1675304.3        5154191.5        2345250.8       -95388.391
              -12              -18                7        4679627.5         -9912160       -1847031.8          5140430        2515734.5       -66841.188
              -11              -18                7        4711769.5         -9981390       -2025647.8        5111010.5        2594805.5       -16416.109
              -10              -18                7        4750957.5        -10046285       -2233616.8          5078181          2650051        27067.141
               -9              -18                7          4797192        -10106846       -2470938.3        5041941.5          2681471        63608.594
               -8              -18                7          4703182        -10371858         -2940111          4913627        2661583.3        149004.97
               -7              -18                7          4804486        -10600142       -3355143.3        4807597.5        2530340.3        240878.02
               -6              -18                7        4913301.5        -10799155       -3732102.5        4709041.5        2335201.3        296004.19
               -5              -18                7        5029629.5        -10968897       -4070988.5          4617959        2076166.8        314383.41
               -4              -18                7          5153469        -11109367       -4371800.5        4534348.5          1753236        296015.75
               -3              -18                7          5284820        -11220568         -4634541        4458211.5        1366409.5        240901.17
               -2              -18                7        5423683.5        -11302499       -4859207.5          4389548        915687.31        149039.72
               -1              -18                7          5563275        -11392684         -4954354        4386157.5        442477.31        25717.391
                0              -18                7          5659191        -11417562       -4758137.5          4444627       -190522.38        32695.027
                1              -18                7          5608443        -11399932         -4504762          4468563       -699219.06       -14568.578
                2              -18                7          5538121        -11356117         -4243385          4471217         -1129167       -60077.594
                3              -18                7          5430271        -11280896       -3985556.5          4475719       -1526712.5       -85068.188
                4              -18                7        5284895.5        -11174270       -3731276.8          4482070       -1891855.5        -89540.43
                5              -18                7          5101993        -11036236       -3480544.3          4490270       -2224596.3       -73494.289
                6              -18                7          4881564        -10866795         -3233360        4500318.5       -2524934.3       -36929.813
                7              -18                7        4623608.5        -10665950       -2989724.3        4512215.5       -2792870.3        20153.107
                8              -18                7        4431730.5        -10394993         -2700841          4549770         -2925190        40162.344
                9              -18                7          4567623        -10171430       -2452771.3          4598542       -2833509.3        5317.1953
               10              -18                7        4675270.5        -10066196       -2335247.5          4609033       -2822613.5        45830.902
               11              -18                7        4759641.5         -9961564       -2220524.3          4622314       -2784651.5        89825.313
               12              -18                7        4821006.5         -9856457       -2102466.8          4639488       -2722330.8        136895.36
               13              -18                7          4864377         -9714388       -1802717.6        4703717.5         -2710825        171963.06
               14              -18                7        4855379.5         -9505683       -1641067.4          4750907         -2439711        138289.08
               15              -18                7          4835790         -9301064       -1494365.5          4802898         -2079467        112931.34
               16              -18                7          4805627         -9100568         -1362543          4859709       -1630209.3        95933.648
               17              -18                7        4764889.5         -8904197       -1245599.9          4921338       -1091937.8        87295.953
               18              -18                7          4713579         -8711951       -1143536.1          4987787       -464652.63        87018.305
              -18              -17                7        4745852.5         -8705648       -1058968.3          5201072       -60060.172         123717.8
              -17              -17                7        4729005.5         -8923279       -1085408.1          5249737        485762.16         101555.3
              -16              -17                7          4725161         -9141686       -1154986.1          5288782        968552.44        73392.172
              -15              -17                7        4734318.5         -9360872       -1267701.9          5318208        1388310.8        39228.418
              -14              -17                7        4743735.5         -9562157         -1390890          5353326        1740760.1        11861.758
              -13              -17                7          4748862         -9742536       -1542490.8          5382299        2044038.8        4008.5313
              -12              -17                7          4759786         -9917959         -1757747          5387520        2307764.5        8118.4375
              -11              -17                7        4787138.5        -10006823       -1969232.4          5358782        2417497.3        53875.734
              -10              -17                7          4824204        -10069818       -2195902.5          5321829        2471655.5        102470.47
               -9              -17                7          4868316        -10128479       -2451925.5        5281466.5        2501988.3        144123.41
               -8              -17                7          4699325        -10486909       -2946134.8          5151140          2512491        268531.75
               -7              -17                7          4682419        -10797526       -3430069.3          5007373        2343803.5        395061.03
               -6              -17                7          4845180        -10974168       -3871662.8        4885171.5        2097989.5        459658.72
               -5              -17                7          5015452        -11121540         -4275183          4770444        1788279.8        487509.53
               -4              -17                7          5193237        -11239643         -4640630        4663189.5        1414674.1         478613.5
               -3              -17                7        5378533.5        -11328475       -4968003.5        4563407.5        977172.63        432970.44
               -2              -17                7          5587508        -11397325       -5144123.5          4627454        428559.06         328327.5
               -1              -17                7        5716447.5        -11500244         -5268937          4670281       -241652.25        216731.75
