           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        -10928994        6889.5737         -7634955        11002.983       -235366.95        52.966373
              -17              -18                7        -10785138        6730.1616         -7946372        11176.904       -587136.94       -135.90538
              -16              -18                7        -10561595        6556.8647         -8176967        11269.016        -960580.5       -357.63571
              -15              -18                7        -10258361        6369.6841         -8326737        11279.316       -1355697.3        -612.2243
              -14              -18                7         -9875438        6168.6177         -8395685        11207.805       -1772487.6       -899.67145
              -13              -18                7         -9475780        5901.4473         -8410024        10993.953       -2193017.5       -1119.1506
              -12              -18                7         -9110318         5564.001         -8288730        10627.844       -2661959.5       -1217.5105
              -11              -18                7         -8722146         5180.249         -7994407        10116.047         -3169769       -1291.2253
              -10              -18                7         -8308825        4757.2729         -7614603         9457.751       -3666556.5       -1381.4359
               -9              -18                7       -7870353.5        4295.0732         -7149316        8652.9541       -4152321.3        -1488.142
               -8              -18                7         -7059465         4155.707         -7434085        8751.3525         -4042891       -1945.2889
               -7              -18                7       -6251353.5        3793.5271       -6716885.5        7759.1211       -4662489.5       -2495.5146
               -6              -18                7       -5433489.5         3378.584       -5969413.5        6751.9199       -5176904.5       -2964.2253
               -5              -18                7       -4605871.5        2910.8784       -5191669.5          5729.75       -5586136.5       -3351.4214
               -4              -18                7         -3768501        2390.4102         -4383653        4692.6104       -5890184.5       -3657.1016
               -3              -18                7         -2921377         1817.179       -3545363.5         3640.501       -6089049.5       -3881.2681
               -2              -18                7       -2064499.9        1191.1852         -2676803        2573.4226         -6182731       -4023.9189
               -1              -18                7         -1125967        545.50928       -1741563.1        1157.5046       -6486334.5       -3898.8135
                0              -18                7       -220834.69        86.358337       -408586.81       -483.55322       -7055976.5        -3642.957
                1              -18                7        883264.13       -547.26575        491892.75       -1665.3073       -6956371.5       -3620.4688
                2              -18                7        1883952.1       -1172.4387        1455072.6        -2759.668         -6832596       -3507.0747
                3              -18                7        2842656.3       -1779.9316        2377718.5       -3826.9036       -6627924.5       -3344.2019
                4              -18                7        3759375.8       -2369.7441        3259829.5       -4867.0137         -6342357       -3131.8511
                5              -18                7        4634112.5       -2941.8777          4101407        -5880.001         -5975892       -2870.0215
                6              -18                7          5466865       -3496.3293          4902450       -6865.8623       -5528530.5       -2558.7139
                7              -18                7        6257633.5       -4033.1021        5662960.5       -7824.6001         -5000272       -2197.9272
                8              -18                7          6904728       -4452.6772          6296574       -8672.2266       -4376053.5       -1830.8517
                9              -18                7        7344006.5       -4669.9795          6434628       -9139.4648       -3813729.3       -1653.1313
               10              -18                7          7854338       -4955.6411        6485907.5       -9522.7988         -3341778       -1538.7207
               11              -18                7        8339367.5        -5224.002          6536185       -9859.1016       -2871466.5       -1457.3276
               12              -18                7          8798424       -5474.5093        6594193.5       -10146.374       -2406375.3       -1403.8746
