           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -178065.42        214241.16          4131357          8492013       -7496106.5        2923802.5
              -17              -18                7       -1311683.1        667702.44        4417973.5          8532666         -7502762        2948844.5
              -16              -18                7       -2484162.8        1128914.5          4644138          8563584         -7503552        2951066.3
              -15              -18                7         -3695503        1597877.3          4809849          8584765         -7498474          2930467
              -14              -18                7         -4945705        2074590.9          4915109          8596210         -7487529        2887047.5
              -13              -18                7         -6188028        2489335.5          4888366          8560362       -7350555.5        2800013.8
              -12              -18                7         -7307742          2838310        4734665.5          8434101         -7042695        2672699.3
              -11              -18                7         -8359672          3184462          4522453        8252999.5         -6682168          2526867
              -10              -18                7         -9414016        3530399.8        4271926.5          8047738         -6301982          2369099
               -9              -18                7        -10470772        3876123.3        3983083.5          7818315       -5902136.5        2199394.5
               -8              -18                7        -11780664        4408737.5        4494437.5          7815443       -5409661.5        1898291.5
               -7              -18                7        -13103085        4952402.5        3747405.8        7124136.5         -4817495        1683104.1
               -6              -18                7        -14282335          5446476          3101920        6368666.5         -4228090        1439161.5
               -5              -18                7        -15318412          5890958        2557980.3        5549032.5       -3641446.3        1166464.5
               -4              -18                7        -16211318          6285847          2115587          4665235         -3057564        865012.38
               -3              -18                7        -16961052          6631146        1774739.4        3717273.5       -2476442.8        534805.63
               -2              -18                7        -17567616          6926852        1535438.9          2705148       -1898083.3        175843.86
               -1              -18                7        -18018600          7145733        971518.06          1435503       -1228829.5       -18937.617
                0              -18                7        -18119886          7272330       -362331.84       -86853.438        41267.688       -5331.9111
                1              -18                7        -17956292          7065103       -828972.88       -1210132.3         756327.5       -391264.44
                2              -18                7        -17618156        6833691.5       -1299332.6       -2314528.5        1477688.4       -689965.25
                3              -18                7        -17100692        6559344.5         -1811167       -3365732.3        2182340.3       -969360.19
                4              -18                7        -16403908          6242062       -2364475.8         -4363742        2870282.8       -1229449.1
                5              -18                7        -15527796        5881842.5         -2959260       -5308559.5          3541517       -1470232.8
                6              -18                7        -14472359          5478688         -3595518       -6200183.5          4196041       -1691710.3
                7              -18                7        -13237599        5032596.5       -4273251.5         -7038615          4833857       -1893882.1
                8              -18                7        -11686095          4617716         -4737008       -7719857.5          5431769       -2077431.8
                9              -18                7        -10303137          4251768         -4609869         -7941335          5887639       -2258964.5
               10              -18                7         -9305670        3800933.8         -4693382       -8102766.5          6299605       -2422536.3
               11              -18                7         -8313797        3359763.5         -4780374         -8244154          6671815       -2572245.5
               12              -18                7       -7322441.5        2928540.3       -4871939.5         -8365800          7005210         -2706688
               13              -18                7       -6144012.5        2518050.5         -4989389         -8477902        7325288.5         -2786450
               14              -18                7       -4863151.5        2010274.4         -4918230         -8502888          7400078       -2839820.3
               15              -18                7       -3614497.3        1521854.8         -4798074         -8516592        7459517.5       -2880645.3
               16              -18                7         -2398107        1052860.6         -4629014         -8519056          7503735         -2908936
               17              -18                7       -1213982.8        603292.56       -4411048.5         -8510279          7532730       -2924691.5
               18              -18                7       -62123.125           173150       -4144179.5         -8490262          7546503       -2927913.5
              -18              -17                7        121345.41        282813.78          5263484          7992922         -7913884        2615476.5
              -17              -17                7       -1049294.3        730107.63        5530142.5          8022555       -7919872.5        2636065.8
              -16              -17                7         -2258795        1185152.3        5736350.5          8042451         -7919993        2633834.5
              -15              -17                7         -3507157        1647947.5          5882105        8052609.5         -7914248          2608782
              -14              -17                7         -4735192          2050761        5908546.5          8023552       -7800244.5        2536884.8
              -13              -17                7         -5913260        2392522.5          5848666          7950872       -7570281.5        2430611.8
              -12              -17                7         -7085528        2734182.8        5766176.5        7859852.5         -7314566        2315651.3
              -11              -17                7       -8137452.5        3068026.5          5588354        7696669.5         -6948949        2189897.5
              -10              -17                7         -9160799        3399637.3          5354716          7495770         -6540899        2051991.6
               -9              -17                7        -10186559          3731034          5082764        7270711.5       -6113188.5        1902149.9
               -8              -17                7        -11764664        4190272.8        6214774.5          7457416         -5805296        1420853.5
               -7              -17                7        -13505479          4518836          6353828          7160018       -5369632.5        1048841.3
               -6              -17                7        -14892450        4896486.5        5528519.5          6416289       -4838673.5        776532.31
               -5              -17                7        -16136251          5224546        4804756.5          5608395       -4310475.5        475468.56
               -4              -17                7        -17236880        5503013.5          4182541        4736338.5       -3785040.3        145649.97
               -3              -17                7        -18194338        5731889.5          3661871        3800117.5       -3262365.5       -212923.47
               -2              -17                7        -18779768          5994635        2553050.5        2558400.5       -2369524.5       -46865.453
               -1              -17                7        -19330336          6166358          1244155        1280812.8       -1289008.5        188628.75
                0              -17                7        -19375016        6359102.5       -790016.75       -51611.387        438353.94        86982.813
                1              -17                7        -19097940        6231980.5       -1438658.6         -1158909        1167444.8        -223725.8
                2              -17                7        -18668060          6049010         -2089164       -2210284.3        1869098.3       -498000.38
                3              -17                7        -18058858        5823103.5         -2781144       -3208466.5          2554043       -752969.06
                4              -17                7        -17270332        5554261.5       -3514598.8       -4153455.5          3222278       -988632.13
                5              -17                7        -16302480          5242483       -4289528.5         -5045252        3873804.3       -1204989.1
                6              -17                7        -15155301        4887768.5         -5105932       -5883855.5          4508621       -1402040.9
                7              -17                7        -13828800        4490118.5       -5963811.5       -6669266.5          5126730       -1579786.5
                8              -17                7        -11730814        4346993.5         -5832724         -7031232        5663040.5       -1751931.8
                9              -17                7         -9981976          4088794       -5489084.5         -7298861          6092650         -1953723
               10              -17                7         -9019994        3649492.5       -5581651.5         -7468914          6511966         -2111292
               11              -17                7         -8063607        3219854.8         -5677697         -7618925          6891525         -2254998
               12              -17                7         -7002134        2806824.3         -5787690         -7749905          7249040       -2348874.3
               13              -17                7       -5870703.5          2408427       -5880657.5       -7862395.5        7563795.5         -2428398
               14              -17                7       -4691388.5        2023304.3         -5951467       -7956288.5          7830599       -2503391.3
               15              -17                7         -3415331        1552827.3         -5867228       -7985529.5          7899576       -2551585.3
               16              -17                7       -2161871.5        1090223.1         -5720309       -7997906.5        7934580.5         -2585117
               17              -17                7          -940678        647044.94       -5524485.5         -7999044        7954363.5       -2606114.3
               18              -17                7        248251.25        223292.39         -5279757       -7988940.5        7958924.5       -2614576.8
              -18              -16                7        349122.56        348411.88        6289078.5          7495832         -8363239        2323086.3
              -17              -16                7       -858539.31        789538.38          6535781          7514442         -8368559          2339222
              -16              -16                7       -2105061.3        1238415.4          6722030          7523316         -8368012        2332537.3
              -15              -16                7       -3318877.5        1629286.8          6801586          7501004       -8276881.5          2275796
              -14              -16                7       -4470884.5        1960585.8        6806246.5          7442410         -8085738        2181538.5
              -13              -16                7         -5617090        2291782.8        6788298.5        7365475.5         -7868842        2078594.3
              -12              -16                7       -6757494.5        2622877.5        6747740.5          7270199         -7626193        1966962.5
              -11              -16                7         -7887760        2953452.5          6680786        7154682.5         -7353323        1847033.4
              -10              -16                7         -8880108          3270737        6464038.5          6958147       -6917406.5          1728990
               -9              -16                7         -9928430          3608145        6333835.5          6771798         -6497566        1553700.8
               -8              -16                7        -11752951          3982137        7269839.5          6788993       -6376026.5        953207.38
               -7              -16                7        -14051908        4065314.3        7989540.5        6593891.5         -6187297        382610.69
               -6              -16                7        -15966570        4198773.5          7516305        5985158.5       -5793839.5       -3587.5156
               -5              -16                7        -17418094        4410410.5        6612720.5        5189006.5       -5324088.5       -333017.88
