           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         -9217076         -9004210          9006154          8770343       -29955.914       -34505.828
              -17              -18                7         -9557649         -8325545          8893520          8870848        815300.31        819755.06
              -16              -18                7         -9862646       -7650124.5          8777145          9057669        1680599.3        1619146.3
              -15              -18                7        -10132064         -6977949          8657030          9330802        2565940.5        2363667.5
              -14              -18                7        -10365908       -6309018.5          8533173          9690249        3471324.8        3053319.8
              -13              -18                7        -10582484       -5693264.5          8331747         10048090          4446546        3639619.5
              -12              -18                7        -10620378       -5219993.5          8169744         10370175          5446130          4074329
              -11              -18                7        -10457794       -4828629.5          8112122         10693160          6401053          4441641
              -10              -18                7        -10229254         -4458670        8059038.5         11021060          7351812        4783093.5
               -9              -18                7         -9934754         -4110115          8010492         11353875          8298407          5098686
               -8              -18                7        -10246857         -2915153          6748750         12300981          9569729          5094704
               -7              -18                7         -9870997       -1878063.6        5370478.5         12925860         11151671          5504760
               -6              -18                7         -9283031       -896584.44        3951500.3         13387331         12509524          5816230
               -5              -18                7         -8482960         29283.25        2491816.3         13685391         13643284          6029115
               -4              -18                7         -7470783        899540.06        991426.06         13820037         14552952        6143413.5
               -3              -18                7         -6246501        1714186.4       -549670.69         13791276         15238530        6159127.5
               -2              -18                7       -4810113.5          2473222       -2131474.5         13599103         15700017        6076256.5
               -1              -18                7       -3230445.5        3058187.5       -3691283.8         12985344         15959596        6148742.5
                0              -18                7       -1736837.1        3622748.5       -6071040.5         12155502         16368522        6284439.5
                1              -18                7       -704974.13          4225101         -7020033         11107242         15299808          6301345
                2              -18                7        525334.13          4608744         -8293337         10165350         14855602        5849716.5
                3              -18                7        1817023.9          4863663         -9555415          9203434         14402808          5343134
                4              -18                7          3170095          4989856        -10806264        8221494.5         13941428        4781596.5
                5              -18                7        4584549.5          4987326        -12045888        7219528.5         13471459        4165104.8
                6              -18                7        6060384.5        4856070.5        -13274282          6197538         12992904        3493659.8
                7              -18                7          7597605          4596090        -14491451        5155522.5         12505760        2767260.3
                8              -18                7          9067865          4351656        -15106206        4149910.8         11900050        2123070.5
                9              -18                7          9681645        4170047.5        -14715307        3444188.5         10908484        1890586.3
               10              -18                7         10147186        3757093.5        -14956730        2847004.3          9951685        1667549.5
               11              -18                7         10598027          3338649        -15163802        2288068.5          8976300          1464788
               12              -18                7         11037342        2914771.5        -15337975        1772077.9          7986452        1281111.3
               13              -18                7         11612205        2494092.5        -15519565        1462263.4        7090663.5        1069045.1
               14              -18                7         12049811        1992845.6        -15226004        1014423.9          5938634        785175.63
               15              -18                7         12444936        1513109.3        -14848404        654330.25          4786778        538181.81
               16              -18                7         12797672        1054941.9        -14387012        382112.69        3635232.5        328118.44
               17              -18                7         13108018        618343.19        -13841828        197771.56        2483997.8        154985.66
               18              -18                7         13375979        203313.34        -13212856        101306.86        1333073.5        18783.484
              -18              -17                7         -9096354         -9015866          9394851          8190352       -837634.13          -848846
              -17              -17                7         -9464399         -8310999          9313896          8257606        7953.3311        7589.0391
              -16              -17                7         -9796867       -7609376.5          9229199          8411174        873583.75        809154.88
              -15              -17                7        -10093758         -6910998          9140762          8651057        1759256.4        1555850.8
              -14              -17                7        -10370396         -6245598          9001683          8906823        2693830.5          2210636
              -13              -17                7        -10648456         -5632152          8792863          9162324          3698899        2762490.8
              -12              -17                7        -10920936       -5049764.5          8550684          9476172          4755194        3241440.8
              -11              -17                7        -10869385         -4629415          8422299          9810201        5747340.5        3622117.8
              -10              -17                7        -10674378       -4265937.5        8333222.5         10144668          6710735        3965360.5
               -9              -17                7        -10413414       -3923865.5          8248684         10484053          7669965          4282744
               -8              -17                7        -11394723       -2455775.8        6845039.5         11430659          9028090        3857096.8
               -7              -17                7        -11789537       -1282675.9        5241731.5         12146552         10655634        3640450.5
               -6              -17                7        -11284756       -400388.31        3601559.8         12649209         12222466        3768705.3
               -5              -17                7        -10567868        426288.84        1920680.5         12988456         13565206          3798375
               -4              -17                7         -9638875        1197354.8        199095.59         13164291         14683857          3729459
               -3              -17                7         -8497777        1912810.1       -1563196.3         13176716         15578416          3561958
               -2              -17                7         -6967718          2215039       -3091846.5         12575645         15592312        4480047.5
               -1              -17                7       -5701328.5        2556737.5         -5046890         11938959         15732524          5417247
                0              -17                7       -4278477.5          3066364       -7771874.5         11433621         17329212        5309329.5
                1              -17                7       -2763871.5        3566634.3         -8904449         10525351         16651784          5188034
                2              -17                7       -1212930.3        3907736.8        -10063571          9623931         16239472          4807829
                3              -17                7           399393        4120115.3        -11211463          8702487         15818575          4372669
                4              -17                7        2073098.5        4203768.5        -12348129        7761017.5         15389088          3882556
                5              -17                7          3808185        4158696.8        -13473567        6799523.5         14951012          3337489
                6              -17                7          5604654        3984901.5        -14587778          5818005         14504353        2737467.5
                7              -17                7          7462507        3682380.8        -15690762          4816462         14049104        2082491.6
                8              -17                7          8977010        3829391.8        -14767811        4070901.5         13069245        1914311.3
                9              -17                7          9759594          3897965        -13743302        3346451.8         11874163        1719963.4
               10              -17                7         10220904        3494621.5        -13987948        2780620.3         10959395        1499150.8
               11              -17                7         10667516        3085787.5        -14198242        2253037.5         10026039        1298613.4
               12              -17                7         11145633        2693121.3        -14398230        1880475.8          9146473        1089395.1
               13              -17                7         11702952        2312280.8        -14560328        1601737.6        8228797.5        875868.56
               14              -17                7         12337125        1939225.9        -14677549        1390878.3          7250995        663278.06
               15              -17                7         12812772        1488199.8        -14400602        1073470.5          6065434         419864.5
               16              -17                7         13225311        1048265.4        -14002056        823040.94          4860269        207921.72
               17              -17                7         13595462        629900.13        -13519720        660487.94        3655415.3        32909.625
               18              -17                7         13923223        233103.44        -12953591        585811.13        2450872.3       -105171.92
              -18              -16                7         -8957775         -9129620          9721483          7587640       -1648968.1       -1620452.9
              -17              -16                7         -9353291         -8398548          9672206          7621643       -803049.06       -761843.44
              -16              -16                7         -9713231       -7670722.5          9619188          7741959        62912.648        41896.664
              -15              -16                7        -10049947         -6955793          9542304          7895554        956956.75        765103.13
              -14              -16                7        -10385374       -6274214.5          9420432          8064749        1902202.3          1395807
              -13              -16                7        -10715220         -5623696          9265202        8292290.5        2898673.3          1953606
              -12              -16                7        -11039487         -5004237          9076612          8578177          3946369        2438499.3
              -11              -16                7        -11344499         -4422170          8858080          8921363          5040801        2849922.8
              -10              -16                7        -11183025         -4065175          8733011          9262399          6016831        3194956.5
               -9              -16                7        -11099123       -3610030.5          8513537          9652988          7035190        3441014.5
               -8              -16                7        -12362938       -2119755.8          7259583         10338112          8612821        2885160.5
               -7              -16                7        -13619430       -823237.75        5851878.5         10772149         10398165        2171390.5
