           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        240181.75        116538.88        870196.63       -1387703.4         13575455          5290048
              -17              -18                7        526419.31        197468.53        719544.75       -1452151.5         13691176          5335013
              -16              -18                7        814403.06        288420.91        595281.38         -1494401         13756735          5356347
              -15              -18                7        1104132.8        389395.94        497406.34       -1514451.9         13772131          5354050
              -14              -18                7        1395608.8        500393.72        425919.72       -1512303.9         13737366        5328121.5
              -13              -18                7        1716234.6        610709.88        393740.03       -1484834.9         13480252        5275774.5
              -12              -18                7        2134522.3         735529.5           428155       -1427258.5         13108320          5168886
              -11              -18                7        2631189.8        885401.13        497087.88       -1344238.6         12752494        5018036.5
              -10              -18                7          3141866        1043938.8        573996.13       -1245702.4         12350861        4850932.5
               -9              -18                7        3666551.5        1211142.5        658879.75         -1131650         11903421          4667574
               -8              -18                7        3634380.3        1266469.4       -168537.39       -1232339.5         10903990          4392724
               -7              -18                7        4028881.3        1429174.5        58501.586       -1134239.5         10228524        4150091.5
               -6              -18                7        4462112.5        1596358.5        185182.02       -1023404.3          9355464        3819079.3
               -5              -18                7        4934072.5          1768021        211503.84       -899833.75          8284808          3399687
               -4              -18                7          5444762          1944162        137467.03       -763528.06          7016558          2891915
               -3              -18                7          5994182          2124782       -36928.125       -614487.06        5550712.5        2295763.8
               -2              -18                7        6582330.5          2309881       -311682.06       -452710.75        3887271.3        1611232.5
               -1              -18                7          7036603        2497928.5       -221159.44       -206869.31        2118751.3        815281.63
                0              -18                7        6804926.5        2492791.3         228216.3        67275.477       -85965.836       -56746.625
                1              -18                7          6532059        2407425.3        171660.16        266587.19       -1867375.1          -808446
                2              -18                7          6219448        2286296.3        188367.77        447004.34       -3532999.5       -1519629.4
                3              -18                7        5838024.5        2146700.8        211127.94        609371.94       -5101587.5       -2168364.3
                4              -18                7          5387790          1988639        239940.72        753690.25         -6573139       -2754650.8
                5              -18                7          4868743        1812110.9           274806        879959.25         -7947656       -3278489.8
                6              -18                7          4280884        1617116.5        315723.94        988178.69         -9225135         -3739880
                7              -18                7        3624213.5        1403655.6        362694.38        1078348.9        -10405581       -4138822.8
                8              -18                7          3038616        1214618.9        346444.19        1143304.1        -11333339       -4468170.5
                9              -18                7        2852706.5        1110046.5        96529.039          1217229        -11756400       -4694214.5
               10              -18                7        2606100.5        973901.25       -153127.78        1307643.5        -12239776       -4882863.5
               11              -18                7        2347923.5        840631.75       -382157.81        1383341.1        -12682848       -5058442.5
               12              -18                7        2078931.3        710859.94       -581353.88        1444744.9        -13093200       -5219157.5
               13              -18                7        1809048.9        601891.63       -485285.44        1506502.9        -13694433       -5303599.5
               14              -18                7          1491492        476974.69       -544827.56        1530415.5        -13865416         -5364470
               15              -18                7        1178935.5        363460.13          -615877        1531130.8        -13943386       -5395190.5
               16              -18                7        871397.63        261360.48       -698351.31          1508661        -13928556         -5395758
               17              -18                7        568878.81        170675.89       -792250.38          1463006        -13820924         -5366174
               18              -18                7        271378.88        91406.328       -897574.38        1394166.3        -13620489       -5306436.5
              -18              -17                7        143085.94        46376.445          1248164       -1314414.3         13922559          4893740
              -17              -17                7        476394.59        121722.19        1140179.6       -1369684.8         14053728          4926946
              -16              -17                7        811449.31        207090.63        1058583.6       -1402756.4         14134732        4936520.5
              -15              -17                7        1148250.1        302481.72        1003376.1       -1413629.6         14165574          4922464
              -14              -17                7        1524418.8        396986.91        984089.94       -1397701.6         13988450          4883075
              -13              -17                7        1918027.3        482751.38        1000979.9       -1363756.8         13640646        4824502.5
              -12              -17                7        2288085.5        567156.75        1045501.3       -1318742.6         13276764          4750232
              -11              -17                7        2755307.3        687197.81        1116046.3         -1243184         12917746          4608189
              -10              -17                7        3264387.5        824594.63        1196190.4       -1147448.3         12521526        4436248.5
               -9              -17                7        3787476.5        970657.63        1284310.3       -1036196.3         12079499        4248053.5
               -8              -17                7          3704244        950202.44       -135009.47       -1230515.8         11311894        3980615.8
               -7              -17                7        4098731.3        1029623.9       -887115.25       -1266236.8         10611265        3732194.3
               -6              -17                7        4773425.5        1190901.5       -769145.13         -1153949          9805640          3469513
               -5              -17                7        5486849.5          1356658       -751533.63         -1028926          8802420        3118451.3
               -4              -17                7        6239003.5          1526893       -834280.88          -891168          7601606        2679010.3
               -3              -17                7        7029886.5          1701607       -1017386.5       -740674.56          6203195        2151189.8
               -2              -17                7          7406183        1879025.6       -229012.55       -461872.16          4517944        1444770.3
               -1              -17                7          7381468          2003749        124879.46       -185682.94        2313781.3        630223.25
                0              -17                7        7516890.5          2065210        52508.488        52547.586       -521335.63       -5676.7466
                1              -17                7        7152128.5        1972490.8       -41758.375        243898.27       -2337064.8       -723080.63
