           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         13631324        3557986.3        22081.078       -240817.11        143710.41        69409.891
              -17              -18                7         13419198        3439335.5        412119.22       -678192.63        469911.63        126196.77
              -16              -18                7         13120819        3312528.3           751711       -1153890.3        822532.88        202735.84
              -15              -18                7         12736186        3177563.8        1040856.3         -1667910        1201573.9           299027
              -14              -18                7         12265300        3034442.5        1279555.3       -2220252.8        1607034.8        415070.47
              -13              -18                7         11779089        2927592.8          1536370       -2742795.5        1995938.3        594754.38
              -12              -18                7         11321312        2874392.3          1711134       -3201406.3        2435230.5        795443.75
              -11              -18                7         10830580        2838402.8        1724902.5       -3647827.5        2931592.3        966246.88
              -10              -18                7         10314556          2812731        1687090.4       -4100945.3          3416216        1132603.8
               -9              -18                7          9773242        2797376.5        1597697.9       -4560759.5        3889101.8          1294514
               -8              -18                7          8849150        2296741.8          2207824         -5441108          3810690        1564057.1
               -7              -18                7        7851375.5        1945739.5        2334079.8       -6146413.5        4484879.5        1758826.1
               -6              -18                7          6822464        1617034.8        2456235.8         -6778649          5063854        1922126.1
               -5              -18                7        5762416.5        1310628.3        2574291.3         -7337813        5547612.5        2053956.9
               -4              -18                7          4671233        1026519.6        2688246.3       -7823905.5        5936154.5        2154318.3
               -3              -18                7          3548913        764708.81          2798101         -8236927        6229481.5        2223210.5
               -2              -18                7        2395457.3           525196          2903856         -8576879        6427592.5        2260633.8
               -1              -18                7        1184241.4        360972.31          3090608         -8675199          6669006        2177063.5
                0              -18                7       -42958.938        183466.33          3063051         -8590548        6957126.5        1968217.3
                1              -18                7         -1258821       -252431.45          3036037         -8195717          7070253        1617658.4
                2              -18                7       -2438642.5       -586238.44        2928495.5         -7899375        6962048.5        1551490.4
                3              -18                7       -3586565.3       -897592.13          2811850       -7567024.5        6760469.5        1490450.9
                4              -18                7         -4702590       -1186492.4        2686100.5         -7198667          6465514        1434540.1
                5              -18                7       -5786718.5       -1452939.6          2551247       -6794299.5        6077183.5        1383757.6
                6              -18                7       -6838947.5       -1696933.4        2407288.8         -6353924        5595477.5          1338104
                7              -18                7         -7859280         -1918474          2254227         -5877540          5020396        1297578.8
                8              -18                7         -8803245       -2176247.5        2006441.8         -5335725        4344303.5        1241034.9
                9              -18                7         -9487048       -2441807.8        1935295.3         -4748273        3777902.8          1083628
               10              -18                7        -10109226       -2577099.5          2102602         -4214876        3315420.3        905772.13
               11              -18                7        -10695315         -2705787        2225897.5         -3685413        2853457.5        729674.31
               12              -18                7        -11245783       -2826798.8        2295089.5       -3161549.8        2396330.3        555034.94
               13              -18                7        -11798401       -2911006.5        2024341.3         -2704802        2081024.6        377063.25
               14              -18                7        -12337460         -3059041        1843010.8       -2117474.8        1696908.9        284074.72
               15              -18                7        -12799836       -3193862.5        1604555.3       -1570794.4        1317240.8        197077.78
               16              -18                7        -13185514       -3315428.5        1308908.4       -1064858.8        942064.44         116026.2
               17              -18                7        -13494494         -3423739         956070.5       -599668.13        571379.94        40920.063
               18              -18                7        -13726777       -3518794.3        546041.56       -175222.41        205187.23       -28240.742
              -18              -17                7         13882798          3335258        22191.969       -199297.28        157288.58        78166.234
              -17              -17                7         13647898          3207477        436133.63       -616244.56        497611.53        130560.57
              -16              -17                7         13326746        3071538.8        799628.75         -1071514        864354.19        202707.06
              -15              -17                7         12919339        2927443.5        1112677.5       -1565105.8        1257516.9        294605.72
              -14              -17                7         12468964        2808384.5        1424449.6       -2033656.3        1643271.5        446299.25
              -13              -17                7         12038240        2723284.5        1795093.5       -2470179.8        2007077.4        653129.06
              -12              -17                7         11607842        2644936.3          2199179         -2929799        2374937.8        877386.88
              -11              -17                7         11145922          2598898        2373874.3       -3376026.8          2860939          1052128
              -10              -17                7         10653002        2569530.5          2436690       -3821059.5        3366864.3          1207087
               -9              -17                7         10134789        2550480.8          2447925         -4272788        3861052.3        1357599.9
               -8              -17                7          9070826        1837398.3        3416898.5       -5147704.5        3448654.5        1749504.6
               -7              -17                7          7873451        1320795.4        3916146.3         -5915569          3820589        2137904.8
               -6              -17                7        6802479.5        1034308.6        4076823.5       -6574185.5          4529183        2410205.3
               -5              -17                7          5700372        770119.75          4233400         -7159731          5142562        2651036.5
               -4              -17                7          4567128        528228.81          4385877         -7672206        5660724.5          2860399
               -3              -17                7        3402748.3        308635.88          4534254       -8111609.5          6083672        3038291.8
               -2              -17                7        2471139.5        337986.56          5261307         -8163726          6788304          2583885
               -1              -17                7        1225464.9        284975.97        5733000.5       -8194998.5          7236139        2063958.3
                0              -17                7        57973.066        207193.47          5590095         -8201919          7550748        2075421.9
                1              -17                7       -1226838.6       -114462.34        5399146.5         -7899006          7510620        1855090.1
                2              -17                7         -2471564       -396004.97        5170781.5       -7590196.5          7344679        1774884.1
                3              -17                7       -3684390.5       -655094.19          4933313         -7245379          7085363        1699806.5
                4              -17                7       -4865319.5       -891730.31          4686740         -6864553        6732671.5        1629857.5
                5              -17                7         -6014351       -1105912.9          4431063         -6447719          6286604          1565037
                6              -17                7       -7131484.5       -1297642.4        4166281.5       -5994875.5          5747161        1505345.1
                7              -17                7       -8216721.5       -1466918.5        3892396.5         -5506024        5114342.5        1450781.9
                8              -17                7         -9072032       -1849307.5          3257622         -4934478          4409700        1286509.5
