           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7          4300699         -4814209        4422268.5         -4893686         24698520        -10119766
              -17              -18                7        3880952.5         -4688392          4164618       -4912858.5         24938426         -9645864
              -16              -18                7          3479327         -4562546          3965341         -4934650         25171566         -9152568
              -15              -18                7        3095823.5       -4436671.5        3824437.8       -4959060.5         25397942         -8639878
              -14              -18                7        2730440.8         -4310768          3741908       -4986090.5         25617548         -8107793
              -13              -18                7          2456261       -4161001.3          3734700         -5003464         25855300         -7474700
              -12              -18                7        2372774.5         -3984432        3883707.3         -4989235         26109022       -6818958.5
              -11              -18                7        2426881.5       -3798877.5        4196522.5         -4950513         26347032       -6210932.5
              -10              -18                7        2528614.8       -3604887.5          4559873         -4914991         26581740       -5598314.5
               -9              -18                7        2677974.3       -3402461.8          4973758       -4882669.5         26813144         -4981104
               -8              -18                7        2589157.8       -3234093.5        4127050.3       -4995727.5         27154600       -4369320.5
               -7              -18                7        2654034.5         -3223574        4548127.5         -5082584         27805848       -3750577.3
               -6              -18                7        2836150.5       -3192569.8          4855312         -5141584         28382052       -3119634.8
               -5              -18                7        3135505.5       -3141081.5        5048602.5       -5172725.5         28883214       -2476493.5
               -4              -18                7        3552099.5       -3069108.5          5127999         -5176009         29309336       -1821154.1
               -3              -18                7          4085933       -2976651.5          5093503         -5151435         29660416       -1153615.8
               -2              -18                7        4737005.5       -2863709.8          4945114       -5099002.5         29936456       -473878.94
               -1              -18                7          5463728         -2663636          4867620       -5136553.5         29793856        142352.56
                0              -18                7        6050513.5         -2390445        4999410.5       -5142667.5         29406978        745290.44
                1              -18                7        6664241.5       -2194817.8        5549751.5         -4825277         28785196        1242196.8
                2              -18                7          7321427       -1953984.3          5883273         -4520942         28417090        1766575.8
                3              -18                7        7867693.5       -1736055.1          6128491         -4234921         28024226        2272488.8
                4              -18                7          8303043         -1541031          6285409       -3967214.3         27606604        2759935.3
                5              -18                7          8627474         -1368911        6354023.5       -3717821.5         27164224          3228917
                6              -18                7          8840987         -1219696          6334337         -3486742         26697084        3679431.5
                7              -18                7          8943582       -1093385.3        6226347.5       -3273977.3         26205186          4111481
                8              -18                7          8793619       -998160.88          6363630         -2982651         25904598          4628123
                9              -18                7          8612801       -887321.75        6524706.5       -2671960.5         25948698          5290871
               10              -18                7          8770551       -729989.13        6057129.5       -2552878.3         25757240          5841737
               11              -18                7          8866044       -597193.25          5633277       -2429014.5         25535808          6389758
               12              -18                7          8897286       -490630.75        5264564.5       -2297663.5         25285084          6932702
               13              -18                7          8842161       -445376.19          5273044       -2090218.6         25048014          7402264
               14              -18                7          8487155       -429968.13        5315470.5       -1820067.8         25021820        7886917.5
               15              -18                7        8094438.5       -433429.06        5450458.5       -1527530.3         24986716          8370867
               16              -18                7          7664186       -455743.38          5678005       -1212645.9         24942564          8854103
               17              -18                7        7196397.5       -496910.88          5998111       -875414.44         24889374          9336624
               18              -18                7          6691073       -556931.75          6410776       -515836.13         24827140          9818434
              -18              -17                7        4037936.5       -4838186.5        3930878.5         -4756159         24942198         -9663254
              -17              -17                7        3664986.5       -4713988.5          3720456         -4775753         25167916         -9191319
