           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7          9142838         -4906708         -9136409        4934496.5       -13096.549       -19854.023
              -17              -18                7          9634412       -4103626.5         -9169439          4864714       -281551.31        47039.922
              -16              -18                7         10116106         -3296743         -9232233        4769934.5       -515848.47        122148.77
              -15              -18                7         10587918       -2486057.3         -9324789          4650157       -715988.06        205472.44
              -14              -18                7         11049847       -1671568.3         -9447106          4505382       -881970.06        297011.03
              -13              -18                7         11535795       -912342.56         -9524967          4372169       -1013328.9        404282.72
              -12              -18                7         11984990       -185519.88         -9529586          4227658       -1108481.6         538954.5
              -11              -18                7         12372861           567275         -9522658          4049260       -1185122.3        687405.81
              -10              -18                7         12752950          1326082         -9506946        3852818.5       -1246477.1         843103.5
               -9              -18                7         13125260        2090901.6         -9482450          3638333       -1292546.1        1006047.3
               -8              -18                7         13192364        2624501.8         -9716257        3103744.8       -1344252.8          1210784
               -7              -18                7         13406280          3283095         -9678552        2247002.3       -1498425.5        1363557.6
               -6              -18                7         13564082          3926529         -9583169        1384909.3       -1577569.8          1502280
               -5              -18                7         13665768        4554803.5         -9430108        517467.63       -1581685.4          1626951
               -4              -18                7         13711338          5167919         -9219368       -355323.75         -1510772        1737570.3
               -3              -18                7         13700794          5765875         -8950949       -1233464.8       -1364830.4        1834138.1
               -2              -18                7         13634135          6348672         -8624851       -2116955.3         -1143860          1916655
               -1              -18                7         13580229        6906548.5       -8020930.5       -3063088.3       -960808.94        2065600.5
                0              -18                7         13461019        7355914.5         -7183762       -4363489.5       -1167217.6        2339452.3
                1              -18                7         13123617        7580296.5         -6340534         -5169544       -1255050.6        2090215.8
                2              -18                7         12802366          7866994       -5618636.5       -6040539.5       -1062399.5        2109580.3
                3              -18                7         12435307          8164755         -4904772       -6875627.5       -868275.94        2131520.8
                4              -18                7         12022439          8473581         -4198942       -7674808.5       -672679.63          2156037
                5              -18                7         11563762          8793471       -3501144.5         -8438085       -475610.56        2183128.8
                6              -18                7         11059277          9124424       -2811381.8         -9165452       -277068.94        2212796.3
                7              -18                7         10508983          9466443       -2129652.5         -9856913       -77054.516        2245039.8
                8              -18                7          9730713          9807290         -1476457        -10321359        41698.996        2237824.8
                9              -18                7          8757500          9940992       -1126400.4        -10360817       -31751.193        2073424.3
               10              -18                7          8044510         10011353       -897562.13        -10548290       -50611.078        1913630.8
               11              -18                7          7316749         10083573       -668470.44        -10714244       -72629.523        1744865.5
               12              -18                7        6570446.5         10159188       -439398.41        -10861499       -97691.805        1569564.8
               13              -18                7        5680900.5         10303452       -246606.78        -11075829          -118207        1453862.9
               14              -18                7          4710740         10381002       -68264.406        -11033729       -57809.969        1233285.4
               15              -18                7        3716013.3         10447646        77246.906        -10963210       -15673.297        1004559.9
               16              -18                7          2696755         10503429        189909.72        -10864412        8149.9844        767738.38
               17              -18                7        1652964.8         10548352        269723.81        -10737332        13659.879        522821.03
               18              -18                7        584643.06         10582414        316689.56        -10581975        856.40039        269807.69
              -18              -17                7          9149852       -4848561.5         -9662866        4123407.8        238238.53       -81688.031
              -17              -17                7          9637420       -4055047.5         -9690867          4065243       -26543.301       -15926.859
              -16              -17                7         10115104       -3257730.5         -9748630          3982080        -257167.5        58049.203
              -15              -17                7         10582907       -2456610.8         -9836154        3873919.3       -453634.09        140240.13
              -14              -17                7         11058732       -1709839.3         -9898485        3783474.5          -619151        233340.33
              -13              -17                7         11552901       -1024185.9         -9907434          3703930       -749013.69        344140.19
              -12              -17                7         12052482       -349175.88         -9903794        3594477.5          -838829        472353.75
              -11              -17                7         12464931        370282.63         -9885697        3426526.5       -905306.25        620092.19
              -10              -17                7         12846624        1108514.3         -9857926          3231774       -958315.06        776691.44
               -9              -17                7         13220534        1852758.6         -9821373        3018977.8       -996038.06        940536.94
               -8              -17                7         13223896          2185813        -10079624        2554132.8       -889357.06        1163487.5
               -7              -17                7         13417459        2582993.8        -10128035        1877571.9       -749262.56          1359945
               -6              -17                7         13677073        3161789.3         -9994084        1008585.8       -688359.75        1520585.4
               -5              -17                7         13880571          3725426         -9802455        134249.75       -552428.25        1667174.3
               -4              -17                7         14027954          4273903         -9553146       -745435.31          -341468        1799711.9
               -3              -17                7         14119222        4807221.5         -9246160       -1630470.3       -55479.375        1918197.9
               -2              -17                7         14352118          5444250         -8447358       -2547911.3       -291388.09          2011115
               -1              -17                7         14444678          5940779         -7585068       -3568040.5       -626033.63          2204478
                0              -17                7         14245617          6287125       -6721365.5         -4818211       -1073596.5        2582594.3
                1              -17                7         13967673        6671390.5         -5861434         -5663812       -1004222.1          2487285
                2              -17                7         13665488        7056818.5       -5039750.5         -6476977       -796746.31        2504642.3
                3              -17                7         13317493          7453311       -4226100.5         -7254234       -587797.81        2524575.3
