           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        4241525.5         10528034        2694383.8       -343354.69        266199.38       -296244.03
              -17              -18                7        4515758.5         10185744          7564620       -1114751.5        340307.69       -702938.13
              -16              -18                7          4684752          9825328         12526196       -1966493.9        295103.75       -1086896.8
              -15              -18                7        4748504.5          9446782         17579102       -2898581.5        130587.76       -1448119.8
              -14              -18                7        4707016.5          9050106         22723346       -3911015.3       -153240.63       -1786607.5
              -13              -18                7        4166790.8          8729990         27309944       -4839301.5        -996517.5       -1981670.6
              -12              -18                7        3220678.5          8489796         30685996         -5637336       -1767835.3       -2092147.6
              -11              -18                7          2134182          8249292         33443890       -6435302.5       -2076692.3         -2243866
              -10              -18                7        892337.63          8017455         36100652       -7252080.5       -2345237.3       -2400396.8
               -9              -18                7       -504854.25          7794284         38656280       -8087668.5       -2573470.3       -2561739.3
               -8              -18                7        2290576.5        6654695.5         47411300         -9348658       -4899375.5       -2535495.8
               -7              -18                7        2924507.5        5769080.5         52545908        -10618981         -5342570       -2789226.5
               -6              -18                7          3219571          4905701         57187860        -11737620         -5675796       -3019489.3
               -5              -18                7        3175766.3        4064557.3         61337124        -12704573       -5899052.5       -3226283.5
               -4              -18                7        2793093.8        3245648.8         64993720        -13519843         -6012339       -3409609.3
               -3              -18                7        2071552.8        2448976.3         68157656        -14183430         -6015655       -3569467.5
               -2              -18                7        1011144.4        1674539.3         70828912        -14695332         -5909004       -3705856.8
               -1              -18                7       -610468.88        1022800.6         71090776        -14806036         -4601480       -3965179.5
                0              -18                7       -1494948.6        321556.13         70218416        -14689775       -2203983.5         -4310262
                1              -18                7       -568171.88       -823225.88         67302720        -14095550          1325015         -4777987
                2              -18                7       -513201.19       -1789727.4         65238444        -13640814        1687771.3       -4687849.5
                3              -18                7       -662334.38       -2695518.8         62888256        -13119392          1728120         -4528930
                4              -18                7       -1015571.1         -3540600         60252156        -12531286          1446058       -4301229.5
                5              -18                7         -1572912         -4324973         57330140        -11876493        841587.63         -4004747
                6              -18                7       -2334355.8         -5048634         54122204        -11155016       -85292.063       -3639483.3
                7              -18                7       -3299904.8         -5711588         50628360        -10366853       -1334582.1       -3205437.3
                8              -18                7       -3792808.5         -6394055         46308828         -9527681         -2401770       -2818711.5
                9              -18                7         -3106224         -7055623         41741912         -8592448       -2005898.8       -2712558.5
               10              -18                7         -3228089       -7524860.5         38240272         -7608002       -1664367.3       -2562628.3
               11              -18                7         -3359982         -7968872         34681196         -6638284         -1312055         -2404502
               12              -18                7       -3519212.5         -8384689         31064670         -5686897       -941818.31         -2238345
               13              -18                7       -4287637.5         -8693233         27440868       -4881598.5       -308151.44       -2063596.8
               14              -18                7         -4433621         -9116453         22243868       -3796592.8       -278507.44       -1684063.4
               15              -18                7         -4547277         -9504490         17168734         -2799191       -251834.28       -1303928.4
               16              -18                7       -4628996.5         -9857264         12216466       -1889601.5        -227752.5       -923309.25
               17              -18                7         -4678779        -10174775          7387065       -1067824.8       -206262.13       -542206.44
               18              -18                7         -4696625        -10457022        2680532.5       -333860.41       -187363.09       -160619.81
              -18              -17                7          7515217         10068753        2362437.3       -261102.53        96225.789       -237322.56
              -17              -17                7        7774742.5          9707058        7103217.5       -992389.81        101689.07       -639812.88
              -16              -17                7          7929027          9327234         11935333       -1804022.4       -12159.717       -1019567.8
              -15              -17                7        7978070.5          8929281         16858786       -2696000.5       -245320.77       -1376587.1
              -14              -17                7        7521966.5          8589114         21248738         -3515625       -1016298.4       -1602319.9
              -13              -17                7          6680081          8323855         25131994         -4244770       -2244934.5       -1699686.8
              -12              -17                7        5852095.5          8070242         29082436         -5015863         -3527146       -1767836.3
              -11              -17                7        4849816.5          7831835         32190836         -5796946       -3937195.3         -1897433
              -10              -17                7          3660301          7603343         34976416       -6590840.5         -4073139       -2052152.3
               -9              -17                7        2315437.8          7383517         37660864       -7403546.5       -4168770.5         -2211684
               -8              -17                7          6866660        5844632.5         47738080         -8499628         -8795274       -1896504.4
               -7              -17                7          8627486        4633072.5         55107552         -9613966        -12071017       -1633036.4
               -6              -17                7          8176006        3837045.5         59936140        -10753644        -13404231       -1648383.8
               -5              -17                7          7385658        3063254.3         64272064        -11741639        -14627474       -1640262.9
               -4              -17                7        6256443.5        2311698.3         68115304        -12577949        -15740749       -1608673.6
               -3              -17                7        4788360.5        1582378.5         71465888        -13262577        -16744053       -1553616.3
               -2              -17                7        2045648.6        1336075.3         71033008        -13237877        -11080983         -2436944
               -1              -17                7        46086.281        910862.63         70669104        -13177397         -5230793       -3428576.8
                0              -17                7       -1161209.4        434435.91         70435936        -13273059       -5168521.5         -3505275
                1              -17                7       -1364998.3       -552361.56         68147328        -12849306         -2994182         -3767410
                2              -17                7         -1903675       -1450503.8         65804768        -12406657         -2491340         -3721594
                3              -17                7       -2646455.5       -2287935.5         63176292        -11897320       -2310906.3         -3606997
                4              -17                7       -3593339.3       -3064658.3         60261912        -11321300         -2452881       -3423617.5
                5              -17                7       -4744327.5       -3780670.5         57061616        -10678593       -2917267.3         -3171457
                6              -17                7       -6099418.5       -4435973.5         53575392         -9969202       -3704059.8       -2850514.8
