           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7       -370741.75       -38422.805        -11470822       -2909063.5        -922696.5        2915332.3
              -17              -18                7       -407567.06       -92281.242        -11646578         -2951366       -945475.81        2923155.8
              -16              -18                7       -427945.94       -137793.61        -11766138         -2976649        -955488.5        2910126.5
              -15              -18                7       -431878.19       -174959.88        -11829498         -2984913       -952734.63          2876244
              -14              -18                7       -419363.97       -203780.05        -11836660       -2976157.8       -937214.06        2821508.3
              -13              -18                7       -391031.75       -208566.41        -11720982         -2943793       -925882.75        2742157.5
              -12              -18                7       -368091.47       -169682.69        -11459878       -2868411.3       -929271.25        2639136.5
              -11              -18                7       -341309.66       -104354.45        -11113565         -2759956       -935410.38        2516109.5
              -10              -18                7       -298688.59       -34828.047        -10695815       -2636906.8       -938335.38          2378240
               -9              -18                7       -240228.41         38896.59        -10206626       -2499262.8       -938045.81        2225527.8
               -8              -18                7          -245887        -41451.07        -10273496         -2585607       -615562.13        2094032.6
               -7              -18                7       -257621.78       -47023.219         -9279184       -2302082.3       -499994.69        1949808.5
               -6              -18                7       -274855.34       -43120.719         -8223834       -2012749.4        -361537.5          1778407
               -5              -18                7       -297587.81       -29743.391         -7107443       -1717608.4       -200190.66        1579828.5
               -4              -18                7          -325819       -6891.2656       -5930011.5       -1416659.1       -15953.922        1354072.8
               -3              -18                7       -359549.13        25435.563         -4691540       -1109901.5        191172.42        1101139.8
               -2              -18                7       -398777.94        67237.188       -3392028.5       -797335.81        421188.56        821029.63
               -1              -18                7       -350203.78        103928.82       -1802588.6       -351283.13        323495.56        439313.38
                0              -18                7       -390009.28        63571.016        133858.31        236563.64       -174686.33       -67531.469
                1              -18                7       -210404.41        94227.219        1575902.5        614401.56        7625.6758       -351018.41
                2              -18                7       -102879.66        102724.86        2960547.3           984381        78305.711       -663813.25
                3              -18                7       -10056.047        102706.51          4285032        1334569.6        153920.81       -958266.31
                4              -18                7        68066.219         94172.32          5549357        1664967.1        234470.94       -1234377.5
                5              -18                7        131487.36        77122.109        6753523.5        1975574.3        319956.22       -1492147.3
                6              -18                7         180207.3        51556.102          7897528          2266390        410376.44       -1731574.8
                7              -18                7        214225.95        17474.063          8981377        2537415.5        505731.97         -1952661
                8              -18                7        90865.375       -17325.012          9807883        2749209.5        603270.94       -2140804.3
                9              -18                7       -113443.28       -17024.895         10157639        2816225.8        676220.25       -2282097.5
               10              -18                7       -85276.945       -20315.535         10614374        2878683.5        735863.25         -2426677
               11              -18                7       -49067.984       -26966.352         11014684        2932246.3        789591.19       -2558755.5
               12              -18                7       -6156.1875       -36066.191         11358679        2977602.5        837330.56       -2678587.8
               13              -18                7       -8155.4746       -21744.363         11649335        3034363.8        872910.13         -2791079
               14              -18                7        11269.813        13958.461         11733168        3041270.8        936883.88         -2873011
               15              -18                7        32850.922        53473.953         11756322        3032972.5        974272.25       -2927487.8
               16              -18                7        56572.414        96787.656         11718884          3009490        985046.25         -2954514
               17              -18                7        82434.313        143899.45         11620856          2970823        969205.75       -2954089.5
               18              -18                7        110436.69        194809.47         11462235          2916972        926750.81         -2926214
              -18              -17                7       -618392.13        -123880.7        -11348146       -2739410.5       -1404456.8          2784080
              -17              -17                7          -682134       -172957.52        -11501821       -2774427.5       -1427872.8        2790975.3
              -16              -17                7       -729429.31        -213688.2        -11599295       -2792425.5       -1438521.8        2777017.3
              -15              -17                7       -760278.13       -246072.83        -11640571       -2793403.5       -1436404.4        2742206.3
              -14              -17                7          -795207       -252116.02        -11585030       -2771921.8       -1435653.9        2681916.5
              -13              -17                7       -842581.56       -241703.83        -11425326       -2731873.5       -1438140.3        2604908.5
              -12              -17                7       -886479.31       -234252.25        -11195884       -2679416.5       -1431667.8        2518144.5
              -11              -17                7        -906873.5       -187096.75        -10864648       -2583150.5       -1432133.3          2401062
              -10              -17                7       -907446.44       -125263.05        -10453719         -2464256       -1432968.4        2264256.5
               -9              -17                7       -892180.38       -59231.191         -9971350       -2330767.3       -1430589.1        2112608.3
               -8              -17                7       -843456.75       -159559.31        -10423101       -2562668.5       -789430.63        2083834.9
               -7              -17                7       -580230.69        -133617.5        -10004272         -2526769       -325231.88        2009990.9
               -6              -17                7       -512037.13       -73029.875         -8872106       -2236824.8       -34607.313        1883840.4
               -5              -17                7       -449342.19       -2967.5781       -7678899.5       -1941071.6        278907.13        1730512.8
               -4              -17                7       -392146.25        76569.625         -6424653       -1639510.4        615311.25        1550007.8
               -3              -17                7       -340449.03        165581.53         -5109366       -1332140.9           974605        1342325.6
               -2              -17                7       -349633.97        190524.91       -3551655.3       -818482.88        424474.44        864473.19
               -1              -17                7       -213410.34        181255.36       -1851157.4       -310826.81       -223798.28        301422.41
                0              -17                7       -403178.69         177162.3        45500.207        219388.36       -301530.41       -120882.77
                1              -17                7       -297024.63        167601.94        1554725.1        591653.88       -112002.55       -420229.78
                2              -17                7       -199216.06        154523.31          2992733        939084.19        48990.031       -716300.13
                3              -17                7       -116108.81        132928.78          4370581        1266723.8        214917.66        -994028.5
                4              -17                7       -47702.594        102818.27        5688269.5        1574572.3        385780.41       -1253415.3
                5              -17                7          6002.25        64191.953          6945798        1862629.9        561578.13       -1494460.3
                6              -17                7        45005.875        17049.641        8143166.5        2130896.8           742311       -1717163.4
                7              -17                7        69308.547       -38608.555          9280377        2379373.3           927979       -1921524.9
                8              -17                7       -390827.19       -88876.625          9600779        2476492.3        1080161.5       -2053480.9
                9              -17                7       -705140.06        -96891.43          9816749        2542031.8          1203089       -2157673.3
               10              -17                7       -638708.31       -96135.336         10277668          2610622        1264234.3       -2299765.3
               11              -17                7          -564234       -98739.484         10682164          2670318        1319464.3       -2429356.5
               12              -17                7       -485553.56       -79609.688         11016126          2735312        1366434.5       -2551588.5
               13              -17                7       -416227.75       -62605.262         11289426          2791341        1400161.8       -2657146.8
               14              -17                7       -357117.38       -54479.789         11505476        2834501.8        1420483.4       -2744160.5
               15              -17                7       -308921.69       -22522.781         11563856        2837554.3        1457422.6       -2798876.3
               16              -17                7       -259297.06        16311.332         11550376        2822437.3        1471843.5       -2825029.5
               17              -17                7       -207532.06        58943.582         11476306        2792136.5        1459649.9       -2823732.5
               18              -17                7       -153626.63        105374.01         11341644          2746651          1420842       -2794984.3
              -18              -16                7       -800367.81       -200906.91        -11126734       -2571413.5       -1904426.8        2654388.3
              -17              -16                7       -891026.25       -245202.09        -11258325         -2599145       -1928479.5        2660354.8
              -16              -16                7       -965238.06       -281151.16        -11333716       -2609857.3         -1939765        2645468.5
              -15              -16                7       -1063315.1       -288464.31        -11338164         -2599252       -1949610.5          2604245
              -14              -16                7         -1192405       -277074.25        -11262384         -2571114       -1960148.1        2545468.8
              -13              -16                7       -1318017.8       -268644.63        -11116867       -2530566.3       -1961726.9        2476936.3
              -12              -16                7       -1440154.3       -263175.59        -10901612       -2477609.8         -1954347          2398647
              -11              -16                7       -1556808.3       -259097.28        -10615124       -2411139.3       -1938658.9        2309512.8
              -10              -16                7       -1600575.1       -204956.36        -10211015       -2296399.8       -1937404.4          2173771
               -9              -16                7       -1644889.1       -165403.92         -9828506       -2198802.5       -1854809.5        2047504.5
               -8              -16                7       -1555935.8       -221607.84        -10058482       -2348649.5       -1053655.1        2130490.8
               -7              -16                7       -948164.81       -125758.72         -9830119       -2404471.3       -316362.47        2180385.8
               -6              -16                7       -532025.81        18787.688         -8837011       -2206762.5        211964.61          2132315
               -5              -16                7       -383903.75        145535.06       -7566990.5       -1910397.8        677646.38        2024238.3
               -4              -16                7       -377186.88        259284.25         -6265596       -1527643.6        766956.63        1767160.1
               -3              -16                7       -516034.94        306588.38         -4915830       -1090325.1        359161.06        1308894.5
               -2              -16                7       -651364.88        293602.34         -3478869       -698857.31       -145813.05        766087.19
               -1              -16                7       -493572.25        303527.97       -1967502.3       -315310.47       -491856.25        234652.06
                0              -16                7       -492330.97        328061.78       -150549.73         155770.7       -370308.84       -159505.63
                1              -16                7       -714065.69        287053.03        1454922.8        554508.56          -216499       -508818.72
                2              -16                7       -625973.38        252398.19        2946293.8        879389.75        34806.172        -788164.5
                3              -16                7       -552582.25        209227.39        4377505.5        1184480.1        291046.38       -1049168.6
                4              -16                7       -493892.31        157540.66          5748557        1469779.5        552221.69       -1291830.8
                5              -16                7       -449903.75        97338.086        7059448.5        1735288.3        818332.13       -1516151.1
                6              -16                7       -420616.31        28619.537        8310180.5        1981005.9        1089377.5       -1722129.8
                7              -16                7       -676369.94       -68179.516          9050630          2139982        1325247.3       -1885126.3
                8              -16                7       -1035290.5       -141272.58          9384577        2233129.8        1531115.1       -1993647.4
                9              -16                7       -1322923.8       -169276.48          9557350          2298182        1727917.3       -2057228.3
               10              -16                7       -1267077.4       -165672.05          9965152        2368764.8        1808302.5         -2181820
               11              -16                7       -1128842.3       -144254.05         10351804        2442829.5        1865239.4         -2313124
               12              -16                7       -977975.13       -115687.92         10665002          2510996        1910520.3         -2430294
               13              -16                7       -837324.06       -96000.867         10920947        2566293.5        1942395.4       -2528919.3
               14              -16                7       -706888.44       -85192.758         11119641        2608722.8        1960864.6       -2608999.8
               15              -16                7       -586668.75       -83263.773         11261082          2638283        1965928.6       -2670535.8
               16              -16                7       -503105.75       -56305.098         11286324        2636125.3        1977537.5         -2698706
               17              -16                7       -425437.66        -18152.43         11236211          2614190        1968990.9         -2696536
               18              -16                7       -345629.09        23798.441         11125505        2577070.8          1933830       -2666915.3
              -18              -15                7       -916668.94       -269501.41        -10806586       -2405072.5       -2422606.8        2526256.5
              -17              -15                7       -1034243.8       -309014.94        -10916092       -2425518.8       -2447295.8          2531295
              -16              -15                7       -1195356.4       -317611.47        -10980383       -2425783.8       -2467752.8        2509142.5
              -15              -15                7       -1406161.5       -305243.41        -10988528       -2409554.8       -2486341.5        2468597.8
              -14              -15                7       -1613489.9       -295835.81        -10926936         -2380917       -2495971.8        2418296.8
              -13              -15                7       -1817341.3       -289388.78        -10795606       -2339870.5         -2496643        2358239.5
              -12              -15                7       -2017715.9       -285902.28        -10594537         -2286415       -2488355.5          2288426
              -11              -15                7         -2214614       -285376.53        -10323734       -2220550.5       -2471109.3          2208856
              -10              -15                7         -2378075       -273907.97         -9967702         -2133338         -2451643        2106784.3
               -9              -15                7       -2477532.5       -258710.39         -9675022       -2065031.1       -2211235.5        2046025.5
               -8              -15                7         -2335020        -256197.5         -9611074         -2107470       -1290609.8        2231884.5
               -7              -15                7       -1673689.6       -101631.65         -9088784       -2055883.6       -433845.19          2384652
               -6              -15                7       -493539.63        204987.27         -8108155       -1910272.3        359058.22          2504328
               -5              -15                7       -626423.88        365702.81       -7096602.5         -1531720        263152.69        2178705.8
               -4              -15                7       -889152.25        439426.22         -5971255       -1192517.3        83001.031        1761106.5
               -3              -15                7       -1148362.6        452859.56         -4758712       -899165.31       -194329.52        1258965.8
               -2              -15                7       -1404054.8        406002.81         -3458974       -651664.25        -568838.5         672283.5
               -1              -15                7         -1117654        471039.13       -2044825.5       -309164.19       -616498.75        212959.75
                0              -15                7       -1024094.8        516528.31       -288000.75         105918.7       -403661.75       -186389.98
                1              -15                7       -1504559.4        430110.81        1335167.3        513490.75       -276763.31       -604307.69
                2              -15                7       -1383151.4        396349.41        2821229.3        805297.25        35753.953       -879406.44
                3              -15                7       -1319476.5        331602.38          4305804        1087838.5        382306.75       -1123685.9
                4              -15                7       -1270502.8        258339.44        5730219.5        1350588.9        733794.63       -1349623.8
                5              -15                7       -1236230.5        176560.55          7094474        1593548.4        1090217.8       -1557219.5
                6              -15                7       -1333394.8        60738.586          8195117        1793238.4        1423104.3       -1739844.4
                7              -15                7       -1623601.8       -79431.766          8757784        1920228.4        1694150.3       -1873044.3
                8              -15                7       -1842522.8       -174512.83          9159278        2019122.9        1956130.8       -1961303.9
                9              -15                7       -1990156.4       -224504.77          9399599        2089921.8        2209045.8       -2004623.5
               10              -15                7       -1938021.3       -215677.63          9656369        2156917.3        2369325.5       -2075684.5
               11              -15                7       -1705613.4       -175549.77         10009464        2237220.8        2426159.5       -2204466.5
               12              -15                7       -1483420.9          -144301         10305307        2304655.5          2469588       -2314703.5
               13              -15                7       -1271444.5       -121931.19         10543898        2359221.3        2499610.5         -2406396
               14              -15                7       -1069683.9       -108440.48         10725236        2400918.8          2516228       -2479543.5
               15              -15                7       -878138.94       -103828.84         10849322        2429747.3        2519439.8       -2534146.5
               16              -15                7        -696809.5       -108096.13         10916155        2445707.3        2509245.3         -2570205
               17              -15                7       -571282.38        -87388.57         10900569          2436984        2497228.8       -2572500.3
               18              -15                7       -465570.72       -49917.277         10813822        2408230.5        2465714.5         -2542007
              -18              -14                7       -967295.38       -329664.16        -10387699       -2240387.8         -2958996        2399685.3
              -17              -14                7         -1191331        -339557.5        -10511689       -2251516.3       -2990081.5          2396609
              -16              -14                7         -1483851       -326211.34        -10603758       -2247197.3       -3016721.3          2374296
              -15              -14                7       -1772894.6       -315825.81        -10626090       -2230469.3       -3034402.3        2342226.5
              -14              -14                7       -2058461.3       -308400.81        -10578684       -2201332.5       -3043124.8        2300401.3
              -13              -14                7         -2340551       -303936.34        -10461542       -2159786.5       -3042888.5          2248819
              -12              -14                7       -2619164.5       -302432.47        -10274661         -2105832       -3033693.8        2187480.8
              -11              -14                7       -2894301.5       -303889.19        -10018044       -2039468.4       -3015540.3          2116386
              -10              -14                7         -3165961       -308306.38         -9691689       -1960695.8       -2988427.3          2035535
               -9              -14                7       -3376779.8       -324558.25         -9438749       -1904100.1       -2540391.5          2099285
               -8              -14                7       -3180707.5       -263328.56         -9080875       -1839130.8       -1500293.8          2388016
               -7              -14                7       -2465817.5       -50045.801         -8264658       -1680135.9       -524057.47          2643656
               -6              -14                7       -1788097.5        289500.53         -7455991       -1409442.8       -262206.41        2566952.8
               -5              -14                7       -1468986.3        589038.56         -6717930       -1125059.4       -404006.44        2221109.3
               -4              -14                7       -1852076.3        628891.13       -5729805.5       -929823.38       -453692.69        1759634.8
               -3              -14                7       -2231648.8        608453.69         -4654485       -780438.06       -600557.94          1213619
               -2              -14                7       -2546704.3        538227.63         -3488647        -640811.5       -661911.25        695236.88
               -1              -14                7         -2072710        678630.63       -2087720.9       -292763.25       -682814.63        209388.16
                0              -14                7       -1948933.3         747061.5       -383023.13        68907.625       -379329.19          -191402
                1              -14                7         -2520215        582192.44        1310261.1        469377.72       -153659.22       -639999.69
                2              -14                7       -2470750.5        586377.06          2617540           716807        51833.734       -990026.13
                3              -14                7       -2416792.3        500053.78        4155477.8        976799.13        488699.28       -1217581.1
                4              -14                7       -2377534.3        405214.63          5633255        1217000.3        930499.56       -1426794.3
                5              -14                7       -2361900.8         297877.5        7034240.5        1436261.6          1373732       -1617635.5
                6              -14                7       -2583395.5        90629.945        7825626.5        1597093.5        1709956.6         -1775514
                7              -14                7       -2733603.5       -71528.375          8455841          1729830        2037115.6       -1888452.1
                8              -14                7       -2812524.5        -188597.5          8924882          1834471          2355209       -1956450.3
                9              -14                7       -2843568.3       -229568.61          9188850        1975370.5        2318771.5       -2223917.3
               10              -14                7       -2710324.8       -321036.38          9461166        2062855.4        2569142.5       -2180345.3
               11              -14                7       -2295408.8       -199380.17          9658555        2049586.9        3002061.8       -2101513.3
               12              -14                7       -2001891.3       -165448.73          9937043          2116290        3043637.8       -2204817.8
               13              -14                7       -1718589.9       -140396.39         10158278        2170124.5        3071808.8       -2289576.8
               14              -14                7       -1445503.5       -124222.97         10322262          2211090        3086573.5       -2355791.8
               15              -14                7       -1182633.5        -116928.7         10428992        2239186.8        3087933.5       -2403461.5
               16              -14                7       -929978.56       -118513.32         10478471          2254415        3075886.5         -2432587
               17              -14                7       -687539.81       -128977.01         10470697        2256774.3        3050434.3       -2443167.3
               18              -14                7       -513451.47       -115773.13         10406594          2240131        3016496.3         -2420259
              -18              -13                7       -1051238.4       -354302.22         -9932080       -2076450.1       -3516594.8        2266644.8
              -17              -13                7       -1425473.9       -339978.13        -10108073       -2084040.8       -3551286.3        2262563.3
              -16              -13                7       -1796232.4       -328614.56        -10214330       -2079222.5         -3577019        2248725.5
              -15              -13                7       -2163514.5       -320211.59        -10250849       -2061995.5       -3593792.3        2225131.5
              -14              -13                7       -2527319.5       -314769.13        -10217630       -2032359.6       -3601607.3        2191781.3
              -13              -13                7       -2887648.8       -312287.31        -10114675       -1990314.5       -3600463.8        2148674.5
              -12              -13                7         -3244500       -312765.97         -9941982       -1935860.6         -3590361        2095811.5
              -11              -13                7       -3597875.5       -316205.19         -9699552         -1868998         -3571300        2033192.1
              -10              -13                7       -4017201.5       -361931.25         -9439857       -1824616.4       -3336090.3        2085913.4
               -9              -13                7       -4342632.5       -362947.25         -9119684       -1716008.5       -2842277.5          2207282
               -8              -13                7       -4093000.5       -243000.75         -8467884       -1543630.9       -1682707.8        2598885.3
               -7              -13                7       -3529262.3          32471.5         -7574571       -1299420.4       -862716.81          2814962
               -6              -13                7       -3340822.5        358442.44       -7025716.5       -1085059.8       -836980.38        2569691.5
               -5              -13                7         -3164976        661486.38         -6354016       -876758.56       -843881.13          2227172
               -4              -13                7       -3265958.8           827679         -5541246       -739561.94       -843124.38        1762745.4
               -3              -13                7       -3765894.8        773370.88         -4603148       -734143.19        -859524.5        1172854.6
               -2              -13                7       -3939205.5        695016.06       -3464055.5       -606678.56       -603095.56        794021.06
               -1              -13                7         -3356314        925557.56       -2096394.9       -266268.81       -690255.88        224184.61
                0              -13                7         -3262266        1019453.5       -437090.44        44269.523       -298030.19       -174719.92
                1              -13                7       -3603960.3        864351.69        1174273.9        381149.81        83353.047       -625277.56
                2              -13                7         -3928538        756842.63          2519121         648681.5        168934.89       -1083836.4
                3              -13                7         -3844527         714581.5        3926526.3        851361.75           610223       -1330853.6
                4              -13                7       -3814986.5        598166.13          5457668        1069013.9        1142336.3       -1523342.5
                5              -13                7       -3914670.5        368912.31        6588107.5        1263725.8        1578534.4       -1701056.6
                6              -13                7         -3996166        139676.91          7447041          1430304        1970871.4       -1838673.3
                7              -13                7       -4006374.3        -44469.43          8144801        1568786.9        2354143.3       -1931349.9
                8              -13                7       -3890549.3       -127804.74          8528542        1701755.5        2311642.3       -2303857.8
                9              -13                7       -3704618.8       -114044.14          8694676        1882391.8        1913525.9       -2902103.8
               10              -13                7       -3625950.5       -461026.13          9314272        2012370.6        2448733.8       -2542212.8
               11              -13                7       -3055132.5       -299987.75          9431942        1967661.4          3247305         -2215300
               12              -13                7       -2533385.3       -179131.23          9560208        1945899.9        3632669.3       -2100635.8
               13              -13                7       -2178758.8       -151396.19          9764089        1999002.4        3658988.3         -2178462
               14              -13                7       -1834347.5       -132540.16          9910717        2039236.5        3671900.5       -2237743.8
               15              -13                7       -1500151.6       -122563.14         10000092        2066601.8          3671407         -2278481
               16              -13                7       -1176171.9       -121465.17         10032216        2081098.3        3657508.8       -2300673.3
               17              -13                7          -862408       -129246.24         10007087          2082726        3630204.8         -2304321
               18              -13                7       -558859.44       -145906.33          9924705          2071485        3589494.5         -2289424
              -18              -12                7       -992883.06        -347465.5         -9443679         -1935817       -4133390.5        2136037.3
              -17              -12                7       -1653487.5       -334399.41         -9684981       -1928979.9       -4130276.3        2137135.5
              -16              -12                7       -2132500.8       -324821.13         -9812099       -1921859.9       -4148645.5        2132431.3
              -15              -12                7         -2578021       -318400.72         -9862805       -1904133.5       -4164511.8        2117312.5
              -14              -12                7         -3020065       -314940.81         -9843773       -1873998.4       -4171418.8        2092437.3
              -13              -12                7         -3458632        -314441.5         -9755006       -1831454.1       -4169367.5        2057805.9
              -12              -12                7       -3893721.8       -316902.75         -9596501       -1776501.3       -4158357.3        2013418.3
              -11              -12                7         -4409932       -362504.47         -9412828       -1739917.4       -3962287.3        2084087.9
              -10              -12                7         -5045617       -470393.75         -9217663       -1730220.5       -3281520.8        2467001.5
               -9              -12                7       -5294279.5       -317560.06         -8687810         -1528400       -2412901.5          2689254
