           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7        292911.44        45625.211        334428.47       -459459.34         15553346          1934045
              -17              -18                7        637001.88        78911.063        156310.42       -482587.06         15691596        1951662.3
              -16              -18                7        989066.31        116100.14        13594.461       -497432.03         15770155        1960352.6
              -15              -18                7        1349104.4        157192.41       -93719.453       -503994.19         15789020        1960115.9
              -14              -18                7        1717116.3        202187.94       -165631.34       -502273.56         15748193        1950952.5
              -13              -18                7        2115794.8        246497.52       -189938.03       -491608.38         15474205        1931669.1
              -12              -18                7        2617306.5        296177.38       -134268.06       -470649.03         15061493        1892200.3
              -11              -18                7        3206078.5        355557.88       -31275.938       -440673.88         14645962          1836689
              -10              -18                7        3811869.3         418151.5         85395.75       -405038.81         14179040        1775285.5
               -9              -18                7          4434678        483958.06        215746.92       -363743.84         13660721        1707989.4
               -8              -18                7          4460313        508876.19          -655716       -399868.44         12556474        1607153.9
               -7              -18                7        4956838.5        574006.56       -384111.09       -368091.84         11784630        1518861.3
               -6              -18                7        5489291.5        640287.94       -211167.39       -332175.41         10783859        1398029.3
               -5              -18                7          6057672        707720.19       -136884.92       -292119.25          9554164        1244657.4
               -4              -18                7          6661980        776303.25       -161263.69       -247923.34        8095540.5        1058745.8
               -3              -18                7          7302216         846037.5       -284303.22       -199587.64          6407990         840294.5
               -2              -18                7          7978379         916922.5       -506004.13       -147112.19          4491513        589303.63
               -1              -18                7          8514794        988006.69       -323629.66       -65837.289        2432077.3        298139.09
                0              -18                7          8286905        987098.69         247530.8        23663.463       -104839.56       -19984.945
                1              -18                7          7975710        954003.81        266913.47        89560.938       -2164086.5       -295769.81
                2              -18                7          7606727           907333         352510.5        148428.39       -4094309.8       -556455.31
                3              -18                7          7156256        853406.56        438966.44        200954.91       -5905149.5       -794166.19
                4              -18                7          6624300           792225        526281.19        247140.45       -7596604.5       -1008902.3
                5              -18                7        6010856.5        723787.69        614455.13        286985.13         -9168677         -1200664
                6              -18                7        5315926.5        648095.06        703487.94        320488.84        -10621363       -1369450.9
                7              -18                7          4539510        565146.94        793379.88        347651.63        -11954669       -1515263.3
                8              -18                7        3838208.3        491475.47        809414.19        366831.06        -13010462       -1635404.3
                9              -18                7        3576669.5        448988.34         584197.5        393580.78        -13522064       -1717941.4
               10              -18                7        3246329.8        393798.69        365805.53        426785.47        -14079150         -1787081
               11              -18                7        2904958.5        339748.72        163210.67        454608.16        -14591304         -1851544
               12              -18                7        2553567.8        287101.25       -14328.844        477207.72        -15065332       -1910662.1
               13              -18                7        2209083.5        243345.08        100569.22        500054.66        -15698302       -1941573.5
               14              -18                7        1808875.5        192912.64        49105.094           509700        -15890586       -1963670.8
               15              -18                7        1419791.5        147000.78       -22764.156        510688.72        -15977252       -1974564.9
               16              -18                7        1041856.6        105614.82       -114953.66        503024.81        -15958513       -1974255.3
               17              -18                7        675070.69        68754.742       -227463.42        486708.19        -15834367       -1962741.9
               18              -18                7        319433.94        36420.574       -360293.44        461738.97        -15604816       -1940024.8
              -18              -17                7        163166.09        20108.604        723581.44       -434558.69         15756100        1785621.3
              -17              -17                7        553744.19        51220.008        590615.88       -454420.31         15905093        1798856.3
              -16              -17                7           952296        86234.625        493052.34       -465999.19         15994392        1803164.5
              -15              -17                7        1358821.8        125152.45        430890.94       -469295.25         16023996        1798545.9
              -14              -17                7        1807031.1        163376.67        413916.91       -463029.75         15834811        1784132.5
              -13              -17                7        2270458.5        197910.17        437932.13       -450463.19         15467639        1762399.8
              -12              -17                7          2710215        231962.66        492752.28       -433785.88         15079371          1734917
              -11              -17                7        3258792.8        279939.25        591282.38          -406413         14665660        1682793.8
              -10              -17                7        3855011.3        334534.34           708671       -371809.06         14202567        1619822.6
               -9              -17                7        4468248.5         392342.5        839739.13       -331545.25         13688080        1550959.3
               -8              -17                7        4418232.5        388052.03          -667779       -400746.31         12820987        1451967.3
               -7              -17                7          4887968        420184.63         -1438324       -415133.22         12023152          1360775
               -6              -17                7        5665630.5        483287.22       -1271811.9       -378625.25         11114651        1265129.4
               -5              -17                7        6479220.5        547540.75       -1203960.8       -337977.47          9977224        1136944.1
               -4              -17                7          7328738        612945.19         -1234771          -293190          8610870        976219.25
               -3              -17                7          8214183        679500.63       -1364242.3       -244262.72        7015590.5        782954.63
               -2              -17                7          8678000        746977.25       -458616.75       -150736.63          5070335           526626
               -1              -17                7          8715265         793701.5         20568.82       -58915.074          2565026        230868.67
                0              -17                7          8881249        818366.19        82158.313         17793.32       -532039.75       -953.69812
                1              -17                7          8472307           783266        63345.656        80645.281       -2612913.8       -263627.63
                2              -17                7          8028517           740027        31695.938        135499.36         -4563680       -505968.84
                3              -17                7        7503240.5         689532.5        905.20313        184012.48       -6395061.5       -725335.44
                4              -17                7          6896477        631782.63       -29026.492        226184.67         -8107059       -921727.31
                5              -17                7          6208227        566777.25       -58099.422        262015.91         -9699675       -1095144.5
                6              -17                7        5438491.5         494516.5       -86313.023        291506.25        -11172904       -1245587.1
                7              -17                7          4587268        415000.22          -113668        314655.69        -12526752       -1373055.1
                8              -17                7        4080284.5        390421.22       -348770.59        329732.09        -13129328       -1473184.3
                9              -17                7          3731800        365923.94       -536797.19         343522.5        -13463296       -1559323.6
               10              -17                7        3392691.3        316711.63       -706702.56        376662.75        -14003626         -1631242
               11              -17                7        3042551.5        268638.94          -860811        404421.03        -14499025       -1698483.5
               12              -17                7        2702506.5        229763.11       -760059.44        430408.72        -15099428       -1742990.4
               13              -17                7        2330547.3        192632.67       -626901.63        452722.59        -15661788       -1775153.5
               14              -17                7        1918576.5         155102.3       -525144.31        470559.34        -16145706       -1799087.3
               15              -17                7        1486962.1        112197.02       -543651.63        475804.44        -16247792       -1814152.8
               16              -17                7        1066200.9        72998.906       -593171.06        471685.81        -16211283         -1818094
               17              -17                7        656588.88         38326.68       -663010.88        458914.63        -16069367       -1810831.5
               18              -17                7        258125.94        8180.3438       -753170.88        437490.69        -15822046         -1792365
              -18              -16                7            20941       -269.71973        1096284.4       -407920.69         15861058        1640639.5
              -17              -16                7        458006.72        28667.225        1008471.2       -424516.25         16020791        1649492.5
              -16              -16                7        903046.06        61507.387        956060.13       -432829.06         16120830        1649418.4
              -15              -16                7        1400723.4        93646.375        946431.94       -430966.81         16016368        1639873.8
              -14              -16                7        1924049.3        122065.59         975606.5       -422220.81         15746352        1623303.8
              -13              -16                7          2423704        150003.83        1035585.6       -409364.13         15455242          1600984
              -12              -16                7          2899688           177461        1126370.1       -392396.56         15143034        1572913.8
              -11              -16                7        3356227.8        204998.41        1247174.5       -371084.31         14806977        1538325.5
              -10              -16                7          3942874           251595          1365280       -337511.53         14347716        1473787.1
               -9              -16                7          4488758        295113.06        1364428.8        -308490.5         13865167        1404147.3
               -8              -16                7          4717329        289639.44         50569.25       -360893.84         13658158        1333662.8
               -7              -16                7        5368496.5        302656.66       -1340889.5       -387141.16         13502803        1252598.6
               -6              -16                7          6365426        351307.63       -1719648.4       -364720.75         12890239          1172738
               -5              -16                7          7424225        412382.44         -1658229       -323481.44         11845083        1069739.5
               -4              -16                7          8471737        478553.06       -1033593.4       -262313.88         10326202        921018.44
               -3              -16                7          9154401        539158.44       -106551.98       -188142.69          8176401           711633
               -2              -16                7          9400560        586091.25        298305.63       -120884.08          5611727        450947.28
               -1              -16                7          9406589        605820.63        156999.27       -57515.605        2600355.5        192543.31
                0              -16                7          9591584        623241.25        -64132.25        11586.041       -531506.88       -9423.5762
                1              -16                7          9431699        622891.75       -167580.81        67525.688       -3170820.3       -235757.72
                2              -16                7          8913102        583084.44       -316477.31        118366.38         -5142129       -459754.63
                3              -16                7          8313019        536021.81       -464514.69        162866.14         -6994054          -660777
                4              -16                7          7631449        481703.75       -611693.25        201024.94         -8726594       -838824.69
                5              -16                7          6868393        420130.22       -758012.56         232842.8        -10339750       -993897.56
                6              -16                7          6023850        351301.22       -903473.13        258319.72        -11833523         -1125996
                7              -16                7          5170933        310201.06         -1147014        280751.28        -12859185       -1232837.4
                8              -16                7          4465594         292020.5       -1390120.1        295904.34        -13375154       -1325215.4
                9              -16                7          3907170        278430.75       -1561697.5        301195.13        -13543834         -1406702
               10              -16                7        3540842.3        239790.33       -1683479.4        329259.88        -13987138       -1481198.1
               11              -16                7          3201045        204613.69         -1611420        358808.97        -14559191       -1539228.8
               12              -16                7        2841623.3        174509.03         -1428601        385067.16        -15129392       -1580873.8
               13              -16                7        2442189.5        144004.34       -1277183.1        406848.09        -15621146       -1614288.6
               14              -16                7          2002744        113099.66       -1157165.8        424151.84        -16034454       -1639474.1
               15              -16                7        1523286.3        81794.945       -1068549.8        436978.31        -16369317       -1656429.9
               16              -16                7          1052454        46266.758       -1061432.3           437886        -16376222       -1664489.4
               17              -16                7        600015.81        13782.371         -1088602        428660.13        -16216538       -1661477.6
               18              -16                7        158726.67       -14176.119       -1136091.9        410781.59        -15951447       -1647262.3
              -18              -15                7       -133763.73       -15509.764        1452536.9       -379545.38         15868219        1499099.9
              -17              -15                7        349789.41        11252.729        1409876.4       -392874.94         16038692        1503570.8
              -16              -15                7        896871.75        37306.582        1407607.6       -395419.38         16018872        1498892.1
              -15              -15                7        1480096.3        59611.539        1441941.4       -390493.97         15846016        1487485.5
              -14              -15                7        2039649.8        81435.461        1507080.1       -381457.81         15652062        1470328.4
              -13              -15                7          2575532        102778.41        1603023.4       -368310.94         15437012        1447421.3
              -12              -15                7        3087743.8        123640.33        1729771.6       -351053.28         15200864        1418763.9
              -11              -15                7        3576284.5        144021.23        1887325.1       -329684.84         14943621        1384356.3
              -10              -15                7        4075458.3        169333.39        2055222.5       -302146.22         14614483        1337178.8
               -9              -15                7          4595026        197203.58        1914802.6       -284724.75         14345372        1275041.5
               -8              -15                7          5155116        194951.09        892345.56       -312751.09         14819695        1234402.6
               -7              -15                7          6137801        211189.47          -207711       -314621.38         15345670        1183184.1
               -6              -15                7          7543080        245918.89       -1385369.6       -290335.72         15923296        1121386.1
               -5              -15                7          8965602        311958.94       -137164.91       -232086.16         14130183        1010777.1
               -4              -15                7          9890663        365058.75        682321.94       -181692.28         11779366        850471.13
               -3              -15                7         10379221        404485.69        979625.88       -138211.02          9013680        638864.75
               -2              -15                7         10431274        430240.06        754746.31       -101642.36        5833116.5        375957.97
               -1              -15                7         10570352        440275.25         346029.5       -52601.938        2687992.3        168258.39
                0              -15                7         10873600        452658.31       -114231.34        6310.9639       -462804.13       -16032.839
