           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         35837320        -14520945        -35252748         14377612         140520.5       -99678.344
              -17              -18                7         34399896        -13946832        -35689056         13923948       -1060868.8        290297.03
              -16              -18                7         32994224        -13347692        -36432220         13480266       -2127556.5        672702.81
              -15              -18                7         31620306        -12723528        -37482240         13046570       -3059543.5        1047538.8
              -14              -18                7         30278140        -12074336        -38839116         12622857       -3856828.8        1414805.9
              -13              -18                7         29143684        -11444722        -40218040         12158700         -4294286        1771320.5
              -12              -18                7         28570570        -10823446        -41399752         11678783       -4296483.5        2074333.8
              -11              -18                7         28360574        -10163406        -42513528         11222617         -4210940        2335876.5
              -10              -18                7         28263952         -9484950        -43652416         10762793       -4092972.3        2593951.5
               -9              -18                7         28280700         -8788078        -44816396         10299312         -3942580          2848558
               -8              -18                7         24634980       -8103466.5        -49286008          9534787         -2497442        3163966.8
               -7              -18                7         22533088       -7225334.5        -52644564          8406978       -2079976.8        3583083.5
               -6              -18                7         20795002         -6315566        -55557816        7242533.5         -1583243        3926484.5
               -5              -18                7         19420712       -5374159.5        -58025744        6041453.5       -1007240.9        4194170.3
               -4              -18                7         18410226       -4401116.5        -60048356          4803737        -351969.5        4386139.5
               -3              -18                7         17763542         -3396436        -61625660        3529384.8        382569.13          4502393
               -2              -18                7         17480660       -2360118.5        -62757648        2218396.8        1196377.1          4542931
               -1              -18                7         17841384       -1328137.8        -62415444        748531.25        1232104.5        4649313.5
                0              -18                7         17964814       -402328.63        -62705136       -1299353.8        824197.75        4977814.5
                1              -18                7         17355560        416300.22        -60782684       -2687027.8         -1054351          4614956
                2              -18                7         17618462        1309818.5        -59663352       -4116278.5          -358991          4501527
                3              -18                7         18276076        2235940.3        -58500164         -5513938           499108          4398097
                4              -18                7         19328406        3194665.3        -57293112       -6880005.5        1519945.5        4304664.5
                5              -18                7         20775444        4185995.5        -56042204       -8214482.5          2703523        4221229.5
                6              -18                7         22617196          5209928        -54747440         -9517366        4049837.5        4147792.3
                7              -18                7         24853666        6266465.5        -53408816        -10788660          5558892        4084352.5
                8              -18                7         26849194          7388013        -51364604        -11722456          6714130          3992945
                9              -18                7         27372452        8268927.5        -49001076        -12115978          6321678          3793464
               10              -18                7         28344544          8968767        -47944236        -12838418          6035119        3632868.3
               11              -18                7         29282244          9654342        -46906672        -13534448        5707325.5        3457646.5
               12              -18                7         30193556         10328805        -45896800        -14201283          5343648          3268254
               13              -18                7         31400408         11137601        -45126084        -14700799          5058582        3038154.3
               14              -18                7         32630786         11943596        -43272836        -14931274          4339615          2532763
               15              -18                7         33747440         12723766        -41474372        -15069710        3614808.5          2038682
               16              -18                7         34750352         13478126        -39731344        -15116204        2884380.3        1556053.3
               17              -18                7         35639512         14206676        -38043752        -15070753        2148329.8        1084876.8
               18              -18                7         36414940         14909420        -36411592        -14933360        1406657.4        625152.63
              -18              -17                7         35964152        -14016446        -34092256         13847570        1177392.9        -443183.5
              -17              -17                7         34424920        -13434112        -34403768         13384872       -30749.383       -55055.953
              -16              -17                7         32917446        -12826751        -35022140         12932158       -1104190.1        325502.25
              -15              -17                7         31441720        -12194364        -35947368         12489426       -2042929.4        698490.94
              -14              -17                7         30096148        -11571055        -36938828         12023014       -2687464.3        1057354.6
              -13              -17                7         28930668        -10978738        -37937544         11520728       -2966337.8        1406958.1
              -12              -17                7         27872068        -10393496        -39142568         11009164       -3001234.8        1754775.3
              -11              -17                7         27498400         -9759478        -40324772         10527060       -2890454.3          2036799
              -10              -17                7         27389520         -9095003        -41490668         10050905         -2751080        2298689.5
               -9              -17                7         27394014         -8412114        -42681664          9571092       -2579281.3        2557111.5
               -8              -17                7         22102544         -7890911        -47271660          8833574        340816.47        2798860.5
               -7              -17                7         18651736       -7290049.5        -51160836          7835230        2869116.3        3093226.8
               -6              -17                7         17202752       -6475204.5        -54405100          6613429        4270316.5          3435628
               -5              -17                7         16117569         -5628722        -57204048        5354990.5        5750786.5        3702313.3
               -4              -17                7         15396187         -4750603        -59557680          4059917          7310525        3893282.5
               -3              -17                7         15038608       -3840846.8        -61466000        2728207.5          8949532          4008536
               -2              -17                7         16386127         -2853514        -60924412        1203133.9          5675711          4228511
               -1              -17                7         17089412       -1982922.9        -60797712       -490268.34        2265723.8          4592167
