           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
              -18              -18                7         -3502882        3736421.3        3344313.8         -3563740       -4011.8125        42041.234
              -17              -18                7       -2952163.3        3450301.8        3507230.5       -3478363.5        362101.22       -874276.63
              -16              -18                7       -2390234.5        3164474.5        3719657.5         -3428299        633173.56       -1761292.3
              -15              -18                7       -1817095.5        2878938.5          3981594         -3413545        809205.38         -2619006
              -14              -18                7       -1232745.8        2593693.8        4293040.5       -3434102.3         890196.5       -3447417.5
              -13              -18                7       -692898.56        2329215.5          4575403         -3456974        845523.06         -4210773
              -12              -18                7       -323782.16        2131851.8          4764709       -3494643.5         626911.5         -4822409
              -11              -18                7       -81615.219          1966655          4917130         -3548461        327471.22         -5347573
              -10              -18                7        114359.19        1798931.3          5059180         -3598306         -4822.25       -5856222.5
               -9              -18                7        264141.03        1628679.6        5190858.5       -3644178.3       -369968.78       -6348355.5
               -8              -18                7        1515405.3        1102290.3          6449322       -3710643.8       -1081442.5       -6669473.5
               -7              -18                7        2270657.8        491398.94          7339188         -3745294       -1877496.8       -7344230.5
               -6              -18                7        2883012.5       -107083.44          8120262       -3718517.3         -2636725       -7876046.5
               -5              -18                7          3352470       -693156.75          8792542         -3630314       -3359126.3         -8264919
               -4              -18                7          3679029       -1266821.1          9356028       -3480683.5         -4044701         -8510850
               -3              -18                7        3862690.8       -1828076.8          9810722       -3269627.8       -4693449.5         -8613839
               -2              -18                7        3903454.5       -2376923.8         10156623       -2997144.5       -5305371.5         -8573886
               -1              -18                7        3742307.3         -2869414         10043983       -2620835.5         -5647706         -8521918
                0              -18                7        3656085.8       -3340621.5         10439092       -2166124.3         -5956620       -8318445.5
                1              -18                7        3732537.5         -3712324         10025891       -1791442.3         -5487406         -7909182
                2              -18                7        3508773.3       -3998633.3          9936096       -1404361.5         -5727648         -7355469
                3              -18                7          3119413       -4216249.5          9834471       -1007945.4         -5990526         -6771632
                4              -18                7        2564456.5         -4365173          9721015       -602194.38         -6276042       -6157673.5
                5              -18                7        1843902.9       -4445403.5          9595729       -187107.95         -6584195       -5513590.5
                6              -18                7        957753.44         -4456941          9458612        237313.08       -6914984.5       -4839384.5
                7              -18                7       -93993.422         -4399785          9309667        671069.69       -7268411.5       -4135054.5
                8              -18                7       -1043521.1       -4318201.5          8902729        1016499.3       -7371462.5         -3476057
                9              -18                7       -1223228.9         -4224855          8224862        1232631.4         -6805115         -3016461
               10              -18                7         -1518240       -4056414.8          7938621        1549632.3         -6398763       -2570996.8
               11              -18                7       -1820597.4       -3876542.8          7664308        1840610.8         -5960204       -2156601.8
               12              -18                7       -2133005.5         -3686505        7409696.5        2102756.8       -5495017.5       -1773775.3
               13              -18                7       -2568983.5       -3537938.5        7380497.5        2239956.8         -5154649       -1430541.8
               14              -18                7         -3047932         -3348136        6873000.5        2347934.8       -4454911.5       -1032203.8
               15              -18                7         -3504618       -3176322.8          6360463          2414397       -3704723.8          -701229
               16              -18                7         -3939028       -3022532.5          5843155        2439336.3       -2904263.3       -437676.19
               17              -18                7         -4351162       -2886765.5        5321075.5          2422752       -2053530.5       -241545.39
               18              -18                7         -4741019       -2769021.5          4794225          2364645       -1152525.8       -112836.59
              -18              -17                7       -3592468.8        3607090.3        2850550.5       -3327150.8       -352015.78        918822.19
              -17              -17                7         -2996328          3308282          2959229       -3227835.3        4479.0781        2785.3906
              -16              -17                7       -2388977.3        3009765.3          3117417       -3163830.8        265933.31       -883949.19
              -15              -17                7         -1770416          2711540        3325114.3       -3135137.5           432347       -1741381.4
              -14              -17                7       -1165195.8        2428621.8        3519279.5       -3115797.8        488945.94       -2541909.5
              -13              -17                7       -595044.13          2169143        3671825.3         -3101292        423317.47         -3277189
              -12              -17                7       -44628.813        1922095.3        3830895.8         -3113677        244896.31         -3969555
              -11              -17                7        262365.28        1750175.8        3980610.5         -3164580       -56493.813         -4522224
              -10              -17                7        467068.19        1593783.4          4117535         -3217783       -401740.31         -5030163
               -9              -17                7        625578.69        1434863.9        4244088.5         -3267014       -779840.13         -5521587
               -8              -17                7          2459946        866384.13          5601589       -3283180.8       -1874889.3       -5589714.5
               -7              -17                7          3703304        311681.63        6749491.5       -3256166.3       -3248976.5       -5865358.5
               -6              -17                7        4262987.5       -246465.81        7617303.5       -3210365.5       -4395855.5       -6355220.5
               -5              -17                7        4679774.5       -792204.88          8376323       -3103137.8         -5505908         -6702141
               -4              -17                7        4953663.5       -1325534.8          9026548       -2934483.3         -6579134         -6906118
               -3              -17                7          5084654         -1846456          9567982       -2704402.3       -7615533.5       -6967154.5
               -2              -17                7          4641652       -2258526.5          9138653       -2341259.5         -7160159       -7318499.5
               -1              -17                7          4477083       -2621337.5          9029665       -1949644.8       -6695766.5         -7597343
                0              -17                7          4611348         -3081281          9813514       -1590066.8       -8056100.5         -7452182
                1              -17                7          4355201       -3463145.3          9646776         -1249541         -7890907         -7067874
                2              -17                7          3925166         -3763972          9520168       -899606.88         -8081095         -6594138
                3              -17                7          3329535       -3996105.5          9381730       -540337.81         -8293920       -6090278.5
                4              -17                7        2568307.3         -4159546          9231461       -171733.86         -8529382         -5556296
                5              -17                7        1641483.3         -4254294          9069361        206205.56         -8787481       -4992189.5
                6              -17                7        549063.13       -4280348.5          8895430        593479.88         -9068216       -4397960.5
                7              -17                7       -708954.94         -4237710          8709670        990089.56         -9371590       -3773607.8
                8              -17                7         -1201137         -4298727          7816240        1040514.5         -8606073       -3382948.5
                9              -17                7       -1351784.5         -4264504          6859127        1110932.5       -7716642.5       -2940149.5
               10              -17                7       -1653059.1         -4093056          6626333        1406194.9       -7313881.5       -2514064.8
               11              -17                7         -1961680       -3910177.5          6405467        1675434.5         -6878914       -2119049.8
               12              -17                7         -2334888       -3753223.8          6394828        1851889.9       -6519505.5       -1756764.1
               13              -17                7       -2779154.3         -3614700        6376632.5        1972513.1         -6112053       -1412533.4
               14              -17                7       -3285774.8         -3487637        6294294.5        2052354.3         -5625226       -1084469.4
               15              -17                7         -3769889       -3325193.5          5849613        2114115.5         -4834330          -749166
               16              -17                7         -4226385         -3175101          5363145          2136979         -3966069       -475996.22
               17              -17                7       -4660605.5       -3043031.5          4871907        2118319.3       -3047536.5       -270248.56
               18              -17                7       -5072549.5       -2928984.8          4375897          2058136         -2078732        -131922.8
              -18              -16                7       -3754791.5        3513591.3          2337834       -3080921.3       -627276.19        1770949.3
              -17              -16                7       -3113228.5          3202094        2392273.5       -2967666.5       -280399.41        855193.75
              -16              -16                7       -2460455.5        2890888.5        2496222.5         -2889722       -28563.268       -31259.688
              -15              -16                7       -1790038.5          2589560        2602102.5       -2828131.5        129219.19          -868914
              -14              -16                7         -1125885        2306678.3        2680479.8       -2777771.5        179414.44       -1648743.5
              -13              -16                7       -481468.72        2036227.1        2765381.8       -2754301.5        116817.34         -2385659
              -12              -16                7        143211.06        1778206.5          2856807       -2757721.5       -58572.656       -3079659.5
              -11              -16                7        737108.44        1535571.4        2955867.5       -2788502.8       -346707.03       -3727212.8
              -10              -16                7        950540.06        1390510.9        3087667.5         -2845065       -704906.69         -4234443
               -9              -16                7        1303656.5        1199616.8        3300975.8       -2894029.8       -1164326.5         -4689141
               -8              -16                7          3290068         627627.5          4314208       -2858292.5       -2604071.8         -4752499
               -7              -16                7          5029652        123114.57          5181565         -2734795         -4605642         -4747911
               -6              -16                7        5872770.5       -374177.97          6063455         -2624654         -6412889       -5016143.5
               -5              -16                7        6236885.5       -879582.13          6909213         -2498402         -7910593         -5321110
               -4              -16                7          6124866       -1323327.9          7268685       -2284371.8         -8682793         -5632495
               -3              -16                7          5749309       -1716191.4          7252388         -2007386         -8521568       -6061998.5
               -2              -16                7          5553873       -2116503.8          7317214       -1705334.8         -8116855       -6483335.5
               -1              -16                7          5680376         -2399830          8044166       -1420949.1         -8318325       -6665151.5
                0              -16                7        5617556.5       -2784926.5          8862062       -1119178.6         -9794467       -6614867.5
                1              -16                7        5308198.5       -3267636.5          8896404       -788756.38        -10479932         -6314506
                2              -16                7          4671892       -3582980.5          8732981       -475968.84        -10620067         -5920746
                3              -16                7        3869990.3       -3829631.5          8557730       -153846.61        -10782839         -5496864
                4              -16                7        2902491.3         -4007589          8370647        177610.77        -10968248         -5042858
                5              -16                7        1769396.4         -4116854        8171733.5        518403.28        -11176293       -4558728.5
                6              -16                7        470704.91         -4157426        7960989.5        868530.63        -11406975       -4044476.3
                7              -16                7       -643010.56       -4243050.5          7561501        1030153.7        -11017795       -3666443.3
                8              -16                7       -1268102.8         -4321065          6820624        1046884.6        -10056279       -3312354.5
                9              -16                7       -1508460.5         -4323479          5790927        1026097.6         -8849792       -2874785.8
               10              -16                7       -1776245.5       -4167099.8          5469909          1253765         -8315834         -2458948
               11              -16                7         -2105291       -4003792.5          5458672        1463963.5         -7944988       -2080385.1
               12              -16                7       -2495491.5       -3863851.5        5515625.5        1608793.3       -7549827.5       -1718990.3
               13              -16                7       -2948045.3         -3735371          5508434        1712840.3         -7075291       -1373762.1
               14              -16                7       -3462954.5       -3618350.5        5437099.5        1776104.9         -6521380       -1044700.4
               15              -16                7         -4040218       -3512790.5        5301619.5        1798586.6       -5888093.5       -731805.38
               16              -16                7         -4544777         -3377595        4903031.5          1811341       -4999964.5       -450336.09
               17              -16                7         -5001084       -3249222.5          4442634        1790605.3       -4013631.5       -234971.44
               18              -16                7       -5435115.5       -3138873.5        3977464.8        1728346.5       -2977027.3       -87028.734
              -18              -15                7       -3989849.3          3455924        1806163.8       -2825051.5       -829792.81        2598421.8
              -17              -15                7       -3302864.3          3131738        1806364.4         -2697857       -492534.22        1682947.6
              -16              -15                7         -2567426        2812030.5        1823871.8       -2593975.5       -233657.91        808212.75
              -15              -15                7       -1809271.1        2505745.8        1828080.5       -2507760.5         -67638.5       -16166.375
              -14              -15                7       -1070853.1        2211891.3        1838813.3       -2448435.5       -14411.969       -797630.69
              -13              -15                7        -352172.5        1930467.8        1856070.5         -2416001       -73977.906         -1536181
              -12              -15                7        346771.47        1661474.5        1879851.5       -2410456.5       -246336.44       -2231816.8
              -11              -15                7        1025978.9          1404912        1910156.9       -2431802.5          -531488       -2884538.5
              -10              -15                7        1564774.4          1189113        1969577.3       -2480151.3          -914321       -3469060.3
               -9              -15                7        2237415.8        941511.94        2225347.3       -2514479.5         -1561784       -3870781.5
               -8              -15                7          4265533        392739.91        2815035.8         -2426206       -3319819.3       -3952604.3
               -7              -15                7        6046822.5        -88555.68          3258848       -2250172.5         -5639680         -3966482
               -6              -15                7          7581283       -502374.53        3556787.5       -1986380.4         -8521365       -3912415.5
               -5              -15                7        7234450.5       -861703.75        3835152.8         -1802636         -9132778       -4345829.5
               -4              -15                7          6982553       -1245614.1          4324089       -1620380.9         -9397977         -4817345
               -3              -15                7        6910777.5       -1636973.5          4894146       -1413060.1         -9419692         -5280693
               -2              -15                7        7019122.5       -2035781.5          5545325       -1180674.4         -9197917       -5735875.5
               -1              -15                7        7190115.5       -2251220.5          6692512       -978311.88        -10362059       -5796492.5
                0              -15                7        6923822.5         -2595414        7477433.5       -723894.94        -11985121       -5829209.5
                1              -15                7          6498918       -3140917.3        7750037.5       -422877.25        -13240918         -5664680
                2              -15                7        5748952.5         -3455659          7574537        -133447.5        -13344564         -5335295
                3              -15                7          4740779         -3716827        7362471.5        151527.88        -13457282         -4991389
                4              -15                7        3567009.8       -3909302.5          7138575        445838.44        -13592636         -4617360
                5              -15                7        2227643.8       -4033084.3        6902848.5        749484.19        -13750630         -4213207
                6              -15                7        759151.63         -4146309        6717393.5           981228        -13644952       -3859751.5
                7              -15                7       -435000.56         -4303563          6461048        1027177.7        -12805998         -3603753
                8              -15                7       -1244418.3         -4385216          5915882        1035609.5        -11722074       -3264274.5
                9              -15                7       -1669101.4         -4391269        5081896.5        1006523.3        -10393180       -2841316.3
               10              -15                7       -1880193.4         -4289645          4572031        1076177.8         -9431097       -2401404.8
               11              -15                7         -2216327         -4148287        4704131.5        1245213.9         -9048228       -2022845.8
               12              -15                7       -2614815.3       -4018388.8        4772089.5        1373467.3         -8585984       -1660453.5
